county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Autauga County,01,01001,58805,594.455,"[32.500194, -86.487813]",
Baldwin County,01,01003,231767,1589.884,"[30.537396, -87.761478]",
Barbour County,01,01005,25223,885.008,"[31.843981, -85.301306]",
Bibb County,01,01007,22293,622.47,"[33.032236, -87.136826]",
Blount County,01,01009,59134,644.891,"[33.954604, -86.592667]",
Bullock County,01,01011,10357,622.815,"[32.115838, -85.702354]",
Butler County,01,01013,19051,776.839,"[31.776019, -86.6524]",
Calhoun County,01,01015,116441,605.893,"[33.727215, -85.817974]",
Chambers County,01,01017,34772,596.554,"[32.85644, -85.25964]",
Cherokee County,01,01019,24971,553.522,"[34.180501, -85.629887]",
Chilton County,01,01021,45014,692.838,"[32.879146, -86.688861]",
Choctaw County,01,01023,12665,913.479,"[32.016121, -88.262482]",
Clarke County,01,01025,23087,1238.42,"[31.683493, -87.815868]",
Clay County,01,01027,14236,603.962,"[33.274342, -85.817245]",
Cleburne County,01,01029,15056,560.107,"[33.625217, -85.495748]",
Coffee County,01,01031,53465,678.986,"[31.353217, -85.899556]",
Colbert County,01,01033,57227,592.953,"[34.724339, -87.681892]",
Conecuh County,01,01035,11597,850.279,"[31.41643, -86.997537]",
Coosa County,01,01037,10387,650.909,"[32.976884, -86.156212]",
Covington County,01,01039,37570,1030.571,"[31.284146, -86.409203]",
Crenshaw County,01,01041,13194,608.865,"[31.747324, -86.296787]",
Cullman County,01,01043,87866,734.747,"[34.162652, -86.83269]",
Dale County,01,01045,49326,561.113,"[31.383858, -85.63771]",
Dallas County,01,01047,38462,978.738,"[32.411818, -87.035342]",
DeKalb County,01,01049,71608,777.077,"[34.452725, -85.817465]",
Elmore County,01,01051,87977,618.52,"[32.558527, -86.225332]",
Escambia County,01,01053,36757,945.408,"[31.085439, -87.280078]",
Etowah County,01,01055,103436,535.144,"[34.012182, -86.025892]",
Fayette County,01,01057,16321,627.684,"[33.726912, -87.76749]",
Franklin County,01,01059,32113,633.959,"[34.463509, -87.793592]",
Geneva County,01,01061,26659,574.485,"[31.094511, -85.781426]",
Greene County,01,01063,7730,647.023,"[32.833838, -87.924522]",
Hale County,01,01065,14785,643.991,"[32.783251, -87.627964]",
Henry County,01,01067,17146,561.892,"[31.469275, -85.271132]",
Houston County,01,01069,107202,579.826,"[31.204793, -85.39632]",
Jackson County,01,01071,52579,1078.014,"[34.727289, -85.943552]",
Jefferson County,01,01073,674721,1111.556,"[33.517206, -86.811606]",
Lamar County,01,01075,13972,604.846,"[33.761275, -88.108771]",
Lauderdale County,01,01077,93564,668.018,"[34.865524, -87.608858]",
Lawrence County,01,01079,33073,690.685,"[34.540863, -87.27158]",
Lee County,01,01081,174241,607.556,"[32.592265, -85.359778]",
Limestone County,01,01083,103570,563.399,"[34.803982, -86.922366]",
Lowndes County,01,01085,10311,716.085,"[32.164241, -86.615186]",
Macon County,01,01087,19532,608.665,"[32.429073, -85.711764]",
Madison County,01,01089,388153,801.612,"[34.742996, -86.61533]",
Marengo County,01,01091,19323,976.898,"[32.342372, -87.803475]",
Marion County,01,01093,29341,742.342,"[34.110448, -87.876476]",
Marshall County,01,01095,97612,565.854,"[34.311249, -86.291329]",
Mobile County,01,01097,414809,1229.38,"[30.684049, -88.175178]",
Monroe County,01,01099,19772,1025.669,"[31.4988, -87.364576]",
Montgomery County,01,01101,228954,785.354,"[32.346473, -86.233787]",
Morgan County,01,01103,123421,579.674,"[34.513887, -86.931981]",
Perry County,01,01105,8511,719.67,"[32.584881, -87.369738]",
Pickens County,01,01107,19123,881.408,"[33.284667, -88.074381]",
Pike County,01,01109,33009,672.067,"[31.786041, -85.946994]",
Randolph County,01,01111,21967,580.55,"[33.264692, -85.427378]",
Russell County,01,01113,59183,641.182,"[32.414904, -85.054594]",
St. Clair County,01,01115,91103,631.61,"[33.660943, -86.374875]",
Shelby County,01,01117,223024,785.454,"[33.290336, -86.73899]",
Sumter County,01,01119,12345,903.826,"[32.571003, -88.230925]",
Talladega County,01,01121,82149,736.818,"[33.376936, -86.165876]",
Tallapoosa County,01,01123,41311,716.531,"[32.851728, -85.864016]",
Tuscaloosa County,01,01125,227036,1320.857,"[33.214817, -87.518474]",
Walker County,01,01127,65342,791.031,"[33.834217, -87.250515]",
Washington County,01,01129,15388,1080.255,"[31.413666, -88.195263]",
Wilcox County,01,01131,10600,887.858,"[32.007448, -87.376912]",
Winston County,01,01133,23540,612.999,"[34.164369, -87.415624]",
