county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Aleutians East County,02,02013,3420,6986.254,"[54.672887, -163.763729]",
Aleutians West County,02,02016,5232,4393.051,"[54.024627, -168.148047]",
Anchorage County,02,02020,291247,1707.069,"[61.191547, -149.792287]",
Bethel County,02,02050,18666,40660.586,"[60.667568, -162.178288]",
Bristol Bay County,02,02060,844,481.382,"[58.733456, -156.833611]",
Chugach County,02,02063,7102,9575.39,"[60.881369, -146.199156]",
Copper River County,02,02066,2617,24646.759,"[62.060769, -145.032939]",
Denali County,02,02068,1619,12641.049,"[63.86431, -149.027498]",
Dillingham County,02,02070,4857,18335.796,"[59.128804, -158.75132]",
Fairbanks North Star County,02,02090,95655,7334.824,"[64.831239, -147.623249]",
Haines County,02,02100,2080,2334.932,"[59.234185, -135.497336]",
Hoonah-Angoon County,02,02105,2365,6560.319,"[58.123876, -135.423534]",
Juneau County,02,02110,32255,2702.924,"[58.360173, -134.533023]",
Kenai Peninsula County,02,02122,58799,16017.581,"[60.283998, -151.068103]",
Ketchikan Gateway County,02,02130,13948,4857.091,"[55.369105, -131.678418]",
Kodiak Island County,02,02150,13101,6689.486,"[57.774607, -152.454785]",
Kusilvak County,02,02158,8368,17077.965,"[62.076819, -164.34049]",
Lake and Peninsula County,02,02164,1476,23831.019,"[58.617154, -156.27339]",
Matanuska-Susitna County,02,02170,107081,24707.334,"[61.607247, -149.432649]",
Nome County,02,02180,10046,22969.694,"[64.431631, -165.269108]",
North Slope County,02,02185,11031,88792.798,"[70.480816, -155.295377]",
Northwest Arctic County,02,02188,7793,35671.697,"[66.897051, -161.582978]",
Petersburg County,02,02195,3398,2900.889,"[56.79507, -132.943575]",
Prince of Wales-Hyder County,02,02198,5753,5267.636,"[55.59077, -132.668824]",
Sitka County,02,02220,8458,2870.101,"[57.062777, -135.335988]",
Skagway County,02,02230,1240,442.928,"[59.465893, -135.310551]",
Southeast Fairbanks County,02,02240,6808,24832.27,"[63.861551, -144.698751]",
Wrangell County,02,02275,2127,2556.097,"[56.426145, -132.355422]",
Yakutat County,02,02282,662,7627.587,"[59.545059, -139.714907]",
Yukon-Koyukuk County,02,02290,5343,145769.125,"[64.966051, -152.827744]",
