county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Apache County,04,04001,66021,11198.31,"[35.543654, -109.419015]",
Cochise County,04,04003,125447,6209.863,"[31.603486, -110.072835]",
Coconino County,04,04005,145101,18616.352,"[35.476113, -111.601825]",
Gila County,04,04007,53272,4757.578,"[33.844439, -111.015003]",
Graham County,04,04009,38533,4621.877,"[32.867145, -109.808107]",
Greenlee County,04,04011,9563,1842.838,"[32.985155, -109.259546]",
La Paz County,04,04012,16557,4496.579,"[33.954185, -114.183775]",
Maricopa County,04,04013,4420568,9202.016,"[33.490147, -112.044016]",
Mohave County,04,04015,213267,13332.117,"[35.034511, -114.262415]",
Navajo County,04,04017,106717,9949.496,"[34.862151, -110.205157]",
Pima County,04,04019,1043433,9188.683,"[32.216427, -110.95803]",
Pinal County,04,04021,425264,5366.677,"[33.069323, -111.602135]",
Santa Cruz County,04,04023,47669,1236.26,"[31.439234, -110.945948]",
Yavapai County,04,04025,236209,8122.932,"[34.628734, -112.273841]",
Yuma County,04,04027,203881,5513.82,"[32.641391, -114.605444]",
