county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Arkansas County,05,05001,17149,992.14,"[34.403488, -91.460834]",
Ashley County,05,05003,19062,925.492,"[33.17959, -91.877908]",
Baxter County,05,05005,41627,553.931,"[36.331791, -92.383935]",
Benton County,05,05007,284333,847.733,"[36.335056, -94.230342]",
Boone County,05,05009,37373,589.723,"[36.266608, -93.098769]",
Bradley County,05,05011,10545,649.167,"[33.574422, -92.101277]",
Calhoun County,05,05013,4739,628.601,"[33.585989, -92.500683]",
Carroll County,05,05015,28260,629.928,"[36.375744, -93.574712]",
Chicot County,05,05017,10208,636.978,"[33.325951, -91.318357]",
Clark County,05,05019,21446,865.971,"[34.099325, -93.123962]",
Clay County,05,05021,14552,639.224,"[36.370287, -90.366417]",
Cleburne County,05,05023,24711,553.959,"[35.507218, -92.037753]",
Cleveland County,05,05025,7550,597.91,"[33.912967, -92.136375]",
Columbia County,05,05027,22801,766.065,"[33.258766, -93.247178]",
Conway County,05,05029,20715,551.924,"[35.21299, -92.705923]",
Craighead County,05,05031,111231,707.166,"[35.835762, -90.669235]",
Crawford County,05,05033,60133,595.269,"[35.494096, -94.285922]",
Crittenden County,05,05035,48163,611.812,"[35.176704, -90.213521]",
Cross County,05,05037,16833,616.318,"[35.251667, -90.777424]",
Dallas County,05,05039,6482,667.323,"[33.864882, -92.525216]",
Desha County,05,05041,11395,741.227,"[33.768029, -91.415165]",
Drew County,05,05043,17350,828.667,"[33.627329, -91.784085]",
Faulkner County,05,05045,123498,647.247,"[35.105697, -92.406071]",
Franklin County,05,05047,17097,608.967,"[35.442155, -93.891039]",
Fulton County,05,05049,12075,617.994,"[36.375654, -91.766807]",
Garland County,05,05051,100180,677.615,"[34.505767, -93.080729]",
Grant County,05,05053,17958,631.888,"[34.311672, -92.412583]",
Greene County,05,05055,45736,577.34,"[36.071536, -90.522562]",
Hempstead County,05,05057,20065,727.2,"[33.698177, -93.620782]",
Hot Spring County,05,05059,33040,614.944,"[34.353569, -92.895511]",
Howard County,05,05061,12785,587.332,"[33.981466, -93.908938]",
Independence County,05,05063,37938,763.712,"[35.750729, -91.607338]",
Izard County,05,05065,13577,580.201,"[36.1215, -91.911716]",
Jackson County,05,05067,16755,633.611,"[35.623062, -91.246504]",
Jefferson County,05,05069,67260,872.346,"[34.234814, -92.045118]",
Johnson County,05,05071,25749,660.99,"[35.476548, -93.473125]",
Lafayette County,05,05073,6308,529.472,"[33.278875, -93.557713]",
Lawrence County,05,05075,16216,587.528,"[36.070844, -91.064441]",
Lee County,05,05077,8600,599.807,"[34.787429, -90.769631]",
Lincoln County,05,05079,12941,559.466,"[33.973433, -91.745899]",
Little River County,05,05081,12026,531.255,"[33.700349, -94.198663]",
Logan County,05,05083,21131,709.115,"[35.227664, -93.768311]",
Lonoke County,05,05085,74015,771.723,"[34.916983, -91.973917]",
Madison County,05,05087,16521,834.238,"[36.062896, -93.757685]",
Marion County,05,05089,16826,596.598,"[36.284395, -92.660219]",
Miller County,05,05091,42600,624.04,"[33.402394, -93.987198]",
Mississippi County,05,05093,40685,902.093,"[35.843368, -90.001606]",
Monroe County,05,05095,6799,607.461,"[34.777063, -91.221516]",
Montgomery County,05,05097,8484,780.453,"[34.514568, -93.622447]",
Nevada County,05,05099,8310,617.79,"[33.725543, -93.359433]",
Newton County,05,05101,7225,821.076,"[35.982591, -93.165658]",
Ouachita County,05,05103,22650,732.721,"[33.573847, -92.838686]",
Perry County,05,05105,10019,551.336,"[34.998711, -92.777667]",
Phillips County,05,05107,16568,690.36,"[34.530919, -90.703802]",
Pike County,05,05109,10171,600.335,"[34.186355, -93.626194]",
Poinsett County,05,05111,22965,758.295,"[35.604751, -90.558401]",
Polk County,05,05113,19221,856.838,"[34.522847, -94.25793]",
Pope County,05,05115,63381,810.952,"[35.309054, -93.096833]",
Prairie County,05,05117,8282,647.516,"[34.863817, -91.540516]",
Pulaski County,05,05119,399125,758.369,"[34.775246, -92.315081]",
Randolph County,05,05121,18571,651.913,"[36.302137, -90.989599]",
St. Francis County,05,05123,23090,634.784,"[35.016355, -90.774948]",
Saline County,05,05125,123416,723.516,"[34.596991, -92.546119]",
Scott County,05,05127,9836,892.85,"[34.904224, -94.097007]",
Searcy County,05,05129,7828,665.879,"[35.923072, -92.660663]",
Sebastian County,05,05131,127799,531.184,"[35.318718, -94.354788]",
Sevier County,05,05133,15839,563.569,"[34.015316, -94.30378]",
Sharp County,05,05135,17271,604.637,"[36.178093, -91.51953]",
Stone County,05,05137,12359,606.44,"[35.855715, -92.133812]",
Union County,05,05139,39054,1039.067,"[33.207421, -92.65198]",
Van Buren County,05,05141,15796,709.571,"[35.568095, -92.42013]",
Washington County,05,05143,245871,941.463,"[36.09592, -94.172336]",
White County,05,05145,76822,1033.966,"[35.239408, -91.773595]",
Woodruff County,05,05147,6269,585.973,"[35.233161, -91.251021]",
Yell County,05,05149,20263,930.386,"[35.127752, -93.28293]",
