county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Alameda County,06,06001,1682353,737.459,"[37.706599, -122.098766]",
Alpine County,06,06003,1204,738.34,"[38.728485, -119.847822]",
Amador County,06,06005,40474,594.585,"[38.395906, -120.778038]",
Butte County,06,06007,211632,1636.512,"[39.658926, -121.72651]",
Calaveras County,06,06009,45292,1020.016,"[38.157342, -120.645222]",
Colusa County,06,06011,21839,1150.679,"[39.153446, -122.083801]",
Contra Costa County,06,06013,1165927,716.897,"[37.93501, -122.024961]",
Del Norte County,06,06015,27743,1006.202,"[41.790833, -124.164236]",
El Dorado County,06,06017,191185,1707.841,"[38.741021, -120.761446]",
Fresno County,06,06019,1008654,5958.582,"[36.743848, -119.765291]",
Glenn County,06,06021,28917,1313.976,"[39.665777, -122.179287]",
Humboldt County,06,06023,136463,3568.024,"[40.757636, -124.088127]",
Imperial County,06,06025,179702,4175.528,"[32.841599, -115.540049]",
Inyo County,06,06027,19016,10197.261,"[37.171422, -118.268567]",
Kern County,06,06029,909235,8134.673,"[35.369809, -118.941786]",
Kings County,06,06031,152486,1390.972,"[36.252657, -119.726922]",
Lake County,06,06033,68163,1255.1,"[38.976233, -122.732922]",
Lassen County,06,06035,32730,4541.369,"[40.393749, -120.584467]",
Los Angeles County,06,06037,10014009,4060.254,"[34.067886, -118.24599]",
Madera County,06,06039,156255,2136.709,"[37.037074, -120.009796]",
Marin County,06,06041,262321,520.141,"[37.986474, -122.546657]",
Mariposa County,06,06043,17131,1448.84,"[37.532076, -119.971401]",
Mendocino County,06,06045,91601,3506.807,"[39.285646, -123.394154]",
Merced County,06,06047,281202,1938.004,"[37.274812, -120.628944]",
Modoc County,06,06049,8700,3948.233,"[41.521665, -120.631201]",
Mono County,06,06051,13195,3048.904,"[37.773016, -118.970627]",
Monterey County,06,06053,439035,3281.718,"[36.614681, -121.646692]",
Napa County,06,06055,138019,751.975,"[38.325108, -122.319983]",
Nevada County,06,06057,102241,957.76,"[39.220021, -120.915206]",
Orange County,06,06059,3186989,792.867,"[33.732683, -117.858773]",
Placer County,06,06061,404739,1407.073,"[38.839708, -121.198379]",
Plumas County,06,06063,19790,2553.062,"[39.981152, -120.821957]",
Riverside County,06,06065,2418185,7209.254,"[33.799274, -117.076969]",
Sacramento County,06,06067,1585055,965.28,"[38.568337, -121.381235]",
San Benito County,06,06069,64209,1388.652,"[36.843074, -121.402614]",
San Bernardino County,06,06071,2181654,20068.167,"[34.190969, -117.359766]",
San Diego County,06,06073,3298634,4210.462,"[32.884418, -117.112348]",
San Francisco County,06,06075,873965,46.685,"[37.760569, -122.436499]",
San Joaquin County,06,06077,779233,1392.238,"[37.924541, -121.302289]",
San Luis Obispo County,06,06079,282424,3300.842,"[35.341822, -120.665804]",
San Mateo County,06,06081,764442,448.62,"[37.563575, -122.339869]",
Santa Barbara County,06,06083,448229,2733.941,"[34.645128, -120.1029]",
Santa Clara County,06,06085,1936259,1291.084,"[37.315518, -121.91109]",
Santa Cruz County,06,06087,270861,445.106,"[36.986338, -121.938739]",
Shasta County,06,06089,182155,3775.651,"[40.578348, -122.300147]",
Sierra County,06,06091,3236,953.168,"[39.607184, -120.421856]",
Siskiyou County,06,06093,44076,6278.767,"[41.572743, -122.493725]",
Solano County,06,06095,453491,821.736,"[38.236295, -122.067272]",
Sonoma County,06,06097,488863,1575.337,"[38.412281, -122.720368]",
Stanislaus County,06,06099,552878,1496.15,"[37.618447, -120.955882]",
Sutter County,06,06101,99633,602.696,"[39.137197, -121.643973]",
Tehama County,06,06103,65829,2949.137,"[40.114795, -122.219057]",
Trinity County,06,06105,16112,3179.268,"[40.629982, -123.096608]",
Tulare County,06,06107,473117,4823.9,"[36.254134, -119.23454]",
Tuolumne County,06,06109,55620,2220.912,"[37.972006, -120.325224]",
Ventura County,06,06111,843843,1840.78,"[34.242809, -119.025486]",
Yolo County,06,06113,216403,1012.988,"[38.598163, -121.718874]",
Yuba County,06,06115,81575,632.006,"[39.131905, -121.510607]",
