county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,08,08001,519572,1166.792,"[39.876949, -104.920943]",
Alamosa County,08,08003,16376,722.645,"[37.481888, -105.877629]",
Arapahoe County,08,08005,655070,797.887,"[39.646582, -104.838574]",
Archuleta County,08,08007,13359,1350.088,"[37.240274, -107.089808]",
Baca County,08,08009,3506,2554.993,"[37.368105, -102.53204]",
Bent County,08,08011,5650,1512.847,"[38.072919, -103.166006]",
Boulder County,08,08013,330758,726.408,"[40.062992, -105.180215]",
Broomfield County,08,08014,74112,32.968,"[39.939871, -105.058131]",
Chaffee County,08,08015,19476,1013.408,"[38.676811, -106.085131]",
Cheyenne County,08,08017,1748,1778.276,"[38.817655, -102.470052]",
Clear Creek County,08,08019,9397,395.073,"[39.713458, -105.532527]",
Conejos County,08,08021,7461,1287.428,"[37.199613, -105.987323]",
Costilla County,08,08023,3499,1227.593,"[37.29223, -105.444296]",
Crowley County,08,08025,5922,787.428,"[38.193783, -103.856387]",
Custer County,08,08027,4704,738.626,"[38.133198, -105.382527]",
Delta County,08,08029,31196,1142.125,"[38.798198, -107.913769]",
Denver County,08,08031,715522,153.074,"[39.72486, -104.950033]",
Dolores County,08,08033,2326,1067.17,"[37.746934, -108.758724]",
Douglas County,08,08035,357978,840.888,"[39.482023, -104.87357]",
Eagle County,08,08037,55731,1684.47,"[39.600516, -106.733421]",
Elbert County,08,08039,26062,1850.086,"[39.388552, -104.52311]",
El Paso County,08,08041,730395,2126.416,"[38.877314, -104.75212]",
Fremont County,08,08043,48939,1533.835,"[38.426941, -105.214303]",
Garfield County,08,08045,61685,2947.425,"[39.507103, -107.549019]",
Gilpin County,08,08047,5808,150.023,"[39.856062, -105.483217]",
Grand County,08,08049,15717,1846.447,"[40.051143, -105.978501]",
Gunnison County,08,08051,16918,3239.14,"[38.660002, -106.944384]",
Hinsdale County,08,08053,788,1117.231,"[38.002552, -107.29875]",
Huerfano County,08,08055,6820,1591.033,"[37.612538, -104.887584]",
Jackson County,08,08057,1379,1613.726,"[40.690192, -106.295485]",
Jefferson County,08,08059,582910,764.39,"[39.72369, -105.130309]",
Kiowa County,08,08061,1446,1767.809,"[38.470085, -102.700966]",
Kit Carson County,08,08063,7087,2160.822,"[39.310418, -102.462031]",
Lake County,08,08065,7436,376.919,"[39.244814, -106.30747]",
La Plata County,08,08067,55638,1689.682,"[37.266021, -107.803947]",
Larimer County,08,08069,359066,2595.746,"[40.504402, -105.089155]",
Las Animas County,08,08071,14555,4772.938,"[37.192053, -104.501324]",
Lincoln County,08,08073,5675,2577.73,"[39.180049, -103.614219]",
Logan County,08,08075,21528,1838.599,"[40.64034, -103.185977]",
Mesa County,08,08077,155703,3328.721,"[39.092942, -108.546673]",
Mineral County,08,08079,865,875.76,"[37.779142, -106.942063]",
Moffat County,08,08081,13292,4743.244,"[40.51606, -107.613977]",
Montezuma County,08,08083,25849,2029.349,"[37.371913, -108.554458]",
Montrose County,08,08085,42679,2240.946,"[38.481301, -107.922349]",
Morgan County,08,08087,29111,1280.485,"[40.254229, -103.789071]",
Otero County,08,08089,18690,1261.946,"[38.023236, -103.655776]",
Ouray County,08,08091,4874,540.671,"[38.146044, -107.751894]",
Park County,08,08093,17390,2193.51,"[39.305737, -105.625362]",
Phillips County,08,08095,4530,687.928,"[40.599356, -102.385877]",
Pitkin County,08,08097,17358,970.701,"[39.231757, -106.908716]",
Prowers County,08,08099,11999,1638.407,"[38.083029, -102.548624]",
Pueblo County,08,08101,168162,2386.591,"[38.265773, -104.646976]",
Rio Blanco County,08,08103,6529,3220.971,"[40.05108, -108.268744]",
Rio Grande County,08,08105,11539,911.956,"[37.61185, -106.242067]",
Routt County,08,08107,24829,2362.02,"[40.455504, -106.89741]",
Saguache County,08,08109,6368,3168.566,"[37.925349, -106.006105]",
San Juan County,08,08111,705,387.516,"[37.801877, -107.673598]",
San Miguel County,08,08113,8072,1286.725,"[37.971818, -107.958108]",
Sedgwick County,08,08115,2404,548.041,"[40.962161, -102.325673]",
Summit County,08,08117,31055,608.328,"[39.572383, -106.055673]",
Teller County,08,08119,24710,557.141,"[38.944782, -105.139899]",
Washington County,08,08121,4817,2518.084,"[40.098312, -103.157119]",
Weld County,08,08123,328981,3984.958,"[40.322426, -104.807009]",
Yuma County,08,08125,9988,2364.399,"[40.065848, -102.480825]",
