county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Alachua County,12,12001,278468,875.646,"[29.664721, -82.391582]",
Baker County,12,12003,28259,585.23,"[30.286374, -82.184536]",
Bay County,12,12005,175216,758.622,"[30.21282, -85.670601]",
Bradford County,12,12007,28303,293.966,"[29.949896, -82.128265]",
Brevard County,12,12009,606612,1014.967,"[28.225111, -80.690892]",
Broward County,12,12011,1944375,1202.9,"[26.135399, -80.226976]",
Calhoun County,12,12013,13648,567.336,"[30.464333, -85.125841]",
Charlotte County,12,12015,186847,681.117,"[26.953831, -82.117344]",
Citrus County,12,12017,153843,581.934,"[28.865585, -82.455213]",
Clay County,12,12019,218245,604.598,"[30.087758, -81.800487]",
Collier County,12,12021,375752,1996.995,"[26.203653, -81.69257]",
Columbia County,12,12023,69698,797.377,"[30.122022, -82.664496]",
DeSoto County,12,12027,33976,636.695,"[27.1868, -81.87051]",
Dixie County,12,12029,16759,705.035,"[29.634593, -83.058664]",
Duval County,12,12031,995567,762.623,"[30.298646, -81.620436]",
Escambia County,12,12033,321905,656.997,"[30.485666, -87.277106]",
Flagler County,12,12035,115378,486.191,"[29.521471, -81.222102]",
Franklin County,12,12037,12451,544.999,"[29.785968, -84.813247]",
Gadsden County,12,12039,43826,516.375,"[30.593632, -84.571737]",
Gilchrist County,12,12041,17864,349.695,"[29.705263, -82.808104]",
Glades County,12,12043,12126,806.822,"[26.897019, -81.189563]",
Gulf County,12,12045,14192,553.467,"[29.955584, -85.259724]",
Hamilton County,12,12047,14004,514.295,"[30.501436, -82.999025]",
Hardee County,12,12049,25327,637.569,"[27.548142, -81.816969]",
Hendry County,12,12051,39619,1155.95,"[26.726562, -81.216144]",
Hernando County,12,12053,194515,472.967,"[28.504446, -82.497025]",
Highlands County,12,12055,101235,1017.664,"[27.462632, -81.444816]",
Hillsborough County,12,12057,1459762,1022.537,"[27.967264, -82.39857]",
Holmes County,12,12059,19653,478.858,"[30.847037, -85.754664]",
Indian River County,12,12061,159788,502.553,"[27.671332, -80.440738]",
Jackson County,12,12063,47319,918.238,"[30.797248, -85.218988]",
Jefferson County,12,12065,14510,598.079,"[30.502892, -83.89133]",
Lafayette County,12,12067,8226,543.345,"[30.063591, -83.176369]",
Lake County,12,12069,383956,952.139,"[28.716853, -81.750668]",
Lee County,12,12071,760822,781.154,"[26.576019, -81.851845]",
Leon County,12,12073,292198,668.428,"[30.466102, -84.269682]",
Levy County,12,12075,42915,1118.255,"[29.380119, -82.662921]",
Liberty County,12,12077,7974,835.563,"[30.399108, -84.907135]",
Madison County,12,12079,17968,696.529,"[30.472359, -83.425943]",
Manatee County,12,12081,399710,742.762,"[27.478313, -82.520478]",
Marion County,12,12083,375908,1588.434,"[29.135817, -82.126125]",
Martin County,12,12085,158431,543.823,"[27.145869, -80.245706]",
Miami-Dade County,12,12086,2701767,1899.954,"[25.769326, -80.30118]",
Monroe County,12,12087,82874,983.034,"[24.747427, -81.244796]",
Nassau County,12,12089,90352,648.681,"[30.608318, -81.63434]",
Okaloosa County,12,12091,211668,929.826,"[30.551645, -86.565567]",
Okeechobee County,12,12093,39644,769.286,"[27.271934, -80.824315]",
Orange County,12,12095,1429908,903.032,"[28.526077, -81.388371]",
Osceola County,12,12097,388656,1327.5,"[28.269056, -81.39037]",
Palm Beach County,12,12099,1492191,1964.32,"[26.616523, -80.143701]",
Pasco County,12,12101,561891,746.606,"[28.258217, -82.51024]",
Pinellas County,12,12103,959107,273.789,"[27.900189, -82.727015]",
Polk County,12,12105,725046,1798.235,"[28.042479, -81.786864]",
Putnam County,12,12107,73321,728.392,"[29.60923, -81.721195]",
St. Johns County,12,12109,273425,600.645,"[29.991793, -81.434924]",
St. Lucie County,12,12111,329226,571.874,"[27.333592, -80.357144]",
Santa Rosa County,12,12113,188000,1012.402,"[30.547226, -87.035767]",
Sarasota County,12,12115,434006,556.026,"[27.201139, -82.416033]",
Seminole County,12,12117,470856,309.368,"[28.699171, -81.310073]",
Sumter County,12,12119,129752,557.144,"[28.83348, -82.024754]",
Suwannee County,12,12121,43474,688.586,"[30.213664, -82.985113]",
Taylor County,12,12123,21796,1043.337,"[30.056859, -83.590349]",
Union County,12,12125,16147,243.555,"[30.011442, -82.35769]",
Volusia County,12,12127,553543,1101.116,"[29.072351, -81.126278]",
Wakulla County,12,12129,33764,606.418,"[30.187394, -84.332906]",
Walton County,12,12131,75305,1038.304,"[30.543793, -86.19019]",
Washington County,12,12133,25318,584.677,"[30.649403, -85.62387]",
