county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Appling County,13,13001,18444,508.263,"[31.770708, -82.338755]",
Atkinson County,13,13003,8286,342.721,"[31.317495, -82.878111]",
Bacon County,13,13005,11140,284.085,"[31.547, -82.46609]",
Baker County,13,13007,2876,341.957,"[31.31096, -84.433608]",
Baldwin County,13,13009,43799,258.699,"[33.085482, -83.243621]",
Banks County,13,13011,18035,232.657,"[34.349158, -83.507471]",
Barrow County,13,13013,83505,161.052,"[33.992491, -83.728597]",
Bartow County,13,13015,108901,458.912,"[34.208535, -84.829148]",
Ben Hill County,13,13017,17194,250.118,"[31.727139, -83.24814]",
Berrien County,13,13019,18160,453.376,"[31.233472, -83.251763]",
Bibb County,13,13021,157346,249.383,"[32.834626, -83.690072]",
Bleckley County,13,13023,12583,215.878,"[32.401506, -83.332183]",
Brantley County,13,13025,18021,443.235,"[31.217234, -81.970017]",
Brooks County,13,13027,16301,493.184,"[30.841118, -83.54227]",
Bryan County,13,13029,44738,437.564,"[31.958731, -81.353407]",
Bulloch County,13,13031,81099,675.963,"[32.415313, -81.762378]",
Burke County,13,13033,24596,827.042,"[33.103215, -82.002339]",
Butts County,13,13035,25434,183.69,"[33.294854, -83.972919]",
Calhoun County,13,13037,5573,280.384,"[31.526143, -84.662951]",
Camden County,13,13039,54768,630.272,"[30.812543, -81.631375]",
Candler County,13,13043,10981,243.059,"[32.399154, -82.060428]",
Carroll County,13,13045,119148,499.116,"[33.623974, -85.043815]",
Catoosa County,13,13047,67872,162.162,"[34.928524, -85.172189]",
Charlton County,13,13049,12518,780.087,"[30.786554, -82.024244]",
Chatham County,13,13051,295291,432.719,"[32.043151, -81.136643]",
Chattahoochee County,13,13053,9565,248.737,"[32.342797, -84.896374]",
Chattooga County,13,13055,24965,313.327,"[34.496004, -85.344042]",
Cherokee County,13,13057,266620,420.955,"[34.170504, -84.494745]",
Clarke County,13,13059,128671,119.3,"[33.950374, -83.381417]",
Clay County,13,13061,2848,195.404,"[31.634951, -85.014589]",
Clayton County,13,13063,297595,141.703,"[33.551579, -84.361187]",
Clinch County,13,13065,6749,815.0,"[31.021262, -82.744401]",
Cobb County,13,13067,766149,339.69,"[33.941801, -84.557976]",
Coffee County,13,13069,43092,592.249,"[31.515718, -82.838428]",
Colquitt County,13,13071,45898,547.067,"[31.179661, -83.767871]",
Columbia County,13,13073,156010,290.194,"[33.514668, -82.175338]",
Cook County,13,13075,17229,228.454,"[31.148353, -83.423804]",
Coweta County,13,13077,146158,440.996,"[33.377998, -84.73346]",
Crawford County,13,13079,12130,324.914,"[32.706715, -83.930196]",
Crisp County,13,13081,20128,272.68,"[31.949314, -83.778048]",
Dade County,13,13083,16251,174.076,"[34.881193, -85.497925]",
Dawson County,13,13085,26798,210.828,"[34.400246, -84.102212]",
Decatur County,13,13087,29367,597.239,"[30.889772, -84.569999]",
DeKalb County,13,13089,764382,267.666,"[33.790223, -84.247613]",
Dodge County,13,13091,19925,495.969,"[32.212397, -83.173704]",
Dooly County,13,13093,11208,392.631,"[32.170176, -83.78074]",
Dougherty County,13,13095,85790,328.644,"[31.574147, -84.171202]",
Douglas County,13,13097,144237,200.136,"[33.724594, -84.735518]",
Early County,13,13099,10854,512.6,"[31.335623, -84.919905]",
Echols County,13,13101,3697,420.407,"[30.712259, -83.050326]",
Effingham County,13,13103,64769,478.83,"[32.287329, -81.299809]",
Elbert County,13,13105,19637,351.103,"[34.128394, -82.880506]",
Emanuel County,13,13107,22768,680.574,"[32.586625, -82.306411]",
Evans County,13,13109,10774,182.893,"[32.168708, -81.906627]",
Fannin County,13,13111,25319,387.106,"[34.902937, -84.312915]",
Fayette County,13,13113,119194,194.695,"[33.428121, -84.513188]",
Floyd County,13,13115,98584,509.833,"[34.256222, -85.183346]",
Forsyth County,13,13117,251283,224.617,"[34.190488, -84.150182]",
Franklin County,13,13119,23424,261.342,"[34.378121, -83.186359]",
Fulton County,13,13121,1066710,526.83,"[33.832534, -84.396191]",
Gilmer County,13,13123,31353,426.181,"[34.675112, -84.486082]",
Glascock County,13,13125,2884,143.746,"[33.236629, -82.60966]",
Glynn County,13,13127,84499,419.623,"[31.202596, -81.486211]",
Gordon County,13,13129,57544,356.457,"[34.498248, -84.907765]",
Grady County,13,13131,26236,454.462,"[30.881836, -84.212447]",
Greene County,13,13133,18915,387.517,"[33.535248, -83.179388]",
Gwinnett County,13,13135,957062,431.126,"[33.954137, -84.053177]",
Habersham County,13,13137,46031,276.867,"[34.565656, -83.541387]",
Hall County,13,13139,203136,392.469,"[34.26936, -83.847644]",
Hancock County,13,13141,8735,471.067,"[33.254841, -83.01325]",
Haralson County,13,13143,29919,282.165,"[33.760719, -85.184723]",
Harris County,13,13145,34668,463.818,"[32.69754, -84.894283]",
Hart County,13,13147,25828,232.422,"[34.355547, -82.964995]",
Heard County,13,13149,11412,295.973,"[33.307964, -85.116748]",
Henry County,13,13151,240712,318.709,"[33.470292, -84.174632]",
Houston County,13,13153,163633,376.155,"[32.565757, -83.663692]",
Irwin County,13,13155,9666,354.363,"[31.604345, -83.27986]",
Jackson County,13,13157,75907,339.698,"[34.129495, -83.599045]",
Jasper County,13,13159,14588,368.406,"[33.358288, -83.726512]",
Jeff Davis County,13,13161,14779,330.919,"[31.847814, -82.600257]",
Jefferson County,13,13163,15709,526.555,"[33.06898, -82.408116]",
Jenkins County,13,13165,8674,347.378,"[32.789871, -81.947165]",
Johnson County,13,13167,9189,303.019,"[32.699439, -82.684511]",
Jones County,13,13169,28347,393.942,"[32.961196, -83.550237]",
Lamar County,13,13171,18500,183.501,"[33.084155, -84.154394]",
Lanier County,13,13173,9877,196.538,"[31.037307, -83.097639]",
Laurens County,13,13175,49570,807.336,"[32.517494, -82.925405]",
Lee County,13,13177,33163,355.844,"[31.680634, -84.177116]",
Liberty County,13,13179,65256,516.463,"[31.828772, -81.5777]",
Lincoln County,13,13181,7690,210.381,"[33.780601, -82.445454]",
Long County,13,13183,16168,400.399,"[31.775868, -81.731661]",
Lowndes County,13,13185,118251,497.25,"[30.860299, -83.281437]",
Lumpkin County,13,13187,33488,282.944,"[34.524477, -83.988151]",
McDuffie County,13,13189,21632,257.379,"[33.459579, -82.468712]",
McIntosh County,13,13191,10975,431.347,"[31.480147, -81.405656]",
Macon County,13,13193,12082,400.662,"[32.324124, -84.039478]",
Madison County,13,13195,30120,282.324,"[34.101336, -83.240303]",
Marion County,13,13197,7498,365.721,"[32.382601, -84.524649]",
Meriwether County,13,13199,20613,500.907,"[33.016626, -84.675396]",
Miller County,13,13201,6000,282.423,"[31.160435, -84.738302]",
Mitchell County,13,13205,21755,512.158,"[31.218188, -84.171176]",
Monroe County,13,13207,27957,396.092,"[33.037037, -83.909101]",
Montgomery County,13,13209,8610,241.145,"[32.173336, -82.52948]",
Morgan County,13,13211,20097,347.411,"[33.600047, -83.485701]",
Murray County,13,13213,39973,344.494,"[34.781729, -84.79164]",
Muscogee County,13,13215,206922,216.5,"[32.495642, -84.928926]",
Newton County,13,13217,112483,273.814,"[33.570575, -83.898026]",
Oconee County,13,13219,41799,184.349,"[33.876988, -83.464103]",
Oglethorpe County,13,13221,14825,439.062,"[33.918851, -83.147433]",
Paulding County,13,13223,168661,312.385,"[33.913898, -84.814237]",
Peach County,13,13225,27981,150.284,"[32.589118, -83.822766]",
Pickens County,13,13227,33216,232.055,"[34.455831, -84.436004]",
Pierce County,13,13229,19716,340.464,"[31.313022, -82.242367]",
Pike County,13,13231,18889,216.086,"[33.10478, -84.366582]",
Polk County,13,13233,42853,310.34,"[34.010871, -85.174625]",
Pulaski County,13,13235,9855,249.261,"[32.273393, -83.478958]",
Putnam County,13,13237,22047,344.682,"[33.319719, -83.335457]",
Quitman County,13,13239,2235,151.237,"[31.859563, -85.078114]",
Rabun County,13,13241,16883,370.137,"[34.879707, -83.407047]",
Randolph County,13,13243,6425,428.236,"[31.758591, -84.758082]",
Richmond County,13,13245,206607,324.34,"[33.427932, -82.051886]",
Rockdale County,13,13247,93570,129.819,"[33.642136, -84.019225]",
Schley County,13,13249,4547,166.909,"[32.241832, -84.306635]",
Screven County,13,13251,14067,645.821,"[32.722235, -81.629825]",
Seminole County,13,13253,9147,237.551,"[30.967903, -84.866698]",
Spalding County,13,13255,67306,195.97,"[33.258944, -84.271569]",
Stephens County,13,13257,26784,178.862,"[34.558402, -83.289701]",
Stewart County,13,13259,5314,458.766,"[32.068608, -84.758019]",
Sumter County,13,13261,29616,482.877,"[32.061409, -84.222402]",
Talbot County,13,13263,5733,391.377,"[32.700716, -84.58298]",
Taliaferro County,13,13265,1559,194.607,"[33.568965, -82.886099]",
Tattnall County,13,13267,22842,480.84,"[32.036453, -82.058473]",
Taylor County,13,13269,7816,376.686,"[32.559079, -84.209743]",
Telfair County,13,13271,12477,437.307,"[32.019316, -82.894969]",
Terrell County,13,13273,9185,335.791,"[31.77202, -84.429026]",
Thomas County,13,13275,45798,544.633,"[30.86927, -83.947978]",
Tift County,13,13277,41344,260.89,"[31.455071, -83.513873]",
Toombs County,13,13279,27030,364.015,"[32.185481, -82.368674]",
Towns County,13,13281,12493,166.479,"[34.940026, -83.782885]",
Treutlen County,13,13283,6406,199.431,"[32.387282, -82.589236]",
Troup County,13,13285,69426,414.015,"[33.038124, -85.029721]",
Turner County,13,13287,9006,285.417,"[31.70277, -83.638274]",
Twiggs County,13,13289,8022,359.26,"[32.702269, -83.416707]",
Union County,13,13291,24632,322.083,"[34.87746, -84.004818]",
Upson County,13,13293,27700,323.467,"[32.90722, -84.325253]",
Walker County,13,13295,67654,446.286,"[34.838709, -85.293092]",
