county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Ada County,16,16001,494967,1052.218,"[43.612091, -116.313143]",
Adams County,16,16003,4379,1362.805,"[44.843883, -116.383254]",
Bannock County,16,16005,87018,1112.489,"[42.871117, -112.425092]",
Bear Lake County,16,16007,6372,975.728,"[42.307481, -111.34121]",
Benewah County,16,16009,9530,776.931,"[47.273057, -116.644633]",
Bingham County,16,16011,47992,2093.732,"[43.223106, -112.346259]",
Blaine County,16,16013,24272,2637.738,"[43.548124, -114.299016]",
Boise County,16,16015,7610,1899.368,"[43.90651, -115.985316]",
Bonner County,16,16017,47110,1733.229,"[48.23649, -116.630197]",
Bonneville County,16,16019,123964,1865.96,"[43.494825, -111.994434]",
Boundary County,16,16021,12056,1268.679,"[48.710599, -116.302645]",
Butte County,16,16023,2574,2236.487,"[43.697316, -113.30219]",
Camas County,16,16025,1077,1074.234,"[43.352907, -114.754454]",
Canyon County,16,16027,231105,587.049,"[43.612485, -116.625046]",
Caribou County,16,16029,7027,1764.194,"[42.646162, -111.652123]",
Cassia County,16,16031,24655,2565.61,"[42.487358, -113.747762]",
Clark County,16,16033,790,1763.145,"[44.194725, -112.262134]",
Clearwater County,16,16035,8734,2457.314,"[46.489093, -116.190755]",
Custer County,16,16037,4275,4922.177,"[44.280306, -114.096283]",
Elmore County,16,16039,28666,3075.079,"[43.117658, -115.685056]",
Franklin County,16,16041,14194,663.019,"[42.098212, -111.871828]",
Fremont County,16,16043,13388,1863.96,"[44.012878, -111.616883]",
Gem County,16,16045,19123,559.774,"[43.883064, -116.507732]",
Gooding County,16,16047,15598,729.322,"[42.853491, -114.750399]",
Idaho County,16,16049,16541,8477.499,"[45.972026, -116.105519]",
Jefferson County,16,16051,30891,1093.681,"[43.68709, -111.959043]",
Jerome County,16,16053,24237,597.543,"[42.699506, -114.464966]",
Kootenai County,16,16055,171362,1237.78,"[47.738595, -116.837402]",
Latah County,16,16057,39517,1075.867,"[46.742589, -116.934836]",
Lemhi County,16,16059,7974,4563.695,"[45.130443, -113.86099]",
Lewis County,16,16061,3533,478.822,"[46.237559, -116.264039]",
Lincoln County,16,16063,5127,1201.364,"[42.971703, -114.333319]",
Madison County,16,16065,52913,469.267,"[43.819187, -111.793855]",
Minidoka County,16,16067,21613,757.227,"[42.611171, -113.712634]",
Nez Perce County,16,16069,42090,848.32,"[46.393945, -116.952097]",
Oneida County,16,16071,4564,1198.951,"[42.18223, -112.295487]",
Owyhee County,16,16073,11913,7668.204,"[43.393385, -116.704658]",
Payette County,16,16075,25386,406.88,"[44.019562, -116.893339]",
Power County,16,16077,7878,1403.826,"[42.774583, -112.827325]",
Shoshone County,16,16079,13169,2637.425,"[47.514916, -116.091781]",
Teton County,16,16081,11630,449.091,"[43.692414, -111.122065]",
Twin Falls County,16,16083,90046,1921.714,"[42.56026, -114.499626]",
Valley County,16,16085,11746,3665.119,"[44.766234, -116.074739]",
Washington County,16,16087,10500,1452.852,"[44.29827, -116.92098]",
