county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,17,17001,65737,855.151,"[39.943853, -91.327397]",
Alexander County,17,17003,5240,235.394,"[37.152943, -89.294878]",
Bond County,17,17005,16725,380.336,"[38.884765, -89.432041]",
Boone County,17,17007,53448,280.749,"[42.294302, -88.852137]",
Brown County,17,17009,6244,305.727,"[39.966021, -90.747509]",
Bureau County,17,17011,33244,869.071,"[41.382406, -89.420549]",
Calhoun County,17,17013,4437,253.829,"[39.122999, -90.638209]",
Carroll County,17,17015,15702,445.406,"[42.067256, -89.969163]",
Cass County,17,17017,13042,375.754,"[39.98041, -90.320947]",
Champaign County,17,17019,205865,996.104,"[40.126856, -88.23646]",
Christian County,17,17021,34032,709.483,"[39.525376, -89.254079]",
Clark County,17,17023,15455,501.39,"[39.351511, -87.796198]",
Clay County,17,17025,13288,468.351,"[38.715726, -88.49181]",
Clinton County,17,17027,36899,473.941,"[38.588708, -89.485747]",
Coles County,17,17029,46863,508.272,"[39.487996, -88.264625]",
Cook County,17,17031,5275541,944.924,"[41.869515, -87.757998]",
Crawford County,17,17033,18679,443.643,"[39.004797, -87.750005]",
Cumberland County,17,17035,10450,345.944,"[39.275024, -88.280686]",
DeKalb County,17,17037,100420,631.337,"[41.927566, -88.726804]",
De Witt County,17,17039,15516,397.561,"[40.170876, -88.911355]",
Douglas County,17,17041,19740,416.65,"[39.766979, -88.280371]",
DuPage County,17,17043,932877,327.847,"[41.848928, -88.071268]",
Edgar County,17,17045,16866,623.324,"[39.636396, -87.713766]",
Edwards County,17,17047,6245,222.4,"[38.401606, -88.041233]",
Effingham County,17,17049,34668,478.769,"[39.095854, -88.573292]",
Fayette County,17,17051,21488,716.443,"[38.995881, -89.033955]",
Ford County,17,17053,13534,485.597,"[40.521655, -88.219432]",
Franklin County,17,17055,37804,408.927,"[37.963987, -88.953694]",
Fulton County,17,17057,33609,865.683,"[40.524812, -90.116575]",
Gallatin County,17,17059,4946,322.941,"[37.772903, -88.239193]",
Greene County,17,17061,11985,543.144,"[39.368918, -90.371192]",
Grundy County,17,17063,52533,418.128,"[41.34999, -88.344624]",
Hamilton County,17,17065,7993,434.647,"[38.091614, -88.558979]",
Hancock County,17,17067,17620,793.748,"[40.425023, -91.202357]",
Hardin County,17,17069,3649,177.389,"[37.478271, -88.295955]",
Henderson County,17,17071,6387,378.793,"[40.824767, -90.944727]",
Henry County,17,17073,49284,823.061,"[41.350891, -90.1358]",
Iroquois County,17,17075,27077,1117.395,"[40.762253, -87.838453]",
Jackson County,17,17077,52974,583.57,"[37.750199, -89.277101]",
Jasper County,17,17079,9287,494.614,"[39.003923, -88.162638]",
Jefferson County,17,17081,37113,571.235,"[38.311195, -88.911598]",
Jersey County,17,17083,21512,369.556,"[39.075249, -90.319327]",
Jo Daviess County,17,17085,22035,600.924,"[42.411305, -90.308466]",
Johnson County,17,17087,13308,343.737,"[37.470122, -88.876484]",
Kane County,17,17089,516522,519.272,"[41.928443, -88.33542]",
Kankakee County,17,17091,107502,676.49,"[41.150459, -87.851699]",
Kendall County,17,17093,131869,320.238,"[41.66076, -88.375603]",
Knox County,17,17095,49967,716.355,"[40.937986, -90.327754]",
Lake County,17,17097,714342,443.679,"[42.311645, -87.970527]",
LaSalle County,17,17099,109658,1135.138,"[41.354304, -88.895139]",
