county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,18,18001,35809,338.925,"[40.749532, -84.934318]",
Allen County,18,18003,385410,657.146,"[41.100842, -85.125233]",
Bartholomew County,18,18005,82208,406.94,"[39.215015, -85.905294]",
Benton County,18,18007,8719,406.418,"[40.576258, -87.291866]",
Blackford County,18,18009,12112,165.082,"[40.468109, -85.345621]",
Boone County,18,18011,70812,422.882,"[40.004643, -86.383249]",
Brown County,18,18013,15475,311.987,"[39.236665, -86.208688]",
Carroll County,18,18015,20306,372.225,"[40.579184, -86.601213]",
Cass County,18,18017,37870,412.144,"[40.747129, -86.338974]",
Clark County,18,18019,121093,372.487,"[38.373412, -85.732548]",
Clay County,18,18021,26466,357.6,"[39.469332, -87.123964]",
Clinton County,18,18023,33190,405.067,"[40.297795, -86.513556]",
Crawford County,18,18025,10526,305.613,"[38.315739, -86.422116]",
Daviess County,18,18027,33381,429.514,"[38.697526, -87.096158]",
Dearborn County,18,18029,50679,305.087,"[39.14676, -84.920533]",
Decatur County,18,18031,26472,372.568,"[39.320693, -85.493081]",
DeKalb County,18,18033,43265,362.834,"[41.377157, -85.034535]",
Delaware County,18,18035,111903,392.109,"[40.20524, -85.402908]",
Dubois County,18,18037,43637,427.267,"[38.35868, -86.915674]",
Elkhart County,18,18039,207047,463.158,"[41.637245, -85.905688]",
Fayette County,18,18041,23398,215.021,"[39.64037, -85.147252]",
Floyd County,18,18043,80484,148.486,"[38.32223, -85.857888]",
Fountain County,18,18045,16479,395.668,"[40.14941, -87.274375]",
Franklin County,18,18047,22785,384.426,"[39.398519, -85.070967]",
Fulton County,18,18049,20480,368.393,"[41.059339, -86.217151]",
Gibson County,18,18051,33011,487.378,"[38.305848, -87.549447]",
Grant County,18,18053,66674,414.089,"[40.525256, -85.644184]",
Greene County,18,18055,30803,542.467,"[39.052523, -86.994152]",
Hamilton County,18,18057,347467,394.388,"[40.001506, -86.057612]",
Hancock County,18,18059,79840,305.957,"[39.815247, -85.829626]",
Harrison County,18,18061,39654,484.081,"[38.234174, -86.098168]",
Hendricks County,18,18063,174788,406.894,"[39.773147, -86.41108]",
Henry County,18,18065,48914,391.877,"[39.928844, -85.403738]",
Howard County,18,18067,83658,293.074,"[40.470296, -86.133562]",
Huntington County,18,18069,36662,382.639,"[40.869855, -85.486182]",
Jackson County,18,18071,46428,509.978,"[38.928711, -85.936294]",
Jasper County,18,18073,32918,559.68,"[41.082454, -87.150606]",
Jay County,18,18075,20478,383.905,"[40.430767, -85.028696]",
Jefferson County,18,18077,33147,360.699,"[38.758699, -85.433151]",
Jennings County,18,18079,27613,376.597,"[39.005508, -85.649705]",
Johnson County,18,18081,161765,320.415,"[39.555913, -86.115187]",
Knox County,18,18083,36282,515.831,"[38.699306, -87.454832]",
Kosciusko County,18,18085,80240,531.446,"[41.267835, -85.830509]",
LaGrange County,18,18087,40446,379.632,"[41.632874, -85.467264]",
Lake County,18,18089,498700,498.89,"[41.518998, -87.407505]",
LaPorte County,18,18091,112417,598.288,"[41.632279, -86.791226]",
Lawrence County,18,18093,45011,449.146,"[38.847818, -86.495942]",
Madison County,18,18095,130129,451.921,"[40.113496, -85.7088]",
Marion County,18,18097,977203,395.996,"[39.788896, -86.136268]",
Marshall County,18,18099,46095,443.618,"[41.347653, -86.272256]",
Martin County,18,18101,9812,335.761,"[38.679659, -86.850513]",
Miami County,18,18103,35962,373.842,"[40.729384, -86.076111]",
Monroe County,18,18105,139718,394.523,"[39.162275, -86.53857]",
Montgomery County,18,18107,37936,504.652,"[40.034526, -86.90058]",
Morgan County,18,18109,71780,403.831,"[39.512934, -86.399124]",
Newton County,18,18111,13830,401.755,"[40.999168, -87.38049]",
Noble County,18,18113,47457,410.843,"[41.415849, -85.388959]",
Ohio County,18,18115,5940,86.15,"[38.954376, -84.909987]",
Orange County,18,18117,19867,398.379,"[38.562253, -86.495955]",
Owen County,18,18119,21321,385.295,"[39.314578, -86.798175]",
Parke County,18,18121,16156,444.725,"[39.757908, -87.225163]",
Perry County,18,18123,19170,381.74,"[38.008616, -86.705505]",
Pike County,18,18125,12250,334.351,"[38.427019, -87.233088]",
Porter County,18,18127,173215,418.113,"[41.513979, -87.104333]",
Posey County,18,18129,25222,409.385,"[38.012717, -87.819868]",
Pulaski County,18,18131,12514,433.678,"[41.051366, -86.684796]",
Putnam County,18,18133,36726,480.536,"[39.646449, -86.834304]",
Randolph County,18,18135,24502,452.379,"[40.169491, -84.996903]",
Ripley County,18,18137,28995,446.431,"[39.160663, -85.219308]",
Rush County,18,18139,16752,408.137,"[39.62209, -85.475672]",
St. Joseph County,18,18141,272912,457.781,"[41.67642, -86.227079]",
Scott County,18,18143,24384,190.403,"[38.697942, -85.764092]",
Shelby County,18,18145,45055,411.136,"[39.535011, -85.790065]",
Spencer County,18,18147,19810,396.888,"[38.019216, -87.009078]",
Starke County,18,18149,23371,309.144,"[41.281734, -86.632742]",
Steuben County,18,18151,34435,308.782,"[41.650003, -85.010961]",
Sullivan County,18,18153,20817,447.196,"[39.103793, -87.393185]",
Switzerland County,18,18155,9737,220.668,"[38.816976, -85.023673]",
Tippecanoe County,18,18157,186251,498.898,"[40.418699, -86.886959]",
Tipton County,18,18159,15359,260.541,"[40.307543, -86.051278]",
Union County,18,18161,7087,161.191,"[39.618364, -84.919464]",
Vanderburgh County,18,18163,180136,233.402,"[37.998233, -87.549603]",
Vermillion County,18,18165,15439,256.894,"[39.759924, -87.439022]",
Vigo County,18,18167,106153,403.631,"[39.460456, -87.386916]",
Wabash County,18,18169,30976,412.539,"[40.855768, -85.80421]",
Warren County,18,18171,8440,364.69,"[40.312721, -87.325412]",
Warrick County,18,18173,63898,384.63,"[38.011051, -87.355616]",
Washington County,18,18175,28182,513.689,"[38.573362, -86.084553]",
Wayne County,18,18177,66553,401.755,"[39.843304, -84.948672]",
Wells County,18,18179,28180,368.087,"[40.770773, -85.192988]",
White County,18,18181,24688,505.14,"[40.753581, -86.809953]",
Whitley County,18,18183,34191,335.622,"[41.16305, -85.478007]",
