county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adair County,19,19001,7496,569.271,"[41.347726, -94.478337]",
Adams County,19,19003,3704,423.433,"[41.007205, -94.708824]",
Allamakee County,19,19005,14061,639.071,"[43.252971, -91.42476]",
Appanoose County,19,19007,12317,497.299,"[40.741265, -92.864741]",
Audubon County,19,19009,5674,442.96,"[41.675888, -94.925428]",
Benton County,19,19011,25575,716.102,"[42.063318, -92.013283]",
Black Hawk County,19,19013,131144,565.773,"[42.490207, -92.37179]",
Boone County,19,19015,26715,570.461,"[42.026222, -93.892211]",
Bremer County,19,19017,24988,435.479,"[42.740346, -92.380697]",
Buchanan County,19,19019,20565,571.084,"[42.48513, -91.901131]",
Buena Vista County,19,19021,20823,574.899,"[42.676707, -95.184296]",
Butler County,19,19023,14334,580.138,"[42.701602, -92.758281]",
Calhoun County,19,19025,9927,569.846,"[42.39777, -94.623179]",
Carroll County,19,19027,20760,569.453,"[42.039462, -94.867701]",
Cass County,19,19029,13127,564.258,"[41.366511, -94.977692]",
Cedar County,19,19031,18505,579.462,"[41.756011, -91.140408]",
Cerro Gordo County,19,19033,43127,568.302,"[43.135216, -93.246108]",
Cherokee County,19,19035,11658,576.907,"[42.751225, -95.591928]",
Chickasaw County,19,19037,12012,504.324,"[43.038731, -92.342847]",
Clarke County,19,19039,9748,431.111,"[41.034767, -93.783479]",
Clay County,19,19041,16384,567.238,"[43.127358, -95.159344]",
Clayton County,19,19043,17043,778.464,"[42.860684, -91.321147]",
Clinton County,19,19045,46460,694.959,"[41.852141, -90.341168]",
Crawford County,19,19047,16525,714.198,"[42.026692, -95.357436]",
Dallas County,19,19049,99678,588.23,"[41.630722, -93.900543]",
Davis County,19,19051,9110,502.188,"[40.762546, -92.418316]",
Decatur County,19,19053,7645,531.883,"[40.7123, -93.817156]",
Delaware County,19,19055,17488,577.684,"[42.48163, -91.383936]",
Des Moines County,19,19057,38910,416.129,"[40.83528, -91.143256]",
Dickinson County,19,19059,17703,380.532,"[43.38895, -95.134559]",
Dubuque County,19,19061,99266,608.299,"[42.493173, -90.762214]",
Emmet County,19,19063,9388,395.89,"[43.395995, -94.75827]",
Fayette County,19,19065,19509,730.817,"[42.821543, -91.855739]",
Floyd County,19,19067,15627,500.571,"[43.075228, -92.751434]",
Franklin County,19,19069,10019,581.972,"[42.754609, -93.239282]",
Fremont County,19,19071,6605,511.168,"[40.753741, -95.616798]",
Greene County,19,19073,8771,569.558,"[42.029106, -94.379863]",
Grundy County,19,19075,12329,501.855,"[42.38048, -92.747282]",
Guthrie County,19,19077,10623,590.614,"[41.665841, -94.427696]",
Hamilton County,19,19079,15039,576.731,"[42.406603, -93.767427]",
Hancock County,19,19081,10795,571.005,"[43.092315, -93.702667]",
Hardin County,19,19083,16878,569.307,"[42.436346, -93.217038]",
Harrison County,19,19085,14582,696.874,"[41.662599, -95.804583]",
Henry County,19,19087,20482,434.288,"[40.977985, -91.536884]",
Howard County,19,19089,9469,473.247,"[43.361965, -92.229351]",
Humboldt County,19,19091,9597,434.372,"[42.746569, -94.216619]",
Ida County,19,19093,7005,431.513,"[42.393275, -95.505465]",
Iowa County,19,19095,16662,586.455,"[41.701018, -92.039155]",
Jackson County,19,19097,19485,636.047,"[42.141479, -90.567662]",
Jasper County,19,19099,37813,730.428,"[41.678059, -93.07144]",
Jefferson County,19,19101,15663,435.524,"[41.012603, -91.965861]",
Johnson County,19,19103,152854,612.997,"[41.683586, -91.561276]",
Jones County,19,19105,20646,575.618,"[42.138136, -91.200472]",
Keokuk County,19,19107,10033,579.175,"[41.324433, -92.175248]",
