county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Allen County,20,20001,12526,500.297,"[37.896944, -95.369306]",
Anderson County,20,20003,7836,579.641,"[38.251802, -95.263224]",
Atchison County,20,20005,16348,431.174,"[39.555375, -95.179193]",
Barber County,20,20007,4228,1134.075,"[37.211912, -98.557723]",
Barton County,20,20009,25493,895.257,"[38.396456, -98.75829]",
Bourbon County,20,20011,14360,635.461,"[37.845974, -94.749672]",
Brown County,20,20013,9508,570.871,"[39.805025, -95.551801]",
Butler County,20,20015,67380,1429.716,"[37.725409, -96.99849]",
Chase County,20,20017,2572,773.053,"[38.358225, -96.558338]",
Chautauqua County,20,20019,3379,638.881,"[37.115752, -96.228059]",
Cherokee County,20,20021,19362,587.567,"[37.114832, -94.751725]",
Cheyenne County,20,20023,2616,1019.89,"[39.769323, -101.738091]",
Clark County,20,20025,1991,974.638,"[37.295814, -99.886429]",
Clay County,20,20027,8117,645.298,"[39.354338, -97.122448]",
Cloud County,20,20029,9032,715.342,"[39.53486, -97.635801]",
Coffey County,20,20031,8360,626.885,"[38.249077, -95.741609]",
Comanche County,20,20033,1689,788.298,"[37.233664, -99.373213]",
Cowley County,20,20035,34549,1125.738,"[37.17461, -96.99836]",
Crawford County,20,20037,38972,589.771,"[37.438265, -94.729385]",
Decatur County,20,20039,2764,893.517,"[39.804239, -100.484373]",
Dickinson County,20,20041,18402,847.068,"[38.886002, -97.152074]",
Doniphan County,20,20043,7510,393.475,"[39.787452, -95.071424]",
Douglas County,20,20045,118785,455.764,"[38.942493, -95.254186]",
Edwards County,20,20047,2907,621.894,"[37.913198, -99.352782]",
Elk County,20,20049,2483,644.264,"[37.423675, -96.239085]",
Ellis County,20,20051,28934,899.934,"[38.882206, -99.330542]",
Ellsworth County,20,20053,6376,715.575,"[38.725437, -98.268058]",
Finney County,20,20055,38470,1301.997,"[37.977246, -100.863047]",
Ford County,20,20057,34287,1098.271,"[37.753005, -99.995523]",
Franklin County,20,20059,25996,571.772,"[38.603542, -95.260357]",
Geary County,20,20061,36739,384.652,"[39.040483, -96.838824]",
Gove County,20,20063,2718,1071.666,"[39.047079, -100.377754]",
Graham County,20,20065,2415,898.527,"[39.358244, -99.855627]",
Grant County,20,20067,7352,574.808,"[37.580299, -101.351338]",
Gray County,20,20069,5653,868.867,"[37.724149, -100.412286]",
Greeley County,20,20071,1284,778.404,"[38.483553, -101.758084]",
Greenwood County,20,20073,6016,1143.304,"[37.861919, -96.224613]",
Hamilton County,20,20075,2518,996.514,"[37.98058, -101.760582]",
Harper County,20,20077,5485,801.274,"[37.215327, -98.049879]",
Harvey County,20,20079,34024,539.756,"[38.046143, -97.385867]",
Haskell County,20,20081,3780,577.521,"[37.495004, -100.890211]",
Hodgeman County,20,20083,1723,859.992,"[38.085859, -99.860131]",
Jackson County,20,20085,13232,656.219,"[39.402317, -95.752834]",
Jefferson County,20,20087,18368,532.626,"[39.210953, -95.397523]",
Jewell County,20,20089,2932,909.971,"[39.777617, -98.198892]",
Johnson County,20,20091,609863,473.62,"[38.924919, -94.740299]",
Kearny County,20,20093,3983,870.543,"[37.951539, -101.24168]",
Kingman County,20,20095,7470,863.419,"[37.610273, -98.098011]",
Kiowa County,20,20097,2460,722.64,"[37.595999, -99.252339]",
Labette County,20,20099,20184,645.393,"[37.259841, -95.262384]",
Lane County,20,20101,1574,717.409,"[38.504038, -100.483419]",
Leavenworth County,20,20103,81881,463.408,"[39.23513, -94.959527]",
Lincoln County,20,20105,2939,719.4,"[39.035019, -98.186201]",
Linn County,20,20107,9591,594.081,"[38.239619, -94.800976]",
Logan County,20,20109,2762,1072.993,"[39.095504, -100.926327]",
Lyon County,20,20111,32179,847.478,"[38.416221, -96.17907]",
McPherson County,20,20113,30223,898.285,"[38.382645, -97.646719]",
Marion County,20,20115,11823,944.299,"[38.324754, -97.127529]",
Marshall County,20,20117,10038,900.178,"[39.800328, -96.573926]",
Meade County,20,20119,4055,978.083,"[37.292243, -100.396872]",
Miami County,20,20121,34191,575.88,"[38.595195, -94.83105]",
Mitchell County,20,20123,5796,701.792,"[39.45426, -98.175033]",
Montgomery County,20,20125,31486,643.594,"[37.143443, -95.693873]",
Morris County,20,20127,5386,695.343,"[38.694354, -96.58085]",
Morton County,20,20129,2701,729.731,"[37.043232, -101.840026]",
Nemaha County,20,20131,10273,717.427,"[39.829395, -95.96626]",
Neosho County,20,20133,15904,571.481,"[37.623786, -95.396134]",
Ness County,20,20135,2687,1074.739,"[38.488254, -99.897744]",
Norton County,20,20137,5459,878.044,"[39.82351, -99.876765]",
Osage County,20,20139,15766,705.506,"[38.699173, -95.713137]",
Osborne County,20,20141,3500,892.516,"[39.425897, -98.705316]",
Ottawa County,20,20143,5735,720.73,"[39.096393, -97.682422]",
Pawnee County,20,20145,6253,754.263,"[38.179763, -99.146958]",
Phillips County,20,20147,4981,885.871,"[39.759487, -99.348621]",
Pottawatomie County,20,20149,25348,840.735,"[39.251723, -96.332282]",
Pratt County,20,20151,9157,735.039,"[37.6448, -98.730599]",
Rawlins County,20,20153,2561,1069.416,"[39.807173, -101.050348]",
Reno County,20,20155,61898,1255.308,"[38.051646, -97.931942]",
Republic County,20,20157,4674,717.377,"[39.817924, -97.659071]",
Rice County,20,20159,9427,726.235,"[38.320405, -98.199874]",
Riley County,20,20161,71959,609.66,"[39.190165, -96.632706]",
Rooks County,20,20163,4919,890.527,"[39.321747, -99.314061]",
Rush County,20,20165,2956,717.763,"[38.527826, -99.281206]",
Russell County,20,20167,6691,886.26,"[38.904218, -98.830652]",
Saline County,20,20169,54303,720.242,"[38.814764, -97.605554]",
Scott County,20,20171,5151,717.585,"[38.481574, -100.913143]",
Sedgwick County,20,20173,523824,997.001,"[37.680269, -97.34439]",
Seward County,20,20175,21964,639.653,"[37.051086, -100.918735]",
Shawnee County,20,20177,178909,544.012,"[39.034789, -95.706417]",
Sheridan County,20,20179,2447,895.957,"[39.368138, -100.463405]",
Sherman County,20,20181,5927,1056.064,"[39.350878, -101.726045]",
Smith County,20,20183,3570,895.464,"[39.770601, -98.805608]",
Stafford County,20,20185,4072,792.046,"[38.005058, -98.733831]",
Stanton County,20,20187,2084,680.352,"[37.565287, -101.757372]",
Stevens County,20,20189,5250,727.26,"[37.187133, -101.322543]",
Sumner County,20,20191,22382,1181.668,"[37.303365, -97.406786]",
Thomas County,20,20193,7930,1074.687,"[39.384656, -101.050191]",
Trego County,20,20195,2808,889.474,"[39.003748, -99.881416]",
Wabaunsee County,20,20197,6877,794.336,"[38.989695, -96.178582]",
Wallace County,20,20199,1512,913.652,"[38.885844, -101.761616]",
Washington County,20,20201,5530,894.759,"[39.779332, -97.048861]",
Wichita County,20,20203,2152,718.566,"[38.494575, -101.349645]",
Wilson County,20,20205,8624,570.423,"[37.511463, -95.739717]",
Woodson County,20,20207,3115,497.819,"[37.876071, -95.735035]",
Wyandotte County,20,20209,169245,151.638,"[39.106038, -94.712818]",
