county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adair County,21,21001,18903,405.292,"[37.107461, -85.27965]",
Allen County,21,21003,20588,343.724,"[36.750241, -86.210149]",
Anderson County,21,21005,23852,202.26,"[38.02799, -84.925693]",
Ballard County,21,21007,7728,247.095,"[37.043623, -88.976992]",
Barren County,21,21009,44485,487.365,"[36.995285, -85.932182]",
Bath County,21,21011,12750,277.992,"[38.138475, -83.7406]",
Bell County,21,21013,24097,358.999,"[36.680825, -83.70439]",
Boone County,21,21015,135968,246.268,"[38.984893, -84.678985]",
Bourbon County,21,21017,20252,289.75,"[38.203999, -84.246703]",
Boyd County,21,21019,48261,159.866,"[38.432179, -82.666251]",
Boyle County,21,21021,30614,180.336,"[37.637853, -84.796823]",
Bracken County,21,21023,8400,202.665,"[38.701217, -84.072685]",
Breathitt County,21,21025,13718,492.422,"[37.518699, -83.377385]",
Breckinridge County,21,21027,20432,569.725,"[37.769799, -86.408122]",
Bullitt County,21,21029,82217,297.085,"[38.023787, -85.651771]",
Butler County,21,21031,12371,426.112,"[37.217537, -86.677714]",
Caldwell County,21,21033,12649,344.835,"[37.125484, -87.878812]",
Calloway County,21,21035,37103,384.862,"[36.621007, -88.30609]",
Campbell County,21,21037,93076,151.32,"[39.032376, -84.439251]",
Carlisle County,21,21039,4826,189.463,"[36.855639, -88.946346]",
Carroll County,21,21041,10810,128.7,"[38.669245, -85.140741]",
Carter County,21,21043,26627,409.497,"[38.314087, -83.034886]",
Casey County,21,21045,15941,444.258,"[37.301616, -84.925995]",
Christian County,21,21047,72748,717.66,"[36.80904, -87.477832]",
Clark County,21,21049,36972,252.482,"[37.986421, -84.182808]",
Clay County,21,21051,20345,469.296,"[37.168974, -83.750091]",
Clinton County,21,21053,9253,197.063,"[36.715915, -85.13447]",
Crittenden County,21,21055,8990,359.566,"[37.33223, -88.095012]",
Cumberland County,21,21057,5888,305.147,"[36.782421, -85.389733]",
Daviess County,21,21059,103312,458.398,"[37.747426, -87.095079]",
Edmonson County,21,21061,12126,302.806,"[37.192292, -86.253259]",
Elliott County,21,21063,7354,234.321,"[38.122978, -83.108689]",
Estill County,21,21065,14163,253.081,"[37.707053, -83.991846]",
Fayette County,21,21067,322570,283.854,"[38.020293, -84.49441]",
Fleming County,21,21069,15082,348.672,"[38.388852, -83.709683]",
Floyd County,21,21071,35942,393.3,"[37.558551, -82.7396]",
Franklin County,21,21073,51541,207.91,"[38.195361, -84.867165]",
Fulton County,21,21075,6515,205.932,"[36.538105, -89.037115]",
Gallatin County,21,21077,8690,98.282,"[38.764935, -84.841609]",
Garrard County,21,21079,16953,229.925,"[37.650333, -84.575237]",
Grant County,21,21081,24941,257.976,"[38.689224, -84.602905]",
Graves County,21,21083,36649,551.757,"[36.742207, -88.650736]",
Grayson County,21,21085,26420,499.536,"[37.471252, -86.30457]",
Green County,21,21087,11107,285.963,"[37.265986, -85.538884]",
Greenup County,21,21089,35962,344.455,"[38.55436, -82.809161]",
Hancock County,21,21091,9095,187.675,"[37.868547, -86.805118]",
Hardin County,21,21093,110702,623.904,"[37.743564, -85.915853]",
Harlan County,21,21095,26831,465.83,"[36.866097, -83.2338]",
Harrison County,21,21097,18692,306.458,"[38.414072, -84.314294]",
Hart County,21,21099,19288,412.67,"[37.280435, -85.88777]",
Henderson County,21,21101,44793,436.361,"[37.817983, -87.564508]",
Henry County,21,21103,15678,286.251,"[38.4314, -85.180752]",
Hickman County,21,21105,4521,242.331,"[36.664413, -88.956556]",
Hopkins County,21,21107,45423,542.187,"[37.308856, -87.52201]",
Jackson County,21,21109,12955,345.227,"[37.400575, -83.992381]",
Jefferson County,21,21111,782969,380.83,"[38.201451, -85.686227]",
Jessamine County,21,21113,52991,172.113,"[37.886869, -84.585371]",
Johnson County,21,21115,22680,261.966,"[37.830575, -82.817074]",
Kenton County,21,21117,169064,160.374,"[39.011065, -84.549073]",
Knott County,21,21119,14251,351.524,"[37.328988, -82.942351]",
Knox County,21,21121,30193,386.33,"[36.902733, -83.921054]",
Larue County,21,21123,14867,261.04,"[37.542807, -85.723159]",
Laurel County,21,21125,62613,433.703,"[37.091997, -84.087505]",
Lawrence County,21,21127,16293,415.598,"[38.081027, -82.677508]",
Lee County,21,21129,7395,208.821,"[37.590698, -83.702693]",
Leslie County,21,21131,10513,400.878,"[37.115702, -83.376004]",
Letcher County,21,21133,21548,337.934,"[37.146816, -82.807202]",
Lewis County,21,21135,13080,482.858,"[38.564104, -83.350474]",
Lincoln County,21,21137,24275,332.904,"[37.473364, -84.670402]",
Livingston County,21,21139,8888,312.96,"[37.133064, -88.351386]",
Logan County,21,21141,27432,552.216,"[36.859958, -86.862831]",
Lyon County,21,21143,8680,213.785,"[37.065485, -88.079475]",
McCracken County,21,21145,67875,248.786,"[37.0493, -88.649871]",
McCreary County,21,21147,16888,426.709,"[36.713019, -84.447417]",
McLean County,21,21149,9152,252.525,"[37.51554, -87.221398]",
Madison County,21,21151,92701,437.934,"[37.70685, -84.286707]",
Magoffin County,21,21153,11637,308.443,"[37.733397, -83.057067]",
Marion County,21,21155,19581,343.551,"[37.570127, -85.28442]",
Marshall County,21,21157,31659,302.126,"[36.897003, -88.34]",
Martin County,21,21159,11287,229.644,"[37.835468, -82.516965]",
Mason County,21,21161,17120,240.127,"[38.616511, -83.789096]",
Meade County,21,21163,30003,305.463,"[37.934417, -86.134606]",
Menifee County,21,21165,6113,203.538,"[37.945275, -83.595979]",
Mercer County,21,21167,22641,249.383,"[37.785035, -84.84891]",
Metcalfe County,21,21169,10286,289.651,"[36.990976, -85.64095]",
Monroe County,21,21171,11338,329.475,"[36.707799, -85.723364]",
Montgomery County,21,21173,28114,197.376,"[38.037988, -83.918227]",
Morgan County,21,21175,13726,381.104,"[37.914473, -83.268972]",
Muhlenberg County,21,21177,30928,467.28,"[37.238076, -87.146244]",
Nelson County,21,21179,46738,418.686,"[37.820783, -85.4595]",
Nicholas County,21,21181,7537,195.306,"[38.324558, -84.022987]",
Ohio County,21,21183,23772,587.095,"[37.464465, -86.864757]",
Oldham County,21,21185,67607,187.294,"[38.372614, -85.459227]",
Owen County,21,21187,11278,350.487,"[38.530989, -84.831041]",
Owsley County,21,21189,4051,197.402,"[37.45244, -83.68482]",
Pendleton County,21,21191,14644,277.148,"[38.715312, -84.359242]",
Perry County,21,21193,28473,339.724,"[37.258818, -83.200329]",
Pike County,21,21195,58669,786.222,"[37.463914, -82.427235]",
Powell County,21,21197,13129,178.962,"[37.850736, -83.880539]",
Pulaski County,21,21199,65034,658.1,"[37.092197, -84.614379]",
Robertson County,21,21201,2193,99.591,"[38.520923, -84.051005]",
Rockcastle County,21,21203,16037,316.567,"[37.380897, -84.351176]",
Rowan County,21,21205,24662,279.881,"[38.194754, -83.444323]",
Russell County,21,21207,17991,253.26,"[37.030799, -85.058512]",
Scott County,21,21209,57155,282.194,"[38.230636, -84.568282]",
Shelby County,21,21211,48065,379.79,"[38.212966, -85.232221]",
Simpson County,21,21213,19594,234.175,"[36.732484, -86.571947]",
Spencer County,21,21215,19490,186.671,"[38.06313, -85.350311]",
Taylor County,21,21217,26023,266.414,"[37.350286, -85.342524]",
Todd County,21,21219,12243,374.513,"[36.812095, -87.173233]",
Trigg County,21,21221,14061,441.433,"[36.845549, -87.834907]",
Trimble County,21,21223,8474,147.771,"[38.61932, -85.33207]",
Union County,21,21225,13668,342.878,"[37.652277, -87.929907]",
Warren County,21,21227,134554,541.73,"[36.966984, -86.435814]",
Washington County,21,21229,12027,297.284,"[37.738166, -85.192752]",
Wayne County,21,21231,19555,458.043,"[36.838184, -84.845965]",
Webster County,21,21233,13017,332.026,"[37.502386, -87.68192]",
Whitley County,21,21235,36712,437.922,"[36.814087, -84.141533]",
Wolfe County,21,21237,6562,222.159,"[37.739826, -83.509721]",
Woodford County,21,21239,26871,189.573,"[38.048373, -84.726705]",
