county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Acadia County,22,22001,57576,655.244,"[30.281563, -92.350979]",
Allen County,22,22003,22750,762.085,"[30.669442, -92.779523]",
Ascension County,22,22005,126500,290.003,"[30.254386, -90.934071]",
Assumption County,22,22007,21039,344.021,"[29.921462, -91.065832]",
Avoyelles County,22,22009,39693,831.363,"[31.057263, -92.067528]",
Beauregard County,22,22011,36549,1157.478,"[30.723548, -93.282544]",
Bienville County,22,22013,12981,811.344,"[32.384335, -93.079008]",
Bossier County,22,22015,128746,839.621,"[32.560816, -93.659046]",
Caddo County,22,22017,237848,879.535,"[32.468933, -93.799166]",
Calcasieu County,22,22019,216785,1064.085,"[30.225067, -93.257749]",
Caldwell County,22,22021,9645,529.77,"[32.073032, -92.104629]",
Cameron County,22,22023,5617,1284.639,"[29.957136, -93.210852]",
Catahoula County,22,22025,8906,709.252,"[31.694978, -91.820047]",
Claiborne County,22,22027,14170,754.794,"[32.826371, -93.033201]",
Concordia County,22,22029,18687,695.706,"[31.592181, -91.54632]",
De Soto County,22,22031,26812,876.449,"[32.121308, -93.778274]",
East Baton Rouge County,22,22033,456781,455.502,"[30.460289, -91.100064]",
East Carroll County,22,22035,7459,420.887,"[32.761788, -91.184557]",
East Feliciana County,22,22037,19539,453.293,"[30.820502, -91.090607]",
Evangeline County,22,22039,32350,662.431,"[30.690294, -92.361575]",
Franklin County,22,22041,19774,624.298,"[32.147658, -91.695666]",
Grant County,22,22043,22169,643.75,"[31.530198, -92.538082]",
Iberia County,22,22045,69929,574.74,"[29.994242, -91.80964]",
Iberville County,22,22047,30241,617.275,"[30.271035, -91.232013]",
Jackson County,22,22049,15031,569.468,"[32.283184, -92.643112]",
Jefferson County,22,22051,440781,300.864,"[29.945816, -90.152287]",
Jefferson Davis County,22,22053,32250,651.52,"[30.241059, -92.746247]",
Lafayette County,22,22055,241753,268.827,"[30.198103, -92.042199]",
Lafourche County,22,22057,97557,1067.793,"[29.690273, -90.63396]",
LaSalle County,22,22059,14791,624.854,"[31.726006, -92.16954]",
Lincoln County,22,22061,48396,471.636,"[32.54964, -92.645045]",
Livingston County,22,22063,142282,648.131,"[30.48237, -90.843081]",
Madison County,22,22065,10017,623.885,"[32.397655, -91.197847]",
Morehouse County,22,22067,25629,794.95,"[32.785896, -91.8883]",
Natchitoches County,22,22069,37515,1253.008,"[31.757091, -93.097411]",
Orleans County,22,22071,383997,169.5,"[29.975765, -90.05295]",
Ouachita County,22,22073,160368,610.35,"[32.516411, -92.131922]",
Plaquemines County,22,22075,23515,780.595,"[29.725872, -89.903288]",
Pointe Coupee County,22,22077,20758,555.495,"[30.664814, -91.4947]",
Rapides County,22,22079,130023,1324.11,"[31.286365, -92.455373]",
Red River County,22,22081,7620,388.98,"[32.054844, -93.305191]",
Richland County,22,22083,20043,555.613,"[32.440206, -91.718715]",
Sabine County,22,22085,22155,866.631,"[31.578134, -93.564477]",
St. Bernard County,22,22087,43764,377.517,"[29.930597, -89.937239]",
St. Charles County,22,22089,52549,277.742,"[29.938265, -90.376212]",
St. Helena County,22,22091,10920,408.527,"[30.786666, -90.693517]",
St. James County,22,22093,20192,237.861,"[30.020844, -90.736618]",
St. John the Baptist County,22,22095,42477,214.474,"[30.072182, -90.511201]",
St. Landry County,22,22097,82540,923.378,"[30.510054, -92.112737]",
St. Martin County,22,22099,51767,737.549,"[30.231079, -91.83735]",
St. Mary County,22,22101,49406,558.528,"[29.738031, -91.339006]",
St. Tammany County,22,22103,264570,845.267,"[30.386943, -89.961836]",
Tangipahoa County,22,22105,133157,791.18,"[30.561076, -90.449002]",
Tensas County,22,22107,4147,603.302,"[31.960595, -91.298951]",
Terrebonne County,22,22109,109580,1229.888,"[29.596256, -90.725647]",
Union County,22,22111,21107,876.913,"[32.788831, -92.398543]",
Vermilion County,22,22113,57359,1172.055,"[29.998731, -92.161801]",
Vernon County,22,22115,48750,1326.728,"[31.09456, -93.24714]",
Washington County,22,22117,45463,669.637,"[30.839568, -90.004103]",
Webster County,22,22119,36967,593.319,"[32.699031, -93.338052]",
West Baton Rouge County,22,22121,27199,192.346,"[30.436753, -91.266575]",
West Carroll County,22,22123,9751,359.686,"[32.827035, -91.427421]",
West Feliciana County,22,22125,15310,403.217,"[30.888343, -91.442588]",
Winn County,22,22127,13755,950.004,"[31.930579, -92.67791]",
