county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Androscoggin County,23,23001,111139,467.954,"[44.117226, -70.202081]",
Aroostook County,23,23003,67105,6671.172,"[46.701279, -68.088411]",
Cumberland County,23,23005,303069,836.198,"[43.746359, -70.305033]",
Franklin County,23,23007,29456,1697.007,"[44.707406, -70.225872]",
Hancock County,23,23009,55478,1587.129,"[44.471045, -68.468176]",
Kennebec County,23,23011,123642,867.471,"[44.395615, -69.748924]",
Knox County,23,23013,40607,364.9,"[44.132937, -69.161632]",
Lincoln County,23,23015,35237,455.867,"[44.034295, -69.553445]",
Oxford County,23,23017,57777,2076.958,"[44.279251, -70.614092]",
Penobscot County,23,23019,152199,3397.186,"[44.944506, -68.797457]",
Piscataquis County,23,23021,16800,3960.847,"[45.242664, -69.256031]",
Sagadahoc County,23,23023,36699,253.979,"[43.956844, -69.871506]",
Somerset County,23,23025,50477,3924.27,"[44.820189, -69.685098]",
Waldo County,23,23027,39607,730.227,"[44.490051, -69.086158]",
Washington County,23,23029,31095,2562.725,"[44.861852, -67.46595]",
York County,23,23031,211972,991.195,"[43.422532, -70.64015]",
