county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Allegany County,24,24001,68106,422.199,"[39.628458, -78.820665]",
Anne Arundel County,24,24003,588261,414.806,"[39.071038, -76.604417]",
Baltimore County,24,24005,854535,598.358,"[39.368834, -76.620325]",
Calvert County,24,24009,92783,213.19,"[38.551108, -76.54407]",
Caroline County,24,24011,33293,319.442,"[38.873476, -75.830203]",
Carroll County,24,24013,172891,447.615,"[39.526206, -76.993056]",
Cecil County,24,24015,103725,346.3,"[39.614177, -75.936285]",
Charles County,24,24017,166617,457.819,"[38.58147, -76.951519]",
Dorchester County,24,24019,32531,540.765,"[38.571271, -76.011658]",
Frederick County,24,24021,271717,660.625,"[39.427679, -77.400605]",
Garrett County,24,24023,28806,649.077,"[39.51324, -79.305826]",
Harford County,24,24025,260924,437.125,"[39.520613, -76.309261]",
Howard County,24,24027,332317,250.95,"[39.217658, -76.854298]",
Kent County,24,24029,19198,276.939,"[39.244676, -76.05767]",
Montgomery County,24,24031,1062061,493.145,"[39.087069, -77.124126]",
Prince George's County,24,24033,967201,482.595,"[38.909313, -76.888689]",
Queen Anne's County,24,24035,49874,371.669,"[39.021381, -76.149985]",
St. Mary's County,24,24037,113777,358.564,"[38.307223, -76.577954]",
Somerset County,24,24039,24620,319.749,"[38.13306, -75.742151]",
Talbot County,24,24041,37526,268.556,"[38.7685, -76.098027]",
Washington County,24,24043,154705,457.784,"[39.618688, -77.73148]",
Wicomico County,24,24045,103588,374.427,"[38.372255, -75.593756]",
Worcester County,24,24047,52460,468.298,"[38.30361, -75.234513]",
Baltimore County,24,24510,585708,80.946,"[39.314378, -76.618104]",
