county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Barnstable County,25,25001,228996,394.2,"[41.692343, -70.328659]",
Berkshire County,25,25003,129026,926.874,"[42.456888, -73.218336]",
Bristol County,25,25005,579200,553.113,"[41.794278, -71.109451]",
Dukes County,25,25007,20600,103.202,"[41.419712, -70.60331]",
Essex County,25,25009,809829,492.514,"[42.625306, -70.991432]",
Franklin County,25,25011,71029,699.209,"[42.578152, -72.559152]",
Hampden County,25,25013,465825,617.005,"[42.125554, -72.574333]",
Hampshire County,25,25015,162308,527.236,"[42.312741, -72.572165]",
Middlesex County,25,25017,1632002,817.878,"[42.447845, -71.254598]",
Nantucket County,25,25019,14255,46.192,"[41.267216, -70.089225]",
Norfolk County,25,25021,725981,396.103,"[42.202442, -71.146359]",
Plymouth County,25,25023,530819,658.502,"[42.023677, -70.855576]",
Suffolk County,25,25025,797936,58.257,"[42.336102, -71.077148]",
Worcester County,25,25027,862111,1510.678,"[42.303377, -71.802715]",
