county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Alcona County,26,26001,10167,674.655,"[44.668106, -83.46556]",
Alger County,26,26003,8842,915.034,"[46.384467, -86.711752]",
Allegan County,26,26005,120502,825.253,"[42.608445, -85.871027]",
Alpena County,26,26007,28907,571.899,"[45.050588, -83.502895]",
Antrim County,26,26009,23431,475.679,"[44.978317, -85.198554]",
Arenac County,26,26011,15002,363.178,"[44.044452, -83.884489]",
Baraga County,26,26013,8158,898.427,"[46.766517, -88.450012]",
Barry County,26,26015,62423,553.104,"[42.618511, -85.349392]",
Bay County,26,26017,103856,442.409,"[43.629992, -83.929196]",
Benzie County,26,26019,17970,319.697,"[44.651834, -86.011382]",
Berrien County,26,26021,154316,567.795,"[41.985704, -86.406377]",
Branch County,26,26023,44862,506.411,"[41.929177, -85.030705]",
Calhoun County,26,26025,134310,706.259,"[42.289631, -85.106049]",
Cass County,26,26027,51589,490.125,"[41.892277, -86.040504]",
Charlevoix County,26,26029,26054,416.33,"[45.244536, -85.11101]",
Cheboygan County,26,26031,25579,715.279,"[45.511041, -84.52108]",
Chippewa County,26,26033,36785,1558.513,"[46.365585, -84.396326]",
Clare County,26,26035,30856,564.367,"[43.944384, -84.825685]",
Clinton County,26,26037,79128,567.349,"[42.886259, -84.55428]",
Crawford County,26,26039,12988,556.415,"[44.657052, -84.668957]",
Delta County,26,26041,36903,1171.094,"[45.801912, -87.065752]",
Dickinson County,26,26043,25947,760.95,"[45.832994, -88.014029]",
Eaton County,26,26045,109175,575.209,"[42.645094, -84.739621]",
Emmet County,26,26047,34112,467.546,"[45.432042, -84.910442]",
Genesee County,26,26049,406211,636.944,"[43.002399, -83.693809]",
Gladwin County,26,26051,25386,501.787,"[43.968003, -84.439806]",
Gogebic County,26,26053,14380,1102.136,"[46.446365, -89.992958]",
Grand Traverse County,26,26055,95238,464.336,"[44.713441, -85.613028]",
Gratiot County,26,26057,41761,568.383,"[43.34413, -84.631259]",
Hillsdale County,26,26059,45746,598.152,"[41.916883, -84.605231]",
Houghton County,26,26061,37361,1009.103,"[47.127331, -88.54177]",
Huron County,26,26063,31407,836.018,"[43.832366, -83.063027]",
Ingham County,26,26065,284900,556.081,"[42.688382, -84.486253]",
Ionia County,26,26067,66804,571.32,"[42.957003, -85.086727]",
Iosco County,26,26069,25237,549.477,"[44.357042, -83.532361]",
Iron County,26,26071,11631,1166.096,"[46.099565, -88.53764]",
Isabella County,26,26073,64394,572.7,"[43.608534, -84.80345]",
Jackson County,26,26075,160366,701.903,"[42.241802, -84.406618]",
Kalamazoo County,26,26077,261670,561.959,"[42.262549, -85.586372]",
Kalkaska County,26,26079,17939,559.744,"[44.720582, -85.164963]",
Kent County,26,26081,657974,848.931,"[42.961776, -85.625638]",
Keweenaw County,26,26083,2046,540.112,"[47.336126, -88.289269]",
Lake County,26,26085,12096,567.595,"[43.95721, -85.799431]",
Lapeer County,26,26087,88619,646.983,"[43.058194, -83.249396]",
Leelanau County,26,26089,22301,347.2,"[44.906992, -85.730072]",
Lenawee County,26,26091,99423,749.638,"[41.926112, -84.052777]",
Livingston County,26,26093,193866,565.284,"[42.575026, -83.856466]",
Luce County,26,26095,5339,899.075,"[46.335663, -85.56135]",
Mackinac County,26,26097,10834,1021.879,"[45.997314, -84.881331]",
Macomb County,26,26099,881217,479.35,"[42.589118, -82.957895]",
Manistee County,26,26101,25032,542.325,"[44.306321, -86.185294]",
Marquette County,26,26103,66017,1809.068,"[46.486717, -87.492759]",
Mason County,26,26105,29052,494.969,"[43.97455, -86.346719]",
Mecosta County,26,26107,39714,555.155,"[43.650863, -85.382191]",
Menominee County,26,26109,23502,1044.041,"[45.342064, -87.579801]",
Midland County,26,26111,83494,518.434,"[43.643318, -84.296349]",
Missaukee County,26,26113,15052,564.788,"[44.307677, -85.179858]",
Monroe County,26,26115,154809,549.362,"[41.901664, -83.486421]",
Montcalm County,26,26117,66614,705.329,"[43.283564, -85.172737]",
Montmorency County,26,26119,9153,546.675,"[44.997449, -84.12591]",
Muskegon County,26,26121,175824,503.914,"[43.243847, -86.214941]",
Newaygo County,26,26123,49978,838.887,"[43.466224, -85.811272]",
Oakland County,26,26125,1274395,867.399,"[42.586862, -83.314039]",
Oceana County,26,26127,26659,538.105,"[43.632662, -86.305778]",
Ogemaw County,26,26129,20770,563.506,"[44.286618, -84.127345]",
Ontonagon County,26,26131,5816,1310.978,"[46.718929, -89.288199]",
Osceola County,26,26133,22891,566.286,"[43.965434, -85.357843]",
Oscoda County,26,26135,8219,565.674,"[44.701471, -84.14837]",
Otsego County,26,26137,25091,515.006,"[45.006949, -84.666769]",
Ottawa County,26,26139,296200,563.52,"[42.911054, -86.015862]",
Presque Isle County,26,26141,12982,658.718,"[45.356976, -83.868249]",
Roscommon County,26,26143,23459,519.897,"[44.364342, -84.650133]",
Saginaw County,26,26145,190124,800.807,"[43.399088, -83.996446]",
St. Clair County,26,26147,160383,721.501,"[42.912215, -82.563457]",
St. Joseph County,26,26149,60939,500.639,"[41.887521, -85.526887]",
Sanilac County,26,26151,40611,962.571,"[43.365189, -82.782963]",
Schoolcraft County,26,26153,8047,1171.876,"[46.006087, -86.226826]",
Shiawassee County,26,26155,68094,530.967,"[42.942704, -84.147876]",
Tuscola County,26,26157,53323,804.84,"[43.429916, -83.433939]",
Van Buren County,26,26159,75587,607.793,"[42.260186, -86.001338]",
Washtenaw County,26,26161,372258,706.003,"[42.257602, -83.726939]",
Wayne County,26,26163,1793561,611.84,"[42.329477, -83.226321]",
Wexford County,26,26165,33673,564.924,"[44.309686, -85.486553]",
