county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,28,28001,29538,462.344,"[31.545814, -91.35434]",
Alcorn County,28,28003,34740,400.044,"[34.909527, -88.529805]",
Amite County,28,28005,12720,730.1,"[31.187109, -90.807611]",
Attala County,28,28007,17889,734.957,"[33.065276, -89.589172]",
Benton County,28,28009,7646,406.616,"[34.813848, -89.203932]",
Bolivar County,28,28011,30985,876.507,"[33.771865, -90.768825]",
Calhoun County,28,28013,13266,586.573,"[33.930069, -89.309537]",
Carroll County,28,28015,9998,628.388,"[33.46177, -89.919301]",
Chickasaw County,28,28017,17106,501.782,"[33.93085, -88.93891]",
Choctaw County,28,28019,8246,418.197,"[33.339222, -89.234179]",
Claiborne County,28,28021,9135,487.415,"[31.931505, -90.950731]",
Clarke County,28,28023,15615,691.576,"[32.067249, -88.731696]",
Clay County,28,28025,18636,410.078,"[33.624883, -88.693]",
Coahoma County,28,28027,21390,553.102,"[34.220105, -90.57036]",
Copiah County,28,28029,28368,777.285,"[31.893381, -90.378623]",
Covington County,28,28031,18340,413.819,"[31.634654, -89.546964]",
DeSoto County,28,28033,185314,476.394,"[34.927389, -89.949653]",
Forrest County,28,28035,78158,466.042,"[31.309279, -89.287954]",
Franklin County,28,28037,7675,563.964,"[31.471678, -90.866734]",
George County,28,28039,24350,478.699,"[30.868417, -88.590917]",
Greene County,28,28041,13530,712.738,"[31.195402, -88.629422]",
Grenada County,28,28043,21629,422.122,"[33.76756, -89.803438]",
Hancock County,28,28045,46053,473.965,"[30.379142, -89.404092]",
Harrison County,28,28047,208621,573.636,"[30.434161, -89.063779]",
Hinds County,28,28049,227742,869.845,"[32.304046, -90.257]",
Holmes County,28,28051,17000,756.674,"[33.089593, -90.028731]",
Humphreys County,28,28053,7785,418.68,"[33.164116, -90.518897]",
Issaquena County,28,28055,1338,412.98,"[32.889296, -91.018573]",
Itawamba County,28,28057,23863,532.795,"[34.289689, -88.404342]",
Jackson County,28,28059,143252,722.825,"[30.443696, -88.66863]",
Jasper County,28,28061,16367,676.311,"[31.961091, -89.144805]",
Jefferson County,28,28063,7260,519.933,"[31.714009, -91.057536]",
Jefferson Davis County,28,28065,11321,408.446,"[31.575445, -89.816038]",
Jones County,28,28067,67246,694.845,"[31.667175, -89.167194]",
Kemper County,28,28069,8988,766.182,"[32.763776, -88.672958]",
Lafayette County,28,28071,55813,631.697,"[34.359415, -89.52675]",
Lamar County,28,28073,64222,496.57,"[31.273921, -89.439932]",
Lauderdale County,28,28075,72984,703.676,"[32.401267, -88.692876]",
Lawrence County,28,28077,12016,430.602,"[31.553787, -90.110558]",
Leake County,28,28079,21275,582.897,"[32.733654, -89.510973]",
Lee County,28,28081,83343,449.965,"[34.278226, -88.703819]",
Leflore County,28,28083,28339,594.074,"[33.513518, -90.203416]",
Lincoln County,28,28085,34907,586.207,"[31.54927, -90.457896]",
Lowndes County,28,28087,58879,505.472,"[33.520258, -88.389424]",
Madison County,28,28089,109145,714.211,"[32.509875, -90.104845]",
Marion County,28,28091,24441,542.361,"[31.245825, -89.830527]",
Marshall County,28,28093,33752,706.192,"[34.816554, -89.544076]",
Monroe County,28,28095,34180,765.163,"[33.926461, -88.499061]",
Montgomery County,28,28097,9822,406.981,"[33.496327, -89.682458]",
Neshoba County,28,28099,29087,570.134,"[32.755039, -89.120008]",
Newton County,28,28101,21291,577.77,"[32.415269, -89.129364]",
Noxubee County,28,28103,10285,695.158,"[33.13285, -88.549668]",
Oktibbeha County,28,28105,51788,458.239,"[33.448413, -88.825442]",
Panola County,28,28107,33208,685.18,"[34.345346, -89.934868]",
Pearl River County,28,28109,56145,811.325,"[30.640759, -89.631685]",
Perry County,28,28111,11511,647.282,"[31.262146, -88.992608]",
Pike County,28,28113,40324,409.185,"[31.219047, -90.435044]",
Pontotoc County,28,28115,31184,497.813,"[34.253564, -89.015136]",
Prentiss County,28,28117,25008,414.985,"[34.632609, -88.552077]",
Quitman County,28,28119,6176,405.012,"[34.267733, -90.26323]",
Rankin County,28,28121,157031,775.498,"[32.281333, -90.030487]",
Scott County,28,28123,27990,609.231,"[32.40164, -89.529579]",
Sharkey County,28,28125,3800,431.72,"[32.921684, -90.862626]",
Simpson County,28,28127,25949,589.165,"[31.915898, -89.855744]",
Smith County,28,28129,14209,636.268,"[31.970107, -89.504515]",
Stone County,28,28131,18333,445.485,"[30.806397, -89.135849]",
Sunflower County,28,28133,25971,697.759,"[33.593307, -90.584134]",
Tallahatchie County,28,28135,12715,645.59,"[33.984159, -90.182077]",
Tate County,28,28137,28064,404.763,"[34.644191, -89.948269]",
Tippah County,28,28139,21815,457.822,"[34.765765, -88.924324]",
Tishomingo County,28,28141,18850,424.297,"[34.730586, -88.228294]",
Tunica County,28,28143,9782,454.13,"[34.720692, -90.341396]",
Union County,28,28145,27777,415.607,"[34.483103, -89.010519]",
Walthall County,28,28147,13884,403.928,"[31.150842, -90.122962]",
Warren County,28,28149,44722,588.536,"[32.324815, -90.843777]",
Washington County,28,28151,44922,724.146,"[33.369011, -91.01078]",
Wayne County,28,28153,19779,810.716,"[31.650518, -88.662531]",
Webster County,28,28155,9926,421.158,"[33.582804, -89.220716]",
Wilkinson County,28,28157,8587,678.012,"[31.123212, -91.245215]",
Winston County,28,28159,17714,607.251,"[33.084971, -89.042025]",
Yalobusha County,28,28161,12481,467.151,"[34.081548, -89.694995]",
Yazoo County,28,28163,26743,922.339,"[32.829241, -90.38218]",
