county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adair County,29,29001,25314,567.324,"[40.195278, -92.581512]",
Andrew County,29,29003,18135,432.634,"[39.919858, -94.8166]",
Atchison County,29,29005,5305,547.285,"[40.420914, -95.436109]",
Audrain County,29,29007,24962,692.25,"[39.203899, -91.826614]",
Barry County,29,29009,34534,778.122,"[36.737459, -93.865725]",
Barton County,29,29011,11637,592.03,"[37.495949, -94.305362]",
Bates County,29,29013,16042,836.696,"[38.280773, -94.362779]",
Benton County,29,29015,19394,704.033,"[38.301006, -93.310017]",
Bollinger County,29,29017,10567,617.904,"[37.340708, -89.999696]",
Boone County,29,29019,183610,685.551,"[38.956712, -92.321624]",
Buchanan County,29,29021,84793,408.249,"[39.750709, -94.819825]",
Butler County,29,29023,42130,694.754,"[36.756985, -90.417972]",
Caldwell County,29,29025,8815,426.393,"[39.663863, -93.998899]",
Callaway County,29,29027,44283,834.565,"[38.797548, -91.997518]",
Camden County,29,29029,42745,656.036,"[38.073064, -92.746042]",
Cape Girardeau County,29,29031,81710,578.517,"[37.355235, -89.607695]",
Carroll County,29,29033,8495,694.622,"[39.408302, -93.496539]",
Carter County,29,29035,5202,507.359,"[36.947475, -90.885719]",
Cass County,29,29037,107824,696.615,"[38.751052, -94.424307]",
Cedar County,29,29039,14188,474.47,"[37.765491, -93.895266]",
Chariton County,29,29041,7408,751.178,"[39.486142, -92.931479]",
Christian County,29,29043,88842,562.603,"[37.027878, -93.264355]",
Clark County,29,29045,6634,504.606,"[40.412112, -91.708614]",
Clay County,29,29047,253335,397.658,"[39.252956, -94.497328]",
Clinton County,29,29049,21184,418.94,"[39.602433, -94.367454]",
Cole County,29,29051,77279,391.532,"[38.55255, -92.220619]",
Cooper County,29,29053,17103,564.746,"[38.91006, -92.772757]",
Crawford County,29,29055,23056,742.477,"[38.061879, -91.321648]",
Dade County,29,29057,7569,490.01,"[37.415382, -93.824927]",
Dallas County,29,29059,17071,540.951,"[37.643751, -93.066641]",
Daviess County,29,29061,8430,563.282,"[39.938229, -93.980672]",
DeKalb County,29,29063,11029,421.358,"[39.825582, -94.354573]",
Dent County,29,29065,14421,752.761,"[37.631372, -91.545105]",
Douglas County,29,29067,11578,813.623,"[36.940662, -92.603414]",
Dunklin County,29,29069,28283,541.909,"[36.324914, -90.058119]",
Franklin County,29,29071,104682,922.684,"[38.436356, -90.998977]",
Gasconade County,29,29073,14794,519.005,"[38.446364, -91.490137]",
Gentry County,29,29075,6162,491.422,"[40.203737, -94.432825]",
Greene County,29,29077,298915,675.329,"[37.192242, -93.309507]",
Grundy County,29,29079,9808,435.293,"[40.093264, -93.59577]",
Harrison County,29,29081,8157,722.517,"[40.315594, -94.001268]",
Henry County,29,29083,21946,696.936,"[38.394287, -93.73769]",
Hickory County,29,29085,8279,398.808,"[37.91105, -93.329051]",
Holt County,29,29087,4223,462.693,"[40.084331, -95.185877]",
Howard County,29,29089,10151,463.801,"[39.140559, -92.70446]",
Howell County,29,29091,39750,927.177,"[36.792561, -91.873718]",
Iron County,29,29093,9537,550.263,"[37.578019, -90.713802]",
Jackson County,29,29095,717204,604.52,"[39.00998, -94.444287]",
Jasper County,29,29097,122761,638.506,"[37.129578, -94.444125]",
Jefferson County,29,29099,226739,656.264,"[38.340859, -90.475056]",
Johnson County,29,29101,54013,829.262,"[38.758577, -93.770288]",
Knox County,29,29103,3744,504.01,"[40.155205, -92.154081]",
Laclede County,29,29105,36039,764.627,"[37.669688, -92.653795]",
Lafayette County,29,29107,32984,628.284,"[39.055172, -93.842193]",
Lawrence County,29,29109,38001,611.753,"[37.034976, -93.799734]",
Lewis County,29,29111,10032,505.018,"[40.08916, -91.641748]",
Lincoln County,29,29113,59574,626.563,"[38.996776, -90.929751]",
Linn County,29,29115,11874,615.588,"[39.797177, -93.066695]",
Livingston County,29,29117,14557,532.303,"[39.79808, -93.553067]",
McDonald County,29,29119,23303,539.445,"[36.615343, -94.399016]",
Macon County,29,29121,15209,801.208,"[39.796483, -92.50812]",
Madison County,29,29123,12626,494.386,"[37.539522, -90.299752]",
Maries County,29,29125,8432,526.981,"[38.170013, -91.878849]",
Marion County,29,29127,28525,436.931,"[39.741435, -91.457393]",
Mercer County,29,29129,3538,453.835,"[40.415018, -93.579508]",
Miller County,29,29131,24722,592.573,"[38.246362, -92.50897]",
Mississippi County,29,29133,12577,411.596,"[36.856032, -89.368458]",
Moniteau County,29,29135,15473,415.033,"[38.627456, -92.611037]",
Monroe County,29,29137,8666,647.64,"[39.524752, -91.966322]",
Montgomery County,29,29139,11322,535.047,"[38.948967, -91.467436]",
Morgan County,29,29141,21006,597.635,"[38.383773, -92.85098]",
New Madrid County,29,29143,16434,674.884,"[36.612845, -89.651942]",
Newton County,29,29145,58648,624.755,"[36.921726, -94.414367]",
Nodaway County,29,29147,21241,876.964,"[40.352259, -94.868321]",
Oregon County,29,29149,8635,789.844,"[36.614979, -91.47387]",
Osage County,29,29151,13274,606.58,"[38.455126, -91.884527]",
Ozark County,29,29153,8553,745.006,"[36.623314, -92.421851]",
Pemiscot County,29,29155,15661,492.605,"[36.179974, -89.744692]",
Perry County,29,29157,18956,474.355,"[37.713861, -89.85786]",
Pettis County,29,29159,42980,682.237,"[38.701441, -93.247496]",
