county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Beaverhead County,30,30001,9371,5542.687,"[45.225028, -112.693549]",
Big Horn County,30,30003,13124,4997.778,"[45.568552, -107.499673]",
Blaine County,30,30005,7044,4227.517,"[48.432419, -108.871588]",
Broadwater County,30,30007,6774,1192.359,"[46.281619, -111.543362]",
Carbon County,30,30009,10473,2047.889,"[45.322269, -109.084845]",
Carter County,30,30011,1415,3340.477,"[45.687353, -104.525341]",
Cascade County,30,30013,84414,2698.206,"[47.491558, -111.306586]",
Chouteau County,30,30015,5895,3972.52,"[47.962552, -110.386252]",
Custer County,30,30017,11867,3783.309,"[46.401678, -105.814642]",
Daniels County,30,30019,1661,1426.27,"[48.783637, -105.431739]",
Dawson County,30,30021,8940,2371.926,"[47.137216, -104.748806]",
Deer Lodge County,30,30023,9421,736.683,"[46.135851, -112.955566]",
Fallon County,30,30025,3049,1620.595,"[46.360506, -104.316077]",
Fergus County,30,30027,11446,4339.329,"[47.092022, -109.4146]",
Flathead County,30,30029,104357,5087.302,"[48.24738, -114.28093]",
Gallatin County,30,30031,118960,2605.354,"[45.682956, -111.128767]",
Garfield County,30,30033,1173,4676.56,"[47.309975, -106.946674]",
Glacier County,30,30035,13778,2995.151,"[48.601084, -112.803122]",
Golden Valley County,30,30037,823,1174.423,"[46.297881, -109.120778]",
Granite County,30,30039,3309,1727.162,"[46.445392, -113.319927]",
Hill County,30,30041,16309,2899.396,"[48.511678, -109.767061]",
Jefferson County,30,30043,12085,1656.997,"[46.268426, -112.045462]",
Judith Basin County,30,30045,2023,1869.687,"[47.094038, -110.171269]",
Lake County,30,30047,31134,1490.47,"[47.608393, -114.123168]",
Lewis and Clark County,30,30049,70973,3458.381,"[46.646621, -112.019644]",
Liberty County,30,30051,1959,1429.988,"[48.538044, -110.985198]",
Lincoln County,30,30053,19677,3612.559,"[48.553306, -115.42649]",
McCone County,30,30055,1729,2642.225,"[47.569721, -105.638886]",
Madison County,30,30057,8623,3588.156,"[45.419014, -111.922649]",
Meagher County,30,30059,1927,2391.868,"[46.529828, -110.881517]",
Mineral County,30,30061,4535,1219.619,"[47.182752, -114.894335]",
Missoula County,30,30063,117922,2593.011,"[46.875546, -114.021512]",
Musselshell County,30,30065,4730,1868.958,"[46.420108, -108.483111]",
Park County,30,30067,17191,2802.479,"[45.604896, -110.596931]",
Petroleum County,30,30069,496,1655.625,"[47.012154, -108.317862]",
Phillips County,30,30071,4217,5140.422,"[48.367246, -107.86655]",
Pondera County,30,30073,5898,1624.567,"[48.211424, -112.157767]",
Powder River County,30,30075,1694,3298.196,"[45.438494, -105.544609]",
Powell County,30,30077,6946,2326.043,"[46.450646, -112.757979]",
Prairie County,30,30079,1088,1736.603,"[46.809714, -105.276222]",
Ravalli County,30,30081,44174,2390.967,"[46.358548, -114.111357]",
Richland County,30,30083,11491,2084.556,"[47.72072, -104.204227]",
Roosevelt County,30,30085,10794,2354.602,"[48.134392, -105.212553]",
Rosebud County,30,30087,8329,5008.135,"[45.902894, -106.612238]",
Sanders County,30,30089,12400,2760.4,"[47.635009, -115.175789]",
Sheridan County,30,30091,3539,1676.941,"[48.734101, -104.49367]",
Silver Bow County,30,30093,35133,717.99,"[45.98746, -112.525517]",
Stillwater County,30,30095,8963,1796.531,"[45.615383, -109.238178]",
Sweet Grass County,30,30097,3678,1855.536,"[45.829391, -109.91651]",
Teton County,30,30099,6226,2271.616,"[47.762524, -112.039341]",
Toole County,30,30101,4971,1914.864,"[48.578065, -111.850473]",
Treasure County,30,30103,762,977.801,"[46.247085, -107.247111]",
Valley County,30,30105,7578,4926.115,"[48.236249, -106.541586]",
Wheatland County,30,30107,2069,1422.481,"[46.454552, -109.845461]",
Wibaux County,30,30109,937,889.571,"[46.969955, -104.191241]",
Yellowstone County,30,30111,164731,2633.4,"[45.789945, -108.546051]",
