county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,31,31001,31205,563.26,"[40.585501, -98.41518]",
Antelope County,31,31003,6295,857.157,"[42.147054, -98.057377]",
Arthur County,31,31005,434,715.152,"[41.569368, -101.678874]",
Banner County,31,31007,674,746.039,"[41.558824, -103.721644]",
Blaine County,31,31009,431,710.702,"[41.906138, -100.013369]",
Boone County,31,31011,5379,686.53,"[41.677314, -98.014023]",
Box Butte County,31,31013,10842,1075.161,"[42.136678, -102.905215]",
Boyd County,31,31015,1810,539.368,"[42.893569, -98.74483]",
Brown County,31,31017,2903,1221.405,"[42.543087, -99.849627]",
Buffalo County,31,31019,50084,968.246,"[40.737756, -99.072828]",
Burt County,31,31021,6722,491.587,"[41.845218, -96.347791]",
Butler County,31,31023,8369,584.789,"[41.247435, -97.141745]",
Cass County,31,31025,26598,556.907,"[40.949471, -96.063719]",
Cedar County,31,31027,8380,740.189,"[42.576739, -97.250958]",
Chase County,31,31029,3893,894.425,"[40.501955, -101.625629]",
Cherry County,31,31031,5455,5960.099,"[42.788407, -100.749694]",
Cheyenne County,31,31033,9468,1196.008,"[41.164852, -102.982567]",
Clay County,31,31035,6104,572.289,"[40.547589, -98.027882]",
Colfax County,31,31037,10582,411.46,"[41.515594, -97.076357]",
Cuming County,31,31039,9013,570.49,"[41.896856, -96.758441]",
Custer County,31,31041,10545,2575.458,"[41.400577, -99.673936]",
Dakota County,31,31043,21582,264.276,"[42.446864, -96.438647]",
Dawes County,31,31045,8199,1396.437,"[42.786274, -103.066332]",
Dawson County,31,31047,24111,1013.786,"[40.827351, -99.856676]",
Deuel County,31,31049,1838,439.825,"[41.090929, -102.33652]",
Dixon County,31,31051,5606,475.621,"[42.436803, -96.826061]",
Dodge County,31,31053,37167,528.844,"[41.471288, -96.528637]",
Douglas County,31,31055,584526,326.547,"[41.26173, -96.069741]",
Dundy County,31,31057,1654,919.678,"[40.089487, -101.59927]",
Fillmore County,31,31059,5551,575.37,"[40.541248, -97.580053]",
Franklin County,31,31061,2889,575.816,"[40.185987, -98.95454]",
Frontier County,31,31063,2519,974.655,"[40.609996, -100.398828]",
Furnas County,31,31065,4636,719.204,"[40.250813, -99.934116]",
Gage County,31,31067,21704,851.468,"[40.280866, -96.713556]",
Garden County,31,31069,1874,1704.826,"[41.429505, -102.323863]",
Garfield County,31,31071,1813,569.356,"[41.803658, -99.104124]",
Gosper County,31,31073,1893,458.199,"[40.59443, -99.826842]",
Grant County,31,31075,611,776.696,"[41.969597, -101.734576]",
Greeley County,31,31077,2188,569.826,"[41.555312, -98.49942]",
Hall County,31,31079,62895,546.529,"[40.91634, -98.377793]",
Hamilton County,31,31081,9429,542.03,"[40.879505, -98.023002]",
Harlan County,31,31083,3073,553.466,"[40.145347, -99.406335]",
Hayes County,31,31085,856,713.065,"[40.500842, -101.049757]",
Hitchcock County,31,31087,2616,709.951,"[40.21095, -101.004675]",
Holt County,31,31089,10127,2411.851,"[42.460461, -98.743792]",
Hooker County,31,31091,711,720.966,"[42.010663, -101.050551]",
Howard County,31,31093,6475,569.27,"[41.18917, -98.489627]",
Jefferson County,31,31095,7240,570.182,"[40.164225, -97.141688]",
Johnson County,31,31097,5290,376.086,"[40.401098, -96.227732]",
Kearney County,31,31099,6688,516.193,"[40.507252, -98.99218]",
Keith County,31,31101,8335,1062.063,"[41.141819, -101.6998]",
Keya Paha County,31,31103,769,772.876,"[42.868932, -99.717406]",
Kimball County,31,31105,3434,951.942,"[41.231296, -103.66158]",
Knox County,31,31107,8391,1108.235,"[42.62421, -97.782589]",
Lancaster County,31,31109,322608,837.56,"[40.799269, -96.671536]",
Lincoln County,31,31111,34676,2564.155,"[41.119294, -100.789525]",
Logan County,31,31113,716,570.698,"[41.499176, -100.507661]",
Loup County,31,31115,607,563.341,"[41.832646, -99.416371]",
McPherson County,31,31117,399,859.259,"[41.560427, -101.004858]",
Madison County,31,31119,35585,572.612,"[42.00636, -97.461443]",
Merrick County,31,31121,7668,487.794,"[41.130786, -98.037243]",
Morrill County,31,31123,4555,1423.706,"[41.708586, -103.162925]",
Nance County,31,31125,3380,441.595,"[41.404591, -97.896242]",
Nemaha County,31,31127,7074,407.301,"[40.401975, -95.839188]",
Nuckolls County,31,31129,4095,575.155,"[40.114628, -98.0618]",
Otoe County,31,31131,15912,615.616,"[40.670824, -96.03688]",
Pawnee County,31,31133,2544,431.075,"[40.133204, -96.177346]",
Perkins County,31,31135,2858,883.313,"[40.844891, -101.675458]",
Phelps County,31,31137,8968,539.765,"[40.466361, -99.40454]",
Pierce County,31,31139,7317,573.249,"[42.259529, -97.591612]",
Platte County,31,31141,34296,675.118,"[41.46697, -97.385528]",
Polk County,31,31143,5214,438.832,"[41.173605, -97.55672]",
Red Willow County,31,31145,10702,717.17,"[40.206742, -100.592097]",
Richardson County,31,31147,7871,551.841,"[40.099879, -95.669705]",
Rock County,31,31149,1262,1008.291,"[42.536738, -99.499863]",
Saline County,31,31151,14292,574.07,"[40.579217, -97.016896]",
Sarpy County,31,31153,190604,237.996,"[41.152889, -96.0437]",
Saunders County,31,31155,22278,748.703,"[41.195383, -96.560061]",
Scotts Bluff County,31,31157,36084,739.621,"[41.865094, -103.680393]",
Seward County,31,31159,17609,571.43,"[40.875087, -97.102308]",
Sheridan County,31,31161,5127,2440.17,"[42.704794, -102.404074]",
Sherman County,31,31163,2959,565.877,"[41.228647, -98.968633]",
Sioux County,31,31165,1135,2066.723,"[42.408762, -103.833171]",
Stanton County,31,31167,5842,427.633,"[41.985101, -97.255038]",
Thayer County,31,31169,5034,573.789,"[40.178256, -97.628078]",
Thomas County,31,31171,669,712.554,"[41.967138, -100.565595]",
Thurston County,31,31173,6773,393.592,"[42.161934, -96.522459]",
Valley County,31,31175,4059,568.09,"[41.573672, -98.948914]",
Washington County,31,31177,20865,389.93,"[41.504682, -96.156611]",
Wayne County,31,31179,9697,442.916,"[42.223628, -97.056303]",
Webster County,31,31181,3395,574.913,"[40.195862, -98.486606]",
Wheeler County,31,31183,774,575.183,"[41.885209, -98.545473]",
York County,31,31185,14125,572.516,"[40.863485, -97.605023]",
