county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Churchill County,32,32001,25516,4950.157,"[39.474469, -118.796052]",
Clark County,32,32003,2265461,7891.661,"[36.141141, -115.152976]",
Douglas County,32,32005,49488,710.537,"[38.957468, -119.756218]",
Elko County,32,32007,53702,17173.302,"[40.856303, -115.534273]",
Esmeralda County,32,32009,729,3581.889,"[37.704407, -117.670635]",
Eureka County,32,32011,1855,4175.688,"[39.946993, -116.209128]",
Humboldt County,32,32013,17285,9640.792,"[41.017558, -117.744296]",
Lander County,32,32015,5734,5519.247,"[40.49846, -116.949528]",
Lincoln County,32,32017,4499,10633.386,"[37.710093, -114.626444]",
Lyon County,32,32019,59235,2003.054,"[39.355756, -119.327152]",
Mineral County,32,32021,4554,3751.283,"[38.601613, -118.643399]",
Nye County,32,32023,51591,18181.914,"[36.414296, -116.125667]",
Pershing County,32,32027,6650,6036.589,"[40.334654, -118.294224]",
Storey County,32,32029,4104,263.8,"[39.389828, -119.622432]",
Washoe County,32,32031,486492,6315.873,"[39.534488, -119.793527]",
White Pine County,32,32033,9080,8886.665,"[39.278317, -114.875458]",
Carson City County,32,32510,58639,144.534,"[39.166096, -119.75408]",
