county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Atlantic County,34,34001,274534,555.578,"[39.428157, -74.584723]",
Bergen County,34,34003,955732,232.794,"[40.916918, -74.056816]",
Burlington County,34,34005,461860,799.285,"[39.983738, -74.836627]",
Camden County,34,34007,523485,221.364,"[39.863128, -75.026364]",
Cape May County,34,34009,95263,251.521,"[39.096879, -74.806953]",
Cumberland County,34,34011,154152,483.38,"[39.431713, -75.0896]",
Essex County,34,34013,863728,126.083,"[40.767919, -74.216055]",
Gloucester County,34,34015,302294,322.009,"[39.748752, -75.130305]",
Hudson County,34,34017,724854,46.193,"[40.741644, -74.061448]",
Hunterdon County,34,34019,128947,427.835,"[40.572604, -74.895969]",
Mercer County,34,34021,387340,224.482,"[40.255387, -74.69945]",
Middlesex County,34,34023,863162,309.252,"[40.484409, -74.388583]",
Monmouth County,34,34025,643615,468.204,"[40.29118, -74.14859]",
Morris County,34,34027,509285,461.026,"[40.859148, -74.50031]",
Ocean County,34,34029,637229,628.29,"[39.978586, -74.215904]",
Passaic County,34,34031,524118,186.132,"[40.923998, -74.189868]",
Salem County,34,34033,64837,331.861,"[39.627242, -75.378171]",
Somerset County,34,34035,345361,301.867,"[40.559937, -74.578391]",
Sussex County,34,34037,144221,518.489,"[41.090477, -74.655456]",
Union County,34,34039,575345,102.767,"[40.659355, -74.293688]",
Warren County,34,34041,109632,356.541,"[40.794655, -75.014893]",
