county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Albany County,36,36001,314848,522.888,"[42.680589, -73.811637]",
Allegany County,36,36003,46456,1029.507,"[42.228676, -78.020786]",
Bronx County,36,36005,1472654,42.176,"[40.849395, -73.882271]",
Broome County,36,36007,198683,705.651,"[42.120758, -75.936264]",
Cattaraugus County,36,36009,77042,1308.183,"[42.223696, -78.608393]",
Cayuga County,36,36011,76248,691.589,"[42.938915, -76.560652]",
Chautauqua County,36,36013,127657,1060.41,"[42.245031, -79.314802]",
Chemung County,36,36015,84148,407.333,"[42.120553, -76.813813]",
Chenango County,36,36017,47220,893.443,"[42.480979, -75.568857]",
Clinton County,36,36019,79843,1037.751,"[44.72994, -73.542837]",
Columbia County,36,36021,61570,634.663,"[42.274439, -73.680411]",
Cortland County,36,36023,46809,498.774,"[42.595471, -76.146202]",
Delaware County,36,36025,44308,1442.596,"[42.248721, -74.996335]",
Dutchess County,36,36027,295911,795.602,"[41.678068, -73.84154]",
Erie County,36,36029,954236,1042.763,"[42.891147, -78.792727]",
Essex County,36,36031,37381,1794.122,"[44.168428, -73.676357]",
Franklin County,36,36033,47555,1629.296,"[44.717734, -74.351416]",
Fulton County,36,36035,53324,495.46,"[43.058597, -74.329857]",
Genesee County,36,36037,58388,492.976,"[42.998899, -78.171041]",
Greene County,36,36039,47931,647.161,"[42.298257, -73.978824]",
Hamilton County,36,36041,5107,1717.378,"[43.612735, -74.385492]",
Herkimer County,36,36043,60139,1410.586,"[43.071299, -74.994925]",
Jefferson County,36,36045,116721,1267.93,"[44.019862, -75.89504]",
Kings County,36,36047,2736074,69.377,"[40.651666, -73.954985]",
Lewis County,36,36049,26582,1276.309,"[43.788692, -75.449227]",
Livingston County,36,36051,61834,631.654,"[42.769037, -77.762787]",
Madison County,36,36053,68016,654.85,"[42.98686, -75.719961]",
Monroe County,36,36055,759443,656.944,"[43.160725, -77.618985]",
Montgomery County,36,36057,49532,403.111,"[42.93271, -74.344144]",
Nassau County,36,36059,1395774,284.544,"[40.716432, -73.603664]",
New York County,36,36061,1694251,22.658,"[40.776422, -73.967437]",
Niagara County,36,36063,212666,522.348,"[43.134406, -78.851139]",
Oneida County,36,36065,232125,1212.442,"[43.146277, -75.355941]",
Onondaga County,36,36067,476516,778.393,"[43.067977, -76.167376]",
Ontario County,36,36069,112458,644.076,"[42.902312, -77.266946]",
Orange County,36,36071,401310,812.078,"[41.41957, -74.239375]",
Orleans County,36,36073,40343,391.262,"[43.249285, -78.224364]",
Oswego County,36,36075,117525,951.62,"[43.392222, -76.31179]",
Otsego County,36,36077,58524,1001.738,"[42.564145, -75.060236]",
Putnam County,36,36079,97668,230.252,"[41.410932, -73.718558]",
Queens County,36,36081,2405464,108.724,"[40.721204, -73.834008]",
Rensselaer County,36,36083,161130,652.459,"[42.699563, -73.631993]",
Richmond County,36,36085,495747,57.523,"[40.589259, -74.136701]",
Rockland County,36,36087,338329,173.685,"[41.127445, -74.02214]",
St. Lawrence County,36,36089,108505,2679.526,"[44.652827, -75.147873]",
Saratoga County,36,36091,235509,809.97,"[43.007918, -73.784353]",
Schenectady County,36,36093,158061,204.669,"[42.809147, -73.945253]",
Schoharie County,36,36095,29714,621.819,"[42.64398, -74.435708]",
Schuyler County,36,36097,17898,328.343,"[42.389251, -76.869139]",
Seneca County,36,36099,33814,323.698,"[42.82851, -76.827711]",
Steuben County,36,36101,93584,1390.51,"[42.264824, -77.31968]",
Suffolk County,36,36103,1525920,910.934,"[40.823365, -73.103278]",
Sullivan County,36,36105,78624,968.145,"[41.698542, -74.698587]",
Tioga County,36,36107,48455,518.767,"[42.121424, -76.298893]",
Tompkins County,36,36109,105740,474.644,"[42.459082, -76.478989]",
Ulster County,36,36111,181851,1124.236,"[41.841749, -74.098362]",
Warren County,36,36113,65737,867.222,"[43.392942, -73.711242]",
Washington County,36,36115,61302,831.19,"[43.289043, -73.460751]",
Wayne County,36,36117,91283,603.83,"[43.143635, -77.130245]",
Westchester County,36,36119,1004457,430.817,"[41.038581, -73.80547]",
Wyoming County,36,36121,40531,592.7,"[42.722711, -78.209554]",
Yates County,36,36123,24774,338.139,"[42.634707, -77.078135]",
