county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Bernalillo County,35,35001,676444,1161.245,"[35.109462, -106.617779]",
Catron County,35,35003,3579,6924.187,"[33.958709, -108.531494]",
Chaves County,35,35005,65157,6067.178,"[33.365668, -104.514733]",
Cibola County,35,35006,27172,4539.984,"[35.107009, -107.818849]",
Colfax County,35,35007,12387,3757.976,"[36.698075, -104.656615]",
Curry County,35,35009,48430,1405.524,"[34.421082, -103.213229]",
De Baca County,35,35011,1698,2323.107,"[34.460693, -104.247994]",
Doña Ana County,35,35013,219561,3808.179,"[32.24837, -106.728836]",
Eddy County,35,35015,62314,4176.348,"[32.538156, -104.288595]",
Grant County,35,35017,28185,3961.207,"[32.781053, -108.24321]",
Guadalupe County,35,35019,4452,3029.772,"[34.932588, -104.764455]",
Harding County,35,35021,657,2125.478,"[35.853043, -103.978557]",
Hidalgo County,35,35023,4178,3438.551,"[32.286524, -108.771223]",
Lea County,35,35025,74455,4391.552,"[32.75172, -103.190527]",
Lincoln County,35,35027,20269,4831.115,"[33.419573, -105.631108]",
Los Alamos County,35,35028,19419,109.123,"[35.869176, -106.272314]",
Luna County,35,35029,25427,2965.177,"[32.223031, -107.741875]",
McKinley County,35,35031,72902,5451.064,"[35.513228, -108.634281]",
Mora County,35,35033,4189,1926.249,"[36.00418, -105.23707]",
Otero County,35,35035,67839,6612.562,"[32.778517, -106.000317]",
Quay County,35,35037,8746,2873.955,"[35.178327, -103.662364]",
Rio Arriba County,35,35039,40363,5860.874,"[36.203984, -106.205155]",
Roosevelt County,35,35041,19191,2446.051,"[34.168551, -103.347539]",
Sandoval County,35,35043,148834,3710.194,"[35.319674, -106.649224]",
San Juan County,35,35045,121661,5517.232,"[36.723982, -108.220154]",
San Miguel County,35,35047,27201,4721.515,"[35.576344, -105.307874]",
Santa Fe County,35,35049,154823,1910.38,"[35.632632, -106.004765]",
Sierra County,35,35051,11576,4181.214,"[33.106952, -107.281723]",
Socorro County,35,35053,16595,6646.387,"[34.154884, -106.960356]",
Taos County,35,35055,34489,2202.373,"[36.435099, -105.60791]",
Torrance County,35,35057,15045,3345.213,"[34.870562, -106.1027]",
Union County,35,35059,4079,3825.05,"[36.468186, -103.265891]",
Valencia County,35,35061,76205,1066.717,"[34.755709, -106.722815]",
