county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Alamance County,37,37001,171415,423.463,"[36.071544, -79.413154]",
Alexander County,37,37003,36444,259.989,"[35.889332, -81.193451]",
Alleghany County,37,37005,10888,234.835,"[36.497597, -81.10603]",
Anson County,37,37007,22055,531.461,"[34.974145, -80.110797]",
Ashe County,37,37009,26577,426.266,"[36.41363, -81.487979]",
Avery County,37,37011,17806,247.338,"[36.07601, -81.939525]",
Beaufort County,37,37013,44652,832.736,"[35.521622, -76.961773]",
Bertie County,37,37015,17934,699.176,"[36.081687, -76.962721]",
Bladen County,37,37017,29606,874.956,"[34.60917, -78.643311]",
Brunswick County,37,37019,136693,850.069,"[34.041766, -78.216619]",
Buncombe County,37,37021,269452,656.49,"[35.585308, -82.551811]",
Burke County,37,37023,87570,506.237,"[35.73127, -81.641243]",
Cabarrus County,37,37025,225804,361.232,"[35.395655, -80.621106]",
Caldwell County,37,37027,80652,471.885,"[35.873003, -81.502542]",
Camden County,37,37029,10355,240.326,"[36.369324, -76.197747]",
Carteret County,37,37031,67686,507.606,"[34.744126, -76.818665]",
Caswell County,37,37033,22736,425.483,"[36.399939, -79.361345]",
Catawba County,37,37035,160610,401.374,"[35.695474, -81.245331]",
Chatham County,37,37037,76285,681.482,"[35.756012, -79.208387]",
Cherokee County,37,37039,28774,455.54,"[35.101433, -84.022596]",
Chowan County,37,37041,13708,172.657,"[36.117035, -76.626616]",
Clay County,37,37043,11089,215.001,"[35.036306, -83.805739]",
Cleveland County,37,37045,99519,464.253,"[35.291366, -81.515786]",
Columbus County,37,37047,50623,938.198,"[34.280555, -78.706901]",
Craven County,37,37049,100720,706.542,"[35.069158, -77.04141]",
Cumberland County,37,37051,334728,652.566,"[35.054571, -78.937283]",
Currituck County,37,37053,28100,261.91,"[36.403222, -76.016801]",
Dare County,37,37055,36915,383.229,"[35.920369, -75.676005]",
Davidson County,37,37057,168930,552.996,"[35.857903, -80.200515]",
Davie County,37,37059,42712,263.699,"[35.931411, -80.52037]",
Duplin County,37,37061,48715,814.72,"[34.92845, -77.940295]",
Durham County,37,37063,324833,287.549,"[35.986154, -78.901717]",
Edgecombe County,37,37065,48900,505.436,"[35.902358, -77.656133]",
Forsyth County,37,37067,382590,408.046,"[36.104617, -80.258522]",
Franklin County,37,37069,68573,491.802,"[36.044193, -78.354026]",
Gaston County,37,37071,227943,355.751,"[35.273689, -81.150823]",
Gates County,37,37073,10478,340.612,"[36.464578, -76.706981]",
Graham County,37,37075,8030,291.968,"[35.332126, -83.787137]",
Granville County,37,37077,60992,531.991,"[36.216579, -78.649713]",
Greene County,37,37079,20451,266.734,"[35.466704, -77.665166]",
Guilford County,37,37081,541299,645.988,"[36.066734, -79.847354]",
Halifax County,37,37083,48622,723.738,"[36.36143, -77.67408]",
Harnett County,37,37085,133568,595.099,"[35.354081, -78.867419]",
Haywood County,37,37087,62089,553.56,"[35.518934, -82.943122]",
Henderson County,37,37089,116281,372.948,"[35.341636, -82.471646]",
Hertford County,37,37091,21552,353.164,"[36.352235, -77.011325]",
Hoke County,37,37093,52082,390.153,"[34.992582, -79.170107]",
Hyde County,37,37095,4589,612.342,"[35.430458, -76.205134]",
Iredell County,37,37097,186693,574.437,"[35.694772, -80.866837]",
Jackson County,37,37099,43109,491.11,"[35.332904, -83.199035]",
Johnston County,37,37101,215999,792.017,"[35.570579, -78.419098]",
Jones County,37,37103,9172,471.368,"[35.030718, -77.354076]",
Lee County,37,37105,63285,255.072,"[35.453843, -79.173582]",
Lenoir County,37,37107,55122,399.087,"[35.260621, -77.633969]",
Lincoln County,37,37109,86810,295.851,"[35.485544, -81.162521]",
McDowell County,37,37111,44578,439.954,"[35.667381, -82.019915]",
Macon County,37,37113,37014,515.564,"[35.156852, -83.377321]",
Madison County,37,37115,21193,449.615,"[35.839031, -82.636142]",
Martin County,37,37117,22031,456.412,"[35.830325, -77.097262]",
Mecklenburg County,37,37119,1115482,523.612,"[35.225341, -80.819873]",
Mitchell County,37,37121,14903,221.251,"[35.960065, -82.113979]",
Montgomery County,37,37123,25751,491.537,"[35.340612, -79.892912]",
Moore County,37,37125,99727,697.627,"[35.23777, -79.439212]",
Nash County,37,37127,94970,540.444,"[35.945971, -77.925858]",
New Hanover County,37,37129,225702,192.225,"[34.210212, -77.878389]",
Northampton County,37,37131,17471,536.71,"[36.44074, -77.450044]",
Onslow County,37,37133,204576,762.085,"[34.734255, -77.405266]",
Orange County,37,37135,148696,397.543,"[35.980115, -79.082329]",
Pamlico County,37,37137,12276,336.515,"[35.102112, -76.782234]",
Pasquotank County,37,37139,40568,226.878,"[36.294076, -76.247331]",
Pender County,37,37141,60203,871.3,"[34.453784, -77.806662]",
Perquimans County,37,37143,13005,247.173,"[36.180608, -76.422879]",
Person County,37,37145,39097,392.34,"[36.37201, -78.97044]",
Pitt County,37,37147,170243,652.366,"[35.576487, -77.383372]",
Polk County,37,37149,19328,237.687,"[35.258428, -82.17688]",
Randolph County,37,37151,144171,782.336,"[35.766153, -79.829145]",
Richmond County,37,37153,42946,473.689,"[34.942668, -79.735374]",
Robeson County,37,37155,116530,947.294,"[34.677173, -79.091794]",
Rockingham County,37,37157,91096,565.642,"[36.40032, -79.773426]",
Rowan County,37,37159,146875,511.61,"[35.620923, -80.522841]",
Rutherford County,37,37161,64444,565.437,"[35.350767, -81.897864]",
Sampson County,37,37163,59036,945.932,"[35.036714, -78.397561]",
Scotland County,37,37165,34174,319.14,"[34.785743, -79.473966]",
Stanly County,37,37167,62504,395.08,"[35.320568, -80.251909]",
Stokes County,37,37169,44520,449.323,"[36.349476, -80.275236]",
Surry County,37,37171,71359,532.644,"[36.431129, -80.657197]",
Swain County,37,37173,14117,527.721,"[35.437811, -83.411997]",
Transylvania County,37,37175,32986,378.358,"[35.210116, -82.743077]",
Tyrrell County,37,37177,3245,390.777,"[35.895302, -76.242529]",
Union County,37,37179,238267,632.739,"[35.01249, -80.631967]",
