county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,38,38001,2200,987.547,"[46.035876, -102.621818]",
Barnes County,38,38003,10853,1491.559,"[46.926891, -98.030382]",
Benson County,38,38005,5964,1388.555,"[48.022233, -99.148961]",
Billings County,38,38007,945,1148.488,"[47.00341, -103.306329]",
Bottineau County,38,38009,6379,1668.858,"[48.818996, -100.635057]",
Bowman County,38,38011,2993,1161.809,"[46.17101, -103.389737]",
Burke County,38,38013,2201,1103.619,"[48.760535, -102.539257]",
Burleigh County,38,38015,98458,1632.694,"[46.823125, -100.761269]",
Cass County,38,38017,184525,1764.935,"[46.853248, -96.866085]",
Cavalier County,38,38019,3704,1489.125,"[48.756287, -98.408736]",
Dickey County,38,38021,4999,1131.493,"[46.090319, -98.316828]",
Divide County,38,38023,2195,1261.13,"[48.873168, -103.340573]",
Dunn County,38,38025,4095,2008.492,"[47.337232, -102.638185]",
Eddy County,38,38027,2347,630.239,"[47.705809, -99.056923]",
Emmons County,38,38029,3301,1508.401,"[46.26697, -100.221494]",
Foster County,38,38031,3397,634.08,"[47.460553, -99.032312]",
Golden Valley County,38,38033,1736,1000.885,"[46.891037, -103.959283]",
Grand Forks County,38,38035,73170,1436.216,"[47.904107, -97.114067]",
Grant County,38,38037,2301,1659.233,"[46.39358, -101.709905]",
Griggs County,38,38039,2306,708.685,"[47.45152, -98.184378]",
Hettinger County,38,38041,2489,1132.239,"[46.452752, -102.563748]",
Kidder County,38,38043,2394,1351.062,"[46.913782, -99.803211]",
LaMoure County,38,38045,4093,1146.005,"[46.405038, -98.531088]",
Logan County,38,38047,1876,992.599,"[46.497157, -99.553732]",
McHenry County,38,38049,5345,1873.942,"[48.179669, -100.700743]",
McIntosh County,38,38051,2530,974.563,"[46.146072, -99.492968]",
McKenzie County,38,38053,14704,2760.133,"[47.815379, -103.249949]",
McLean County,38,38055,9771,2110.272,"[47.524037, -101.227016]",
Mercer County,38,38057,8350,1042.781,"[47.300979, -101.712049]",
Morton County,38,38059,33291,1925.888,"[46.82084, -100.987436]",
Mountrail County,38,38061,9809,1825.163,"[48.134813, -102.385064]",
Nelson County,38,38063,3015,981.815,"[47.914125, -98.211495]",
Oliver County,38,38065,1877,722.404,"[47.120347, -101.30705]",
Pembina County,38,38067,6844,1118.535,"[48.786353, -97.583136]",
Pierce County,38,38069,3990,1018.285,"[48.327982, -99.985438]",
Ramsey County,38,38071,11605,1185.367,"[48.129972, -98.834617]",
Ransom County,38,38073,5703,862.472,"[46.473332, -97.654107]",
Renville County,38,38075,2282,877.244,"[48.71223, -101.513019]",
Richland County,38,38077,16529,1435.674,"[46.265439, -96.76508]",
Rolette County,38,38079,12187,903.042,"[48.837585, -99.815657]",
Sargent County,38,38081,3862,858.483,"[46.166223, -97.587859]",
Sheridan County,38,38083,1265,972.226,"[47.581765, -100.333635]",
Sioux County,38,38085,3898,1094.052,"[46.166774, -100.727458]",
Slope County,38,38087,706,1215.264,"[46.418394, -103.416249]",
Stark County,38,38089,33646,1334.913,"[46.883324, -102.784958]",
Steele County,38,38091,1798,712.143,"[47.459852, -97.75048]",
Stutsman County,38,38093,21593,2221.904,"[46.917429, -98.73948]",
Towner County,38,38095,2162,1025.113,"[48.575593, -99.232995]",
Traill County,38,38097,7997,861.871,"[47.489414, -97.221419]",
Walsh County,38,38099,10563,1281.607,"[48.392384, -97.55615]",
Ward County,38,38101,69919,2013.029,"[48.251003, -101.324255]",
Wells County,38,38103,3982,1270.533,"[47.673531, -99.776162]",
Williams County,38,38105,40950,2077.6,"[48.198161, -103.581969]",
