county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,39,39001,27477,583.872,"[38.851155, -83.519185]",
Allen County,39,39003,102206,402.545,"[40.757218, -84.123687]",
Ashland County,39,39005,52447,422.986,"[40.854406, -82.284305]",
Ashtabula County,39,39007,97574,702.417,"[41.792138, -80.769023]",
Athens County,39,39009,62431,503.643,"[39.342729, -82.09958]",
Auglaize County,39,39011,46422,401.388,"[40.543994, -84.27252]",
Belmont County,39,39013,66497,532.127,"[40.042452, -80.892944]",
Brown County,39,39015,43676,489.543,"[38.952078, -83.892764]",
Butler County,39,39017,390357,466.516,"[39.41063, -84.498421]",
Carroll County,39,39019,26721,394.612,"[40.608768, -81.114233]",
Champaign County,39,39021,38714,428.977,"[40.121157, -83.756495]",
Clark County,39,39023,136001,395.879,"[39.927551, -83.83172]",
Clermont County,39,39025,208601,452.56,"[39.104936, -84.213831]",
Clinton County,39,39027,42018,408.731,"[39.411451, -83.84298]",
Columbiana County,39,39029,101877,531.917,"[40.780285, -80.730613]",
Coshocton County,39,39031,36612,563.911,"[40.291486, -81.863132]",
Crawford County,39,39033,42025,401.786,"[40.796314, -82.873456]",
Cuyahoga County,39,39035,1264817,457.212,"[41.448408, -81.677451]",
Darke County,39,39037,51881,598.102,"[40.116114, -84.606299]",
Defiance County,39,39039,38286,411.439,"[41.29476, -84.448702]",
Delaware County,39,39041,214124,443.146,"[40.213434, -83.012316]",
Erie County,39,39043,75622,251.288,"[41.40534, -82.62729]",
Fairfield County,39,39045,158921,504.365,"[39.799356, -82.672891]",
Fayette County,39,39047,28951,406.361,"[39.548507, -83.443856]",
Franklin County,39,39049,1323807,532.419,"[40.001224, -82.992171]",
Fulton County,39,39051,42713,405.45,"[41.57813, -84.095238]",
Gallia County,39,39053,29220,466.53,"[38.83179, -82.275222]",
Geauga County,39,39055,95397,400.43,"[41.487507, -81.223418]",
Greene County,39,39057,167966,413.632,"[39.725798, -83.997172]",
Guernsey County,39,39059,38438,522.242,"[40.017747, -81.541964]",
Hamilton County,39,39061,830639,405.454,"[39.181054, -84.509096]",
Hancock County,39,39063,74920,531.324,"[41.038819, -83.642078]",
Hardin County,39,39065,30696,470.285,"[40.687272, -83.673001]",
Harrison County,39,39067,14483,402.331,"[40.308308, -81.052878]",
Henry County,39,39069,27662,416.013,"[41.360177, -84.078123]",
Highland County,39,39071,43317,553.084,"[39.21912, -83.582063]",
Hocking County,39,39073,28050,421.349,"[39.524899, -82.449693]",
Holmes County,39,39075,44223,422.614,"[40.568212, -81.869548]",
Huron County,39,39077,58565,492.244,"[41.176384, -82.613754]",
Jackson County,39,39079,32653,420.31,"[39.035842, -82.610925]",
Jefferson County,39,39081,65249,408.124,"[40.365484, -80.692361]",
Knox County,39,39083,62721,525.499,"[40.400283, -82.454323]",
Lake County,39,39085,232603,229.395,"[41.685007, -81.319872]",
Lawrence County,39,39087,58240,453.393,"[38.50139, -82.538753]",
Licking County,39,39089,178519,682.427,"[40.051058, -82.52159]",
Logan County,39,39091,46150,458.505,"[40.382633, -83.776776]",
Lorain County,39,39093,312964,490.536,"[41.391668, -82.110224]",
Lucas County,39,39095,431279,339.662,"[41.651951, -83.620346]",
Madison County,39,39097,43824,466.688,"[39.923532, -83.378429]",
Mahoning County,39,39099,228614,411.487,"[41.048246, -80.697024]",
Marion County,39,39101,65359,403.807,"[40.582108, -83.127065]",
Medina County,39,39103,182470,421.459,"[41.14417, -81.837739]",
Meigs County,39,39105,22210,430.102,"[39.061474, -82.011139]",
Mercer County,39,39107,42528,462.447,"[40.515597, -84.606448]",
Miami County,39,39109,108774,406.581,"[40.039896, -84.229494]",
Monroe County,39,39111,13385,455.723,"[39.743928, -81.066658]",
Montgomery County,39,39113,537309,461.351,"[39.744183, -84.206384]",
Morgan County,39,39115,13802,416.426,"[39.615975, -81.865949]",
Morrow County,39,39117,34950,406.134,"[40.51851, -82.793839]",
Muskingum County,39,39119,86410,664.546,"[39.963489, -81.996844]",
Noble County,39,39121,14115,398.012,"[39.77294, -81.487122]",
Ottawa County,39,39123,40364,254.702,"[41.532537, -83.080376]",
Paulding County,39,39125,18806,416.435,"[41.132652, -84.588497]",
Perry County,39,39127,35408,407.94,"[39.758487, -82.237977]",
Pickaway County,39,39129,58539,501.265,"[39.671077, -82.992679]",
Pike County,39,39131,27088,440.282,"[39.084195, -83.036586]",
Portage County,39,39133,161791,487.408,"[41.18075, -81.276935]",
Preble County,39,39135,40999,424.226,"[39.743238, -84.625367]",
Putnam County,39,39137,34451,482.544,"[41.008256, -84.115516]",
Richland County,39,39139,124936,495.227,"[40.761551, -82.54039]",
Ross County,39,39141,77093,689.166,"[39.341679, -83.023023]",
Sandusky County,39,39143,58896,408.245,"[41.340365, -83.100451]",
Scioto County,39,39145,74008,610.155,"[38.780894, -82.944686]",
