county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adair County,40,40001,19495,573.881,"[35.887468, -94.635683]",
Alfalfa County,40,40003,5699,866.565,"[36.658546, -98.317631]",
Atoka County,40,40005,14143,975.453,"[34.329959, -96.097526]",
Beaver County,40,40007,5049,1814.837,"[36.829383, -100.638158]",
Beckham County,40,40009,22410,901.675,"[35.361158, -99.511022]",
Blaine County,40,40011,8735,928.463,"[35.885203, -98.428177]",
Bryan County,40,40013,46067,904.348,"[33.980731, -96.386125]",
Caddo County,40,40015,26945,1277.754,"[35.175959, -98.339383]",
Canadian County,40,40017,154405,896.573,"[35.493359, -97.766177]",
Carter County,40,40019,48003,822.301,"[34.189514, -97.19745]",
Cherokee County,40,40021,47078,749.127,"[35.902314, -94.995607]",
Choctaw County,40,40023,14204,770.383,"[34.019064, -95.528308]",
Cimarron County,40,40025,2296,1834.808,"[36.734437, -102.496037]",
Cleveland County,40,40027,295528,538.908,"[35.269308, -97.450434]",
Coal County,40,40029,5266,516.772,"[34.548037, -96.278199]",
Comanche County,40,40031,121125,1069.322,"[34.633044, -98.419449]",
Cotton County,40,40033,5527,632.637,"[34.31257, -98.331491]",
Craig County,40,40035,14107,761.255,"[36.679216, -95.154588]",
Creek County,40,40037,71754,949.894,"[35.9754, -96.226043]",
Custer County,40,40039,28513,988.779,"[35.547694, -98.828737]",
Delaware County,40,40041,40397,737.754,"[36.468532, -94.793251]",
Dewey County,40,40043,4484,999.628,"[36.057055, -99.074156]",
Ellis County,40,40045,3749,1231.477,"[36.262513, -99.786963]",
Garfield County,40,40047,62846,1058.507,"[36.398481, -97.885455]",
Garvin County,40,40049,25656,802.146,"[34.737491, -97.28949]",
Grady County,40,40051,54795,1100.54,"[35.112409, -97.850428]",
Grant County,40,40053,4169,1000.74,"[36.761056, -97.779663]",
Greer County,40,40055,5491,639.285,"[34.912036, -99.464241]",
Harmon County,40,40057,2488,537.258,"[34.694548, -99.897391]",
Harper County,40,40059,3272,1038.584,"[36.768589, -99.761804]",
Haskell County,40,40061,11561,576.725,"[35.239002, -95.124795]",
Hughes County,40,40063,13367,804.473,"[35.079245, -96.326231]",
Jackson County,40,40065,24785,802.653,"[34.657239, -99.331416]",
Jefferson County,40,40067,5337,758.956,"[34.132097, -97.871654]",
Johnston County,40,40069,10272,643.05,"[34.262325, -96.650068]",
Kay County,40,40071,43700,919.61,"[36.744254, -97.125201]",
Kingfisher County,40,40073,15184,898.086,"[35.913869, -97.91096]",
Kiowa County,40,40075,8509,1015.078,"[34.936853, -99.017988]",
Latimer County,40,40077,9444,722.113,"[34.88202, -95.255214]",
Le Flore County,40,40079,48129,1589.416,"[35.065249, -94.639064]",
Lincoln County,40,40081,33458,952.372,"[35.656322, -96.882274]",
Logan County,40,40083,49555,743.736,"[35.822271, -97.442909]",
Love County,40,40085,10146,513.914,"[33.922696, -97.170128]",
McClain County,40,40087,41662,570.72,"[35.106328, -97.527577]",
McCurtain County,40,40089,30814,1850.782,"[33.999674, -94.814678]",
McIntosh County,40,40091,18941,618.29,"[35.385902, -95.581367]",
Major County,40,40093,7782,955.0,"[36.298864, -98.432369]",
Marshall County,40,40095,15312,371.49,"[34.01809, -96.749333]",
Mayes County,40,40097,39046,655.326,"[36.292233, -95.243222]",
Murray County,40,40099,13904,416.375,"[34.507083, -97.027691]",
Muskogee County,40,40101,66339,810.64,"[35.71185, -95.366561]",
Noble County,40,40103,10924,731.712,"[36.324096, -97.233088]",
Nowata County,40,40105,9320,565.817,"[36.774995, -95.635237]",
Okfuskee County,40,40107,11310,618.458,"[35.451094, -96.337952]",
Oklahoma County,40,40109,796292,708.9,"[35.52553, -97.512375]",
Okmulgee County,40,40111,36706,697.443,"[35.617922, -95.969216]",
Osage County,40,40113,45818,2246.682,"[36.415208, -96.228583]",
Ottawa County,40,40115,30285,470.817,"[36.857439, -94.834841]",
Pawnee County,40,40117,15553,568.353,"[36.270375, -96.539216]",
Payne County,40,40119,81646,684.901,"[36.0913, -97.007049]",
Pittsburg County,40,40121,43773,1305.512,"[34.956346, -95.721263]",
Pontotoc County,40,40123,38065,720.353,"[34.774213, -96.67319]",
Pottawatomie County,40,40125,72454,787.793,"[35.321377, -96.952883]",
Pushmataha County,40,40127,10812,1395.54,"[34.327826, -95.482036]",
Roger Mills County,40,40129,3442,1141.135,"[35.628485, -99.659405]",
Rogers County,40,40131,95240,675.747,"[36.31533, -95.650597]",
Seminole County,40,40133,23556,632.819,"[35.186227, -96.631163]",
Sequoyah County,40,40135,39281,673.577,"[35.466206, -94.729702]",
Stephens County,40,40137,42848,870.212,"[34.518536, -97.946619]",
Texas County,40,40139,21384,2041.293,"[36.712185, -101.448408]",
Tillman County,40,40141,6968,871.134,"[34.382478, -98.971119]",
Tulsa County,40,40143,669279,570.242,"[36.1027, -95.91151]",
Wagoner County,40,40145,80981,561.916,"[36.015963, -95.627565]",
Washington County,40,40147,52455,415.524,"[36.728457, -95.937432]",
Washita County,40,40149,10924,1003.089,"[35.314336, -99.05353]",
Woods County,40,40151,8624,1286.482,"[36.767497, -98.708062]",
Woodward County,40,40153,20470,1242.786,"[36.423748, -99.383574]",
