county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Baker County,41,41001,16668,3067.967,"[44.780021, -117.762087]",
Benton County,41,41003,95184,675.208,"[44.573123, -123.275062]",
Clackamas County,41,41005,421401,1870.711,"[45.363411, -122.575016]",
Clatsop County,41,41007,41072,828.239,"[46.098894, -123.841041]",
Columbia County,41,41009,52589,658.684,"[45.889969, -122.929381]",
Coos County,41,41011,64929,1596.044,"[43.305461, -124.232445]",
Crook County,41,41013,24738,2978.929,"[44.283564, -120.843605]",
Curry County,41,41015,23446,1628.395,"[42.251867, -124.327962]",
Deschutes County,41,41017,198253,3017.61,"[44.090954, -121.306213]",
Douglas County,41,41019,111201,5035.676,"[43.239963, -123.388771]",
Gilliam County,41,41021,1995,1204.721,"[45.449592, -120.197022]",
Grant County,41,41023,7233,4527.792,"[44.451525, -119.003559]",
Harney County,41,41025,7495,10134.438,"[43.521602, -118.986891]",
Hood River County,41,41027,23977,522.194,"[45.658959, -121.565661]",
Jackson County,41,41029,223259,2783.251,"[42.347769, -122.858631]",
Jefferson County,41,41031,24502,1781.696,"[44.591478, -121.190361]",
Josephine County,41,41033,88090,1638.649,"[42.404433, -123.38517]",
Klamath County,41,41035,69413,5949.897,"[42.285893, -121.726802]",
Lake County,41,41037,8160,8138.61,"[42.478434, -120.476422]",
Lane County,41,41039,382971,4554.092,"[44.039563, -123.119235]",
Lincoln County,41,41041,50395,980.983,"[44.713731, -124.002001]",
Linn County,41,41043,128610,2289.508,"[44.556336, -122.959471]",
Malheur County,41,41045,31571,9887.707,"[43.975358, -117.06114]",
Marion County,41,41047,345920,1180.84,"[44.960149, -122.955907]",
Morrow County,41,41049,12186,2030.529,"[45.739056, -119.617276]",
Multnomah County,41,41051,815428,431.019,"[45.517904, -122.591156]",
Polk County,41,41053,87433,740.924,"[44.920857, -123.20811]",
Sherman County,41,41055,1870,823.614,"[45.518367, -120.72146]",
Tillamook County,41,41057,27390,1103.183,"[45.469525, -123.858484]",
Umatilla County,41,41059,80075,3215.45,"[45.801243, -118.967455]",
Union County,41,41061,26196,2036.941,"[45.341591, -118.018208]",
Wallowa County,41,41063,7391,3145.897,"[45.443336, -117.305634]",
Wasco County,41,41065,26670,2381.119,"[45.541482, -121.204066]",
Washington County,41,41067,600372,724.272,"[45.486067, -122.87092]",
Wheeler County,41,41069,1451,1716.021,"[44.837096, -120.088844]",
Yamhill County,41,41071,107722,715.938,"[45.239528, -123.136974]",
