county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,42,42001,103852,518.576,"[39.851137, -77.157037]",
Allegheny County,42,42003,1250578,729.952,"[40.447811, -79.971635]",
Armstrong County,42,42005,65558,653.321,"[40.769635, -79.51099]",
Beaver County,42,42007,168215,434.695,"[40.684267, -80.302021]",
Bedford County,42,42009,47577,1011.988,"[40.054295, -78.476925]",
Berks County,42,42011,428849,856.404,"[40.362681, -75.909878]",
Blair County,42,42013,122822,525.067,"[40.487156, -78.376585]",
Bradford County,42,42015,59967,1147.376,"[41.833895, -76.527899]",
Bucks County,42,42017,646538,604.447,"[40.239408, -75.026366]",
Butler County,42,42019,193763,789.482,"[40.821598, -79.966512]",
Cambria County,42,42021,133472,687.963,"[40.408084, -78.800185]",
Cameron County,42,42023,4547,396.234,"[41.502354, -78.23879]",
Carbon County,42,42025,64749,381.356,"[40.871955, -75.708895]",
Centre County,42,42027,158172,1107.259,"[40.839811, -77.836167]",
Chester County,42,42029,534413,750.551,"[39.993381, -75.678116]",
Clarion County,42,42031,37241,600.836,"[41.182373, -79.429465]",
Clearfield County,42,42033,80562,1145.06,"[40.991528, -78.499291]",
Clinton County,42,42035,37450,889.63,"[41.140123, -77.448809]",
Columbia County,42,42037,64727,483.259,"[41.038653, -76.389553]",
Crawford County,42,42039,83938,1012.355,"[41.666386, -80.098406]",
Cumberland County,42,42041,259469,545.482,"[40.205907, -77.092609]",
Dauphin County,42,42043,286401,524.87,"[40.304616, -76.796486]",
Delaware County,42,42045,576830,183.808,"[39.922639, -75.348866]",
Elk County,42,42047,30990,826.901,"[41.419129, -78.619743]",
Erie County,42,42049,270876,798.901,"[42.068563, -80.07268]",
Fayette County,42,42051,128804,790.758,"[39.949204, -79.71596]",
Forest County,42,42053,6973,427.259,"[41.487078, -79.223165]",
Franklin County,42,42055,155932,772.279,"[39.883461, -77.654852]",
Fulton County,42,42057,14556,437.551,"[39.918305, -78.08615]",
Greene County,42,42059,35954,575.932,"[39.876907, -80.113513]",
Huntingdon County,42,42061,44092,874.592,"[40.428603, -78.002926]",
Indiana County,42,42063,83246,827.394,"[40.617473, -79.1305]",
Jefferson County,42,42065,44492,652.44,"[41.085869, -78.964273]",
Juniata County,42,42067,23509,391.391,"[40.573028, -77.327685]",
Lackawanna County,42,42069,215896,458.886,"[41.441461, -75.636396]",
Lancaster County,42,42071,552984,943.924,"[40.07391, -76.29248]",
Lawrence County,42,42073,86070,357.39,"[40.986789, -80.336455]",
Lebanon County,42,42075,143257,361.835,"[40.340342, -76.443132]",
Lehigh County,42,42077,374557,345.336,"[40.597849, -75.509406]",
Luzerne County,42,42079,325594,889.807,"[41.195284, -75.928422]",
Lycoming County,42,42081,114188,1228.92,"[41.24927, -76.981292]",
McKean County,42,42083,40432,979.694,"[41.865244, -78.58325]",
Mercer County,42,42085,110652,672.538,"[41.263855, -80.336703]",
Mifflin County,42,42087,46143,411.037,"[40.60427, -77.615882]",
Monroe County,42,42089,168327,608.361,"[41.038639, -75.305852]",
Montgomery County,42,42091,856553,482.936,"[40.169483, -75.314499]",
Montour County,42,42093,18136,130.331,"[40.996765, -76.630209]",
Northampton County,42,42095,312951,369.787,"[40.699145, -75.320858]",
Northumberland County,42,42097,91647,457.678,"[40.874558, -76.684501]",
Perry County,42,42099,45842,551.449,"[40.410783, -77.154446]",
Philadelphia County,42,42101,1603797,134.325,"[40.003523, -75.139476]",
Pike County,42,42103,58535,544.896,"[41.302389, -74.983463]",
Potter County,42,42105,16396,1081.249,"[41.823262, -77.935838]",
Schuylkill County,42,42107,143049,778.579,"[40.712667, -76.195872]",
Snyder County,42,42109,39736,328.784,"[40.787382, -76.980927]",
Somerset County,42,42111,74129,1075.047,"[40.029001, -79.012353]",
Sullivan County,42,42113,5840,449.939,"[41.469615, -76.492908]",
Susquehanna County,42,42115,38434,823.494,"[41.823092, -75.76923]",
Tioga County,42,42117,41045,1133.892,"[41.814804, -77.211057]",
Union County,42,42119,42681,315.957,"[40.970242, -76.959238]",
Venango County,42,42121,50454,674.265,"[41.404235, -79.765355]",
Warren County,42,42123,38587,884.282,"[41.853111, -79.233295]",
Washington County,42,42125,209349,857.01,"[40.20836, -80.146146]",
Wayne County,42,42127,51155,725.769,"[41.539728, -75.307606]",
Westmoreland County,42,42129,354663,1027.71,"[40.340199, -79.594629]",
Wyoming County,42,42131,26069,397.258,"[41.538722, -75.938649]",
York County,42,42133,456438,904.352,"[39.941929, -76.75372]",
