county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adjuntas County,72,72001,18020,66.683,"[18.173646, -66.740925]",
Aguada County,72,72003,38136,30.859,"[18.362557, -67.176449]",
Aguadilla County,72,72005,55101,36.542,"[18.459888, -67.12633]",
Aguas Buenas County,72,72007,24223,30.085,"[18.24874, -66.122947]",
Aibonito County,72,72009,24637,31.312,"[18.137305, -66.268687]",
Añasco County,72,72011,25596,39.293,"[18.290392, -67.139988]",
Arecibo County,72,72013,87754,126.04,"[18.439048, -66.69096]",
Arroyo County,72,72015,15843,15.009,"[17.984834, -66.054877]",
Barceloneta County,72,72017,22657,18.684,"[18.444507, -66.5587]",
Barranquitas County,72,72019,28983,34.253,"[18.203009, -66.311406]",
Bayamón County,72,72021,185187,44.439,"[18.37294, -66.168187]",
Cabo Rojo County,72,72023,47158,70.366,"[18.070386, -67.156738]",
Caguas County,72,72025,127244,58.604,"[18.226891, -66.045972]",
Camuy County,72,72027,32827,46.432,"[18.444506, -66.863259]",
Canóvanas County,72,72029,42337,32.869,"[18.359601, -65.895249]",
Carolina County,72,72031,154815,45.378,"[18.392727, -65.971732]",
Cataño County,72,72033,23155,4.832,"[18.436657, -66.141417]",
Cayey County,72,72035,41652,51.935,"[18.119389, -66.150454]",
Ceiba County,72,72037,11307,29.036,"[18.262878, -65.656285]",
Ciales County,72,72039,16984,66.529,"[18.314892, -66.493664]",
Cidra County,72,72041,39970,36.023,"[18.171979, -66.151298]",
Coamo County,72,72043,34668,78.013,"[18.078888, -66.361654]",
Comerío County,72,72045,18883,28.401,"[18.226917, -66.223805]",
Corozal County,72,72047,34571,42.565,"[18.31652, -66.322897]",
Culebra County,72,72049,1792,11.647,"[18.311911, -65.301885]",
Dorado County,72,72051,35879,23.116,"[18.440335, -66.284058]",
Fajardo County,72,72053,32124,29.907,"[18.327234, -65.656969]",
Florida County,72,72054,11692,15.224,"[18.368416, -66.563073]",
Guánica County,72,72055,13787,37.075,"[17.985564, -66.912035]",
Guayama County,72,72057,36614,65.038,"[17.981079, -66.120144]",
Guayanilla County,72,72059,17784,42.248,"[18.03273, -66.793032]",
Guaynabo County,72,72061,89780,27.585,"[18.366345, -66.113295]",
Gurabo County,72,72063,40622,27.885,"[18.253807, -65.979538]",
Hatillo County,72,72065,38486,41.744,"[18.440804, -66.797657]",
Hormigueros County,72,72067,15654,11.346,"[18.141179, -67.120847]",
Humacao County,72,72069,50896,44.719,"[18.141972, -65.816921]",
Isabela County,72,72071,42943,55.311,"[18.473708, -67.018163]",
Jayuya County,72,72073,14779,44.53,"[18.21663, -66.593669]",
Juana Díaz County,72,72075,46538,60.355,"[18.040776, -66.503885]",
Juncos County,72,72077,37012,26.49,"[18.223898, -65.913785]",
Lajas County,72,72079,23334,59.961,"[18.032554, -67.046992]",
Lares County,72,72081,28105,61.455,"[18.293906, -66.870739]",
Las Marías County,72,72083,8874,46.36,"[18.242125, -66.993323]",
Las Piedras County,72,72085,35180,33.88,"[18.180422, -65.873796]",
Loíza County,72,72087,23693,19.374,"[18.418901, -65.869088]",
Luquillo County,72,72089,17781,25.811,"[18.361491, -65.723304]",
Manatí County,72,72091,39492,45.14,"[18.427989, -66.482736]",
Maricao County,72,72093,4755,36.623,"[18.176418, -66.955125]",
Maunabo County,72,72095,10589,21.165,"[18.010392, -65.90469]",
Mayagüez County,72,72097,73077,77.589,"[18.200407, -67.132661]",
Moca County,72,72099,37460,50.341,"[18.380886, -67.083785]",
Morovis County,72,72101,28727,38.871,"[18.328822, -66.412994]",
Naguabo County,72,72103,23386,51.661,"[18.218695, -65.749375]",
Naranjito County,72,72105,29241,27.401,"[18.292637, -66.251108]",
Orocovis County,72,72107,21434,63.616,"[18.222018, -66.406737]",
Patillas County,72,72109,15985,46.604,"[18.007498, -66.00459]",
Peñuelas County,72,72111,20399,44.65,"[18.058586, -66.722282]",
Ponce County,72,72113,137491,114.912,"[18.02175, -66.616993]",
Quebradillas County,72,72115,23638,22.668,"[18.45455, -66.92736]",
Rincón County,72,72117,15187,14.288,"[18.334123, -67.233645]",
Río Grande County,72,72119,47060,60.621,"[18.367271, -65.827512]",
Sabana Grande County,72,72121,22729,36.298,"[18.070416, -66.950547]",
Salinas County,72,72123,25789,69.404,"[17.991105, -66.260357]",
San Germán County,72,72125,31879,54.497,"[18.096123, -67.041209]",
San Juan County,72,72127,342259,47.886,"[18.401963, -66.056207]",
San Lorenzo County,72,72129,37693,53.108,"[18.171583, -65.972121]",
San Sebastián County,72,72131,39345,70.426,"[18.335187, -66.982212]",
Santa Isabel County,72,72133,20281,34.05,"[17.98922, -66.394622]",
Toa Alta County,72,72135,66852,27.021,"[18.367369, -66.229556]",
Toa Baja County,72,72137,75293,23.244,"[18.429333, -66.201719]",
Trujillo Alto County,72,72139,67740,20.758,"[18.35072, -66.008142]",
Utuado County,72,72141,28287,113.54,"[18.268678, -66.707197]",
Vega Alta County,72,72143,35395,27.726,"[18.423353, -66.331592]",
Vega Baja County,72,72145,54414,45.848,"[18.439692, -66.399082]",
Vieques County,72,72147,8249,50.788,"[18.134221, -65.448953]",
Villalba County,72,72149,22093,35.599,"[18.123806, -66.486557]",
Yabucoa County,72,72151,30426,55.215,"[18.068957, -65.885852]",
Yauco County,72,72153,34172,67.737,"[18.043328, -66.859541]",
