county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Abbeville County,45,45001,24295,491.195,"[34.241575, -82.422103]",
Aiken County,45,45003,168808,1070.674,"[33.535704, -81.774519]",
Allendale County,45,45005,8039,408.095,"[32.997052, -81.291327]",
Anderson County,45,45007,203718,713.854,"[34.564685, -82.61662]",
Bamberg County,45,45009,13311,393.367,"[33.267569, -81.072226]",
Barnwell County,45,45011,20589,548.383,"[33.294536, -81.356749]",
Beaufort County,45,45013,187117,576.022,"[32.317957, -80.786927]",
Berkeley County,45,45015,229861,1103.61,"[33.059268, -80.035006]",
Calhoun County,45,45017,14119,381.146,"[33.677921, -80.822118]",
Charleston County,45,45019,408235,918.165,"[32.825793, -79.978136]",
Cherokee County,45,45021,56216,392.96,"[35.080959, -81.648305]",
Chester County,45,45023,32294,580.865,"[34.704401, -81.118573]",
Chesterfield County,45,45025,43273,798.986,"[34.681114, -80.149834]",
Clarendon County,45,45027,31144,607.207,"[33.686186, -80.207955]",
Colleton County,45,45029,38604,1056.46,"[32.90881, -80.646921]",
Darlington County,45,45031,62905,560.629,"[34.326094, -79.985464]",
Dillon County,45,45033,28292,405.076,"[34.39479, -79.361598]",
Dorchester County,45,45035,161540,568.393,"[32.995941, -80.212663]",
Edgefield County,45,45037,25657,500.688,"[33.713128, -81.923002]",
Fairfield County,45,45039,20948,686.306,"[34.361268, -81.069334]",
Florence County,45,45041,137059,800.508,"[34.106046, -79.764677]",
Georgetown County,45,45043,63404,813.665,"[33.457552, -79.250947]",
Greenville County,45,45045,525534,785.937,"[34.844659, -82.331257]",
Greenwood County,45,45047,69351,455.606,"[34.205171, -82.147907]",
Hampton County,45,45049,18561,559.975,"[32.801597, -81.116415]",
Horry County,45,45051,351029,1133.158,"[33.780221, -78.937681]",
Jasper County,45,45053,28791,655.135,"[32.407305, -81.002142]",
Kershaw County,45,45055,65403,726.612,"[34.257249, -80.650865]",
Lancaster County,45,45057,96016,549.174,"[34.804751, -80.771843]",
Laurens County,45,45059,67539,712.871,"[34.509505, -82.032019]",
Lee County,45,45061,16531,410.187,"[34.183585, -80.266874]",
Lexington County,45,45063,293991,698.586,"[33.962205, -81.218934]",
McCormick County,45,45065,9526,358.89,"[33.879301, -82.297749]",
Marion County,45,45067,29183,489.372,"[34.166085, -79.340476]",
Marlboro County,45,45069,26667,479.874,"[34.637958, -79.671661]",
Newberry County,45,45071,37719,630.306,"[34.264651, -81.573551]",
Oconee County,45,45073,78607,626.566,"[34.707527, -83.002043]",
Orangeburg County,45,45075,84223,1106.379,"[33.47176, -80.798783]",
Pickens County,45,45077,131404,496.937,"[34.805302, -82.689713]",
Richland County,45,45079,416147,757.309,"[34.067968, -80.988835]",
Saluda County,45,45081,18862,453.166,"[33.99882, -81.702809]",
Spartanburg County,45,45083,327997,808.407,"[34.963891, -82.007751]",
Sumter County,45,45085,105556,665.078,"[33.929496, -80.389604]",
Union County,45,45087,27244,513.604,"[34.733128, -81.627678]",
Williamsburg County,45,45089,31026,934.166,"[33.651948, -79.733224]",
York County,45,45091,282090,680.555,"[34.998556, -81.051363]",
