county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Aurora County,46,46003,2747,708.46,"[43.693726, -98.529708]",
Beadle County,46,46005,19149,1258.698,"[44.367306, -98.2277]",
Bennett County,46,46007,3381,1184.642,"[43.210572, -101.785879]",
Bon Homme County,46,46009,7003,563.549,"[42.966147, -97.859901]",
Brookings County,46,46011,34375,792.217,"[44.31091, -96.785884]",
Brown County,46,46013,38301,1713.03,"[45.475353, -98.451669]",
Brule County,46,46015,5247,817.222,"[43.762674, -99.191362]",
Buffalo County,46,46017,1948,471.405,"[44.059088, -99.371007]",
Butte County,46,46019,10243,2250.01,"[44.669688, -103.766262]",
Campbell County,46,46021,1377,733.677,"[45.801272, -100.100553]",
Charles Mix County,46,46023,9373,1097.141,"[43.175337, -98.527816]",
Clark County,46,46025,3837,957.512,"[44.825614, -97.709207]",
Clay County,46,46027,14967,412.022,"[42.808955, -96.936772]",
Codington County,46,46029,28325,687.585,"[44.91407, -97.129856]",
Corson County,46,46031,3902,2469.694,"[45.758065, -100.912373]",
Custer County,46,46033,8318,1556.943,"[43.740721, -103.514861]",
Davison County,46,46035,19956,435.633,"[43.706382, -98.040431]",
Day County,46,46037,5449,1028.49,"[45.369062, -97.519215]",
Deuel County,46,46039,4295,622.739,"[44.738673, -96.660949]",
Dewey County,46,46041,5239,2302.376,"[45.116562, -101.110107]",
Douglas County,46,46043,2835,431.801,"[43.377636, -98.369735]",
Edmunds County,46,46045,3986,1125.98,"[45.453421, -99.148719]",
Fall River County,46,46047,6973,1739.889,"[43.387361, -103.513072]",
Faulk County,46,46049,2125,981.713,"[45.061037, -99.099318]",
Grant County,46,46051,7556,681.446,"[45.206943, -96.658721]",
Gregory County,46,46053,3994,1014.95,"[43.183504, -99.27955]",
Haakon County,46,46055,1872,1810.541,"[44.133291, -101.572693]",
Hamlin County,46,46057,6164,507.068,"[44.646162, -97.148245]",
Hand County,46,46059,3145,1436.633,"[44.525472, -98.991594]",
Hanson County,46,46061,3461,434.582,"[43.656069, -97.771709]",
Harding County,46,46063,1311,2671.57,"[45.605864, -103.520304]",
Hughes County,46,46065,17765,741.527,"[44.38283, -100.305301]",
Hutchinson County,46,46067,7427,813.013,"[43.336978, -97.745451]",
Hyde County,46,46069,1262,860.629,"[44.519687, -99.455271]",
Jackson County,46,46071,2806,1863.883,"[43.649678, -101.665063]",
Jerauld County,46,46073,1663,526.133,"[44.09101, -98.537954]",
Jones County,46,46075,917,969.668,"[43.89534, -100.695148]",
Kingsbury County,46,46077,5187,832.237,"[44.377105, -97.408777]",
Lake County,46,46079,11059,562.891,"[44.001466, -97.095038]",
Lawrence County,46,46081,25768,800.053,"[44.453405, -103.805876]",
Lincoln County,46,46083,65161,577.293,"[43.441142, -96.744487]",
Lyman County,46,46085,3718,1642.285,"[43.953669, -99.716961]",
McCook County,46,46087,5682,574.205,"[43.661486, -97.348311]",
McPherson County,46,46089,2411,1136.668,"[45.766155, -99.243067]",
Marshall County,46,46091,4306,838.081,"[45.757886, -97.628902]",
Meade County,46,46093,29852,3470.934,"[44.281372, -103.280064]",
Mellette County,46,46095,1918,1307.311,"[43.54937, -100.809211]",
Miner County,46,46097,2298,570.17,"[44.01131, -97.551535]",
Minnehaha County,46,46099,197214,806.847,"[43.558266, -96.731507]",
Moody County,46,46101,6336,519.379,"[44.018445, -96.663373]",
Oglala Lakota County,46,46102,13672,2093.601,"[43.183372, -102.47964]",
Pennington County,46,46103,109222,2776.765,"[44.064853, -103.210935]",
Perkins County,46,46105,2835,2870.46,"[45.70961, -102.331006]",
Potter County,46,46107,2472,861.138,"[45.070399, -99.951949]",
Roberts County,46,46109,10280,1101.055,"[45.611156, -96.959096]",
Sanborn County,46,46111,2330,569.242,"[44.005619, -98.14513]",
Spink County,46,46115,6361,1503.499,"[44.904738, -98.412881]",
Stanley County,46,46117,2980,1444.436,"[44.372239, -100.448102]",
Sully County,46,46119,1446,1006.727,"[44.703108, -100.135851]",
Todd County,46,46121,9319,1388.593,"[43.24927, -100.780183]",
Tripp County,46,46123,5624,1612.289,"[43.350237, -99.846955]",
Turner County,46,46125,8673,617.064,"[43.304408, -97.112768]",
Union County,46,46127,16811,460.757,"[42.681007, -96.592222]",
Walworth County,46,46129,5315,707.455,"[45.518483, -100.311806]",
Yankton County,46,46135,23310,521.189,"[42.90126, -97.396931]",
Ziebach County,46,46137,2413,1961.248,"[44.929817, -101.530161]",
