county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Anderson County,47,47001,77123,337.206,"[36.081238, -84.178765]",
Bedford County,47,47003,50237,473.639,"[35.512233, -86.465018]",
Benton County,47,47005,15864,394.306,"[36.070898, -88.090044]",
Bledsoe County,47,47007,14913,406.555,"[35.621511, -85.200314]",
Blount County,47,47009,135280,558.844,"[35.753197, -83.973461]",
Bradley County,47,47011,108620,328.762,"[35.167425, -84.859688]",
Campbell County,47,47013,39272,480.19,"[36.381486, -84.125957]",
Cannon County,47,47015,14506,265.635,"[35.799353, -86.063976]",
Carroll County,47,47017,28440,597.658,"[36.018877, -88.464218]",
Carter County,47,47019,56356,341.258,"[36.31899, -82.203404]",
Cheatham County,47,47021,41072,302.498,"[36.272282, -87.063519]",
Chester County,47,47023,17341,285.736,"[35.438266, -88.62251]",
Claiborne County,47,47025,32043,434.604,"[36.4887, -83.639849]",
Clay County,47,47027,7581,236.529,"[36.552828, -85.562901]",
Cocke County,47,47029,35999,436.135,"[35.947274, -83.174047]",
Coffee County,47,47031,57889,428.964,"[35.454229, -86.124582]",
Crockett County,47,47033,13911,265.528,"[35.787543, -89.120017]",
Cumberland County,47,47035,61145,681.309,"[35.955637, -85.017779]",
Davidson County,47,47037,715884,503.481,"[36.137771, -86.744752]",
Decatur County,47,47039,11435,333.879,"[35.606176, -88.123327]",
DeKalb County,47,47041,20080,304.432,"[35.967047, -85.836916]",
Dickson County,47,47043,54315,489.899,"[36.104233, -87.343938]",
Dyer County,47,47045,36801,512.351,"[36.059417, -89.358361]",
Fayette County,47,47047,41990,704.124,"[35.201116, -89.479763]",
Fentress County,47,47049,18489,498.607,"[36.363232, -84.936669]",
Franklin County,47,47051,42774,550.573,"[35.208173, -86.116159]",
Gibson County,47,47053,50429,602.745,"[35.932264, -88.870969]",
Giles County,47,47055,30346,610.931,"[35.192203, -87.030448]",
Grainger County,47,47057,23527,280.587,"[36.266188, -83.48663]",
Greene County,47,47059,70152,622.169,"[36.17748, -82.832594]",
Grundy County,47,47061,13529,360.444,"[35.343196, -85.722272]",
Hamblen County,47,47063,64499,161.188,"[36.215549, -83.297502]",
Hamilton County,47,47065,366207,542.164,"[35.093764, -85.201806]",
Hancock County,47,47067,6662,222.324,"[36.517225, -83.231102]",
Hardeman County,47,47069,25462,667.768,"[35.222929, -89.018519]",
Hardin County,47,47071,26831,577.487,"[35.198544, -88.225953]",
Hawkins County,47,47073,56721,487.056,"[36.463, -82.874023]",
Haywood County,47,47075,17864,533.107,"[35.586198, -89.267733]",
Henderson County,47,47077,27842,520.009,"[35.647965, -88.402891]",
Henry County,47,47079,32199,561.902,"[36.319829, -88.291369]",
Hickman County,47,47081,24925,612.483,"[35.85471, -87.405499]",
Houston County,47,47083,8283,200.294,"[36.304161, -87.704274]",
Humphreys County,47,47085,18990,530.763,"[36.071211, -87.77509]",
Jackson County,47,47087,11617,308.81,"[36.327984, -85.629403]",
Jefferson County,47,47089,54683,275.155,"[36.064823, -83.453077]",
Johnson County,47,47091,17948,298.44,"[36.450066, -81.844689]",
Knox County,47,47093,478971,508.325,"[35.971886, -83.991621]",
Lake County,47,47095,7005,165.785,"[36.356402, -89.467221]",
Lauderdale County,47,47097,25143,471.895,"[35.765131, -89.537383]",
Lawrence County,47,47099,44159,617.13,"[35.237607, -87.353601]",
Lewis County,47,47101,12582,282.092,"[35.533225, -87.521716]",
Lincoln County,47,47103,35319,570.342,"[35.105199, -86.57174]",
Loudon County,47,47105,54886,229.272,"[35.760641, -84.284282]",
McMinn County,47,47107,53276,430.117,"[35.426045, -84.598722]",
McNairy County,47,47109,25866,562.845,"[35.176963, -88.537496]",
Macon County,47,47111,25216,307.144,"[36.535265, -86.025628]",
Madison County,47,47113,98823,557.174,"[35.653504, -88.824487]",
Marion County,47,47115,28837,502.179,"[35.10952, -85.608797]",
Marshall County,47,47117,34318,375.462,"[35.496732, -86.770825]",
Maury County,47,47119,100974,613.083,"[35.635591, -87.029196]",
Meigs County,47,47121,12758,195.135,"[35.502098, -84.816211]",
Monroe County,47,47123,46250,635.774,"[35.518372, -84.354235]",
Montgomery County,47,47125,220069,539.169,"[36.557126, -87.345978]",
Moore County,47,47127,6461,129.223,"[35.296438, -86.340442]",
Morgan County,47,47129,21035,522.18,"[36.098366, -84.593205]",
Obion County,47,47131,30787,544.848,"[36.397163, -89.07991]",
Overton County,47,47133,22511,433.488,"[36.344912, -85.324939]",
Perry County,47,47135,8366,414.765,"[35.653842, -87.859297]",
Pickett County,47,47137,5001,162.97,"[36.565622, -85.141318]",
Polk County,47,47139,17544,434.605,"[35.125195, -84.568406]",
Putnam County,47,47141,79854,401.106,"[36.163157, -85.503795]",
Rhea County,47,47143,32870,315.473,"[35.556758, -84.954393]",
Roane County,47,47145,53404,360.768,"[35.881148, -84.52216]",
Robertson County,47,47147,72803,476.336,"[36.48456, -86.830273]",
Rutherford County,47,47149,341486,619.267,"[35.888267, -86.450266]",
Scott County,47,47151,21850,532.301,"[36.45447, -84.508258]",
Sequatchie County,47,47153,15826,265.851,"[35.355415, -85.391417]",
Sevier County,47,47155,98380,592.518,"[35.864247, -83.58249]",
Shelby County,47,47157,929744,752.764,"[35.131029, -89.886356]",
Smith County,47,47159,19904,314.278,"[36.241313, -85.968175]",
Stewart County,47,47161,13657,459.776,"[36.493716, -87.800108]",
Sullivan County,47,47163,158163,413.544,"[36.529913, -82.397127]",
Sumner County,47,47165,196281,529.454,"[36.396228, -86.536038]",
Tipton County,47,47167,60970,455.611,"[35.47587, -89.750299]",
Trousdale County,47,47169,11615,114.342,"[36.386235, -86.153351]",
Unicoi County,47,47171,17928,186.064,"[36.151274, -82.394706]",
Union County,47,47173,19802,223.583,"[36.245311, -83.815954]",
Van Buren County,47,47175,6168,273.415,"[35.711516, -85.454611]",
Warren County,47,47177,40953,432.673,"[35.695188, -85.794787]",
Washington County,47,47179,133001,326.548,"[36.325615, -82.433815]",
Wayne County,47,47181,16232,734.109,"[35.258132, -87.790328]",
Weakley County,47,47183,32902,580.353,"[36.292493, -88.773817]",
