county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Anderson County,48,48001,57922,1062.617,"[31.775312, -95.683934]",
Andrews County,48,48003,18610,1500.686,"[32.321401, -102.539607]",
Angelina County,48,48005,86395,797.865,"[31.313526, -94.716132]",
Aransas County,48,48007,23830,252.069,"[28.030687, -97.072506]",
Archer County,48,48009,8560,903.289,"[33.712813, -98.607348]",
Armstrong County,48,48011,1848,909.123,"[35.092208, -101.392108]",
Atascosa County,48,48013,48981,1219.542,"[29.041628, -98.578427]",
Austin County,48,48015,30167,646.496,"[29.850973, -96.219899]",
Bailey County,48,48017,6904,826.972,"[34.218733, -102.744103]",
Bandera County,48,48019,20851,790.994,"[29.703518, -99.031596]",
Bastrop County,48,48021,97216,888.228,"[30.142585, -97.366668]",
Baylor County,48,48023,3465,867.481,"[33.591163, -99.264553]",
Bee County,48,48025,31047,880.239,"[28.395559, -97.733787]",
Bell County,48,48027,370647,1053.836,"[31.08149, -97.591674]",
Bexar County,48,48029,2009324,1240.36,"[29.484685, -98.532945]",
Blanco County,48,48031,11374,709.252,"[30.177148, -98.39208]",
Borden County,48,48033,631,897.443,"[32.757641, -101.436493]",
Bosque County,48,48035,18235,982.971,"[31.862115, -97.570902]",
Bowie County,48,48037,92893,884.939,"[33.436613, -94.20082]",
Brazoria County,48,48039,372031,1363.286,"[29.355331, -95.385044]",
Brazos County,48,48041,233849,586.138,"[30.624157, -96.328757]",
Brewster County,48,48043,9546,6183.763,"[30.222448, -103.620129]",
Briscoe County,48,48045,1435,900.001,"[34.443465, -101.234309]",
Brooks County,48,48047,7076,943.355,"[27.208714, -98.144842]",
Brown County,48,48049,38095,944.452,"[31.731619, -98.989268]",
Burleson County,48,48051,17642,659.082,"[30.475618, -96.644593]",
Burnet County,48,48053,49130,994.836,"[30.672177, -98.241706]",
Caldwell County,48,48055,45883,544.541,"[29.865312, -97.674628]",
Calhoun County,48,48057,20106,506.932,"[28.589157, -96.625881]",
Callahan County,48,48059,13708,899.372,"[32.351779, -99.452875]",
Cameron County,48,48061,421017,891.721,"[26.047418, -97.561196]",
Camp County,48,48063,12464,195.847,"[32.990171, -94.985027]",
Carson County,48,48065,5807,920.235,"[35.382121, -101.328264]",
Cass County,48,48067,28454,936.947,"[33.080612, -94.297274]",
Castro County,48,48069,7371,894.444,"[34.525081, -102.272214]",
Chambers County,48,48071,46571,597.212,"[29.805419, -94.768972]",
Cherokee County,48,48073,50412,1052.954,"[31.913488, -95.216202]",
Childress County,48,48075,6664,696.511,"[34.428092, -100.223958]",
Clay County,48,48077,10218,1088.759,"[33.825391, -98.244798]",
Cochran County,48,48079,2547,775.082,"[33.689389, -102.741038]",
Coke County,48,48081,3285,911.646,"[31.904116, -100.416634]",
Coleman County,48,48083,7684,1262.914,"[31.808131, -99.425034]",
Collin County,48,48085,1064465,841.365,"[33.112899, -96.690642]",
Collingsworth County,48,48087,2652,918.441,"[34.861822, -100.221748]",
Colorado County,48,48089,20557,960.291,"[29.664806, -96.538931]",
Comal County,48,48091,161501,559.537,"[29.764473, -98.22166]",
Comanche County,48,48093,13594,937.753,"[31.972232, -98.559029]",
Concho County,48,48095,3303,983.755,"[31.291192, -99.857069]",
Cooke County,48,48097,41668,874.826,"[33.607384, -97.13379]",
Coryell County,48,48099,83093,1052.247,"[31.236375, -97.83252]",
Cottle County,48,48101,1380,900.564,"[34.02779, -100.30428]",
Crane County,48,48103,4675,785.069,"[31.402296, -102.352663]",
Crockett County,48,48105,3098,2807.324,"[30.704747, -101.216615]",
Crosby County,48,48107,5133,900.199,"[33.660414, -101.357576]",
Culberson County,48,48109,2188,3812.156,"[31.064217, -104.819502]",
Dallam County,48,48111,7115,1503.353,"[36.104995, -102.568672]",
