county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Beaver County,49,49001,7072,2582.912,"[38.29808, -112.762542]",
Box Elder County,49,49003,57666,5781.304,"[41.592632, -112.09841]",
Cache County,49,49005,133154,1164.687,"[41.745425, -111.839724]",
Carbon County,49,49007,20412,1479.343,"[39.602446, -110.777569]",
Daggett County,49,49009,935,696.515,"[40.967095, -109.647096]",
Davis County,49,49011,362679,324.753,"[41.019939, -111.960883]",
Duchesne County,49,49013,19596,3235.523,"[40.289458, -110.162356]",
Emery County,49,49015,9825,4462.635,"[39.217578, -110.929942]",
Garfield County,49,49017,5083,5179.556,"[37.765439, -112.100464]",
Grand County,49,49019,9669,3672.858,"[38.569056, -109.528693]",
Iron County,49,49021,57289,3296.167,"[37.708874, -113.076161]",
Juab County,49,49023,11786,3391.812,"[39.748396, -111.878638]",
Kane County,49,49025,7667,3994.14,"[37.112169, -112.452998]",
Millard County,49,49027,12975,6785.482,"[39.209257, -112.485634]",
Morgan County,49,49029,12295,609.197,"[41.083677, -111.724978]",
Piute County,49,49031,1438,758.21,"[38.277169, -112.21441]",
Rich County,49,49033,2510,1028.758,"[41.776494, -111.285765]",
Salt Lake County,49,49035,1185238,752.852,"[40.638514, -111.927686]",
San Juan County,49,49037,14518,7823.765,"[37.52052, -109.545503]",
Sanpete County,49,49039,28437,1589.816,"[39.384535, -111.605199]",
Sevier County,49,49041,21522,1910.476,"[38.771786, -112.044688]",
Summit County,49,49043,42357,1870.674,"[40.726848, -111.470958]",
Tooele County,49,49045,72698,7040.271,"[40.568237, -112.363002]",
Uintah County,49,49047,35620,4482.881,"[40.426449, -109.59027]",
Utah County,49,49049,659399,2004.46,"[40.278299, -111.74994]",
Wasatch County,49,49051,34788,1176.952,"[40.511436, -111.412185]",
Washington County,49,49053,180279,2427.589,"[37.13018, -113.524041]",
Wayne County,49,49055,2486,2461.094,"[38.361712, -111.473883]",
Weber County,49,49057,262223,611.023,"[41.227609, -111.992699]",
