county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Addison County,50,50001,37363,766.331,"[44.060543, -73.165381]",
Bennington County,50,50003,37347,674.237,"[42.980347, -73.148622]",
Caledonia County,50,50005,30233,649.213,"[44.466488, -72.076449]",
Chittenden County,50,50007,168323,536.849,"[44.480291, -73.149824]",
Essex County,50,50009,5920,662.37,"[44.663681, -71.741708]",
Franklin County,50,50011,49946,630.961,"[44.836315, -72.997625]",
Grand Isle County,50,50013,7293,81.77,"[44.796249, -73.298725]",
Lamoille County,50,50015,25945,461.255,"[44.583725, -72.655635]",
Orange County,50,50017,29277,687.008,"[43.996141, -72.392814]",
Orleans County,50,50019,27393,694.552,"[44.862555, -72.225524]",
Rutland County,50,50021,60572,930.552,"[43.602602, -73.041302]",
Washington County,50,50023,59807,687.06,"[44.243309, -72.587175]",
Windham County,50,50025,45905,785.959,"[42.952898, -72.627862]",
Windsor County,50,50027,57753,969.144,"[43.547294, -72.490571]",
