county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Accomack County,51,51001,33413,449.303,"[37.789059, -75.629449]",
Albemarle County,51,51003,112395,720.477,"[38.052435, -78.519241]",
Alleghany County,51,51005,15223,446.572,"[37.802458, -79.929858]",
Amelia County,51,51007,13265,355.36,"[37.34151, -77.973985]",
Amherst County,51,51009,31307,473.962,"[37.518911, -79.1035]",
Appomattox County,51,51011,16119,334.224,"[37.36019, -78.83702]",
Arlington County,51,51013,238643,25.997,"[38.874744, -77.099874]",
Augusta County,51,51015,77487,967.074,"[38.127146, -79.03105]",
Bath County,51,51017,4209,529.202,"[38.018911, -79.758923]",
Bedford County,51,51019,79462,760.116,"[37.320204, -79.485385]",
Bland County,51,51021,6270,357.645,"[37.150078, -81.087264]",
Botetourt County,51,51023,33596,541.276,"[37.446422, -79.853138]",
Brunswick County,51,51025,15849,566.351,"[36.758266, -77.863297]",
Buchanan County,51,51027,20355,502.855,"[37.264124, -82.059132]",
Buckingham County,51,51029,16824,579.623,"[37.580161, -78.485095]",
Campbell County,51,51031,55696,503.257,"[37.261518, -79.169047]",
Caroline County,51,51033,30887,527.365,"[38.0087, -77.438652]",
Carroll County,51,51035,29155,474.742,"[36.713036, -80.762136]",
Charles City County,51,51036,6773,182.901,"[37.383394, -77.101446]",
Charlotte County,51,51037,11529,475.296,"[37.02206, -78.630278]",
Chesterfield County,51,51041,364548,423.506,"[37.418312, -77.556155]",
Clarke County,51,51043,14783,175.958,"[39.129417, -77.987382]",
Craig County,51,51045,4892,328.098,"[37.47542, -80.173756]",
Culpeper County,51,51047,52552,379.179,"[38.498243, -77.999051]",
Cumberland County,51,51049,9675,297.474,"[37.481359, -78.258673]",
Dickenson County,51,51051,14124,330.442,"[37.143369, -82.378751]",
Dinwiddie County,51,51053,27947,503.826,"[37.135652, -77.56051]",
Essex County,51,51057,10599,257.354,"[37.908781, -76.901329]",
Fairfax County,51,51059,1150309,391.02,"[38.844726, -77.25911]",
Fauquier County,51,51061,72972,647.994,"[38.695515, -77.774094]",
Floyd County,51,51063,15476,380.923,"[36.943205, -80.342366]",
Fluvanna County,51,51065,27249,287.117,"[37.888642, -78.301835]",
Franklin County,51,51067,54477,690.611,"[37.02094, -79.857581]",
