county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,53,53001,20613,1924.989,"[46.864934, -119.031492]",
Asotin County,53,53003,22285,636.075,"[46.388404, -117.06785]",
Benton County,53,53005,206873,1700.128,"[46.229857, -119.276673]",
Chelan County,53,53007,79074,2921.178,"[47.530181, -120.344656]",
Clallam County,53,53009,77155,1738.774,"[48.094969, -123.436581]",
Clark County,53,53011,503311,628.501,"[45.680599, -122.56244]",
Columbia County,53,53013,3952,868.585,"[46.323102, -117.976206]",
Cowlitz County,53,53015,110730,1141.159,"[46.135463, -122.894833]",
Douglas County,53,53017,42938,1819.244,"[47.504279, -120.178914]",
Ferry County,53,53019,7178,2203.241,"[48.617553, -118.520753]",
Franklin County,53,53021,96749,1241.596,"[46.303471, -119.125303]",
Garfield County,53,53023,2286,710.835,"[46.472066, -117.577877]",
Grant County,53,53025,99123,2679.547,"[47.14473, -119.466088]",
Grays Harbor County,53,53027,75636,1901.464,"[46.991256, -123.767517]",
Island County,53,53029,86857,208.474,"[48.2063, -122.576951]",
Jefferson County,53,53031,32977,1803.728,"[48.010517, -122.820477]",
King County,53,53033,2269675,2115.696,"[47.550488, -122.230405]",
Kitsap County,53,53035,275611,395.111,"[47.612218, -122.63287]",
Kittitas County,53,53037,44337,2297.291,"[47.051833, -120.630456]",
Klickitat County,53,53039,22735,1871.636,"[45.79839, -121.146148]",
Lewis County,53,53041,82149,2402.782,"[46.61892, -122.839231]",
Lincoln County,53,53043,10876,2310.599,"[47.638472, -118.324539]",
Mason County,53,53045,65726,959.553,"[47.288559, -123.034441]",
Okanogan County,53,53047,42104,5266.193,"[48.446072, -119.591995]",
Pacific County,53,53049,23365,933.373,"[46.524578, -123.904809]",
Pend Oreille County,53,53051,13401,1400.245,"[48.281535, -117.224181]",
Pierce County,53,53053,921130,1668.004,"[47.177735, -122.407463]",
San Juan County,53,53055,17788,173.914,"[48.575232, -122.979166]",
Skagit County,53,53057,129523,1730.231,"[48.4668, -122.33534]",
Skamania County,53,53059,12036,1658.268,"[45.688621, -121.93421]",
Snohomish County,53,53061,827957,2086.515,"[47.927544, -122.188806]",
Spokane County,53,53063,539339,1764.224,"[47.680212, -117.368939]",
Stevens County,53,53065,46445,2477.103,"[48.277695, -117.812987]",
Thurston County,53,53067,294793,722.501,"[47.00087, -122.836576]",
Wahkiakum County,53,53069,4422,262.928,"[46.236473, -123.426151]",
Walla Walla County,53,53071,62584,1270.033,"[46.077907, -118.391181]",
Whatcom County,53,53073,226847,2107.949,"[48.82321, -122.487638]",
Whitman County,53,53075,47973,2159.262,"[46.793601, -117.21808]",
Yakima County,53,53077,256728,4294.512,"[46.519342, -120.42159]",
