county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Barbour County,54,54001,15465,341.059,"[39.110076, -80.004391]",
Berkeley County,54,54003,122076,321.149,"[39.458843, -77.98117]",
Boone County,54,54005,21809,502.37,"[38.05644, -81.757507]",
Braxton County,54,54007,12447,510.735,"[38.691905, -80.723592]",
Brooke County,54,54009,22559,89.196,"[40.309452, -80.585926]",
Cabell County,54,54011,94350,281.024,"[38.413593, -82.335182]",
Calhoun County,54,54013,6229,279.263,"[38.852608, -81.104396]",
Clay County,54,54015,8051,341.939,"[38.471941, -81.09932]",
Doddridge County,54,54017,7808,319.723,"[39.285261, -80.721305]",
Fayette County,54,54019,40488,661.957,"[38.032534, -81.129034]",
Gilmer County,54,54021,7408,338.503,"[38.923122, -80.826516]",
Grant County,54,54023,10976,477.372,"[39.058737, -79.16103]",
Greenbrier County,54,54025,32977,1019.819,"[37.854476, -80.490891]",
Hampshire County,54,54027,23093,640.402,"[39.329412, -78.610531]",
Hancock County,54,54029,29095,82.61,"[40.477168, -80.568865]",
Hardy County,54,54031,14299,582.315,"[39.039184, -78.88137]",
Harrison County,54,54033,65921,416.01,"[39.287852, -80.338827]",
Jackson County,54,54035,27791,464.36,"[38.83984, -81.713096]",
Jefferson County,54,54037,57701,209.296,"[39.313836, -77.847631]",
Kanawha County,54,54039,180745,901.737,"[38.363316, -81.658246]",
Lewis County,54,54041,17033,386.93,"[39.034218, -80.4678]",
Lincoln County,54,54043,20463,437.093,"[38.201811, -82.066388]",
Logan County,54,54045,32567,452.904,"[37.856159, -81.972493]",
McDowell County,54,54047,19111,533.458,"[37.396396, -81.656256]",
Marion County,54,54049,56205,308.785,"[39.484338, -80.178811]",
Marshall County,54,54051,30591,305.431,"[39.928298, -80.704828]",
Mason County,54,54053,25453,430.768,"[38.827547, -82.058308]",
Mercer County,54,54055,59664,418.962,"[37.352588, -81.138228]",
Mineral County,54,54057,26938,327.882,"[39.46477, -78.909653]",
Mingo County,54,54059,23568,423.113,"[37.704029, -82.153272]",
Monongalia County,54,54061,105822,360.093,"[39.636527, -79.956836]",
Monroe County,54,54063,12376,472.754,"[37.524766, -80.641965]",
Morgan County,54,54065,17063,229.073,"[39.580983, -78.223029]",
Nicholas County,54,54067,24604,646.842,"[38.278413, -80.77232]",
Ohio County,54,54069,42425,105.831,"[40.078539, -80.672291]",
Pendleton County,54,54071,6143,696.05,"[38.672348, -79.337977]",
Pleasants County,54,54073,7653,130.119,"[39.383391, -81.192758]",
Pocahontas County,54,54075,7869,940.239,"[38.286975, -80.021443]",
Preston County,54,54077,34216,648.814,"[39.50551, -79.669791]",
Putnam County,54,54079,57440,345.677,"[38.474402, -81.929372]",
Raleigh County,54,54081,74591,604.968,"[37.77054, -81.200033]",
Randolph County,54,54083,27932,1039.7,"[38.870878, -79.872452]",
Ritchie County,54,54085,8444,451.99,"[39.217711, -81.041532]",
Roane County,54,54087,14028,483.563,"[38.728527, -81.345745]",
Summers County,54,54089,11959,360.588,"[37.665228, -80.849424]",
Taylor County,54,54091,16705,172.771,"[39.33862, -80.066874]",
Tucker County,54,54093,6762,419.042,"[39.110662, -79.602086]",
Tyler County,54,54095,8313,256.302,"[39.51456, -80.930534]",
Upshur County,54,54097,23816,354.638,"[38.954081, -80.228505]",
Wayne County,54,54099,38982,506.005,"[38.267338, -82.494193]",
Webster County,54,54101,8378,553.47,"[38.469754, -80.476189]",
Wetzel County,54,54103,14442,358.067,"[39.630012, -80.768843]",
Wirt County,54,54105,5194,232.511,"[39.05422, -81.394474]",
Wood County,54,54107,84296,366.5,"[39.266981, -81.530587]",
Wyoming County,54,54109,21382,499.47,"[37.628585, -81.567271]",
