county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Adams County,55,55001,20654,645.646,"[43.946194, -89.78312]",
Ashland County,55,55003,16027,1044.97,"[46.475919, -90.785419]",
Barron County,55,55005,46711,863.054,"[45.437002, -91.815142]",
Bayfield County,55,55007,16220,1477.881,"[46.594106, -91.104441]",
Brown County,55,55009,268740,530.092,"[44.497155, -88.034145]",
Buffalo County,55,55011,13317,675.791,"[44.380158, -91.74144]",
Burnett County,55,55013,16526,821.596,"[45.836891, -92.403811]",
Calumet County,55,55015,52442,318.25,"[44.152617, -88.262936]",
Chippewa County,55,55017,66297,1008.355,"[44.984928, -91.328087]",
Clark County,55,55019,34659,1209.698,"[44.78814, -90.550998]",
Columbia County,55,55021,58490,765.6,"[43.460151, -89.366154]",
Crawford County,55,55023,16113,570.805,"[43.165384, -91.005118]",
Dane County,55,55025,561504,1196.497,"[43.07564, -89.395501]",
Dodge County,55,55027,89396,875.699,"[43.435904, -88.713062]",
Door County,55,55029,30066,481.936,"[44.915074, -87.335769]",
Douglas County,55,55031,44295,1304.272,"[46.628582, -92.01483]",
Dunn County,55,55033,45440,850.159,"[44.914658, -91.892915]",
Eau Claire County,55,55035,105710,637.922,"[44.790208, -91.454792]",
Florence County,55,55037,4558,488.024,"[45.853651, -88.244316]",
Fond du Lac County,55,55039,104154,719.566,"[43.765547, -88.487004]",
Forest County,55,55041,9179,1014.266,"[45.563411, -88.812092]",
Grant County,55,55043,51938,1147.604,"[42.827213, -90.612643]",
Green County,55,55045,37093,584.044,"[42.673838, -89.575106]",
Green Lake County,55,55047,19018,349.541,"[43.845067, -89.014675]",
Iowa County,55,55049,23709,762.698,"[42.981998, -90.12223]",
Iron County,55,55051,6137,758.214,"[46.343183, -90.189954]",
Jackson County,55,55053,21145,987.915,"[44.320677, -90.903038]",
Jefferson County,55,55055,84900,556.493,"[43.040342, -88.785594]",
Juneau County,55,55057,26718,767.081,"[43.843115, -90.09764]",
Kenosha County,55,55059,169151,271.833,"[42.572393, -87.924047]",
Kewaunee County,55,55061,20563,342.454,"[44.527818, -87.591703]",
La Crosse County,55,55063,120784,451.803,"[43.861018, -91.208863]",
Lafayette County,55,55065,16611,633.588,"[42.663323, -90.140565]",
Langlade County,55,55067,19491,870.69,"[45.185054, -89.104985]",
Lincoln County,55,55069,28415,878.71,"[45.288548, -89.686454]",
Manitowoc County,55,55071,81359,589.309,"[44.10361, -87.724344]",
Marathon County,55,55073,138013,1545.238,"[44.907455, -89.707823]",
Marinette County,55,55075,41872,1399.468,"[45.219097, -87.848007]",
Marquette County,55,55077,15592,455.713,"[43.810948, -89.407897]",
Menominee County,55,55078,4255,357.615,"[44.912634, -88.635691]",
Milwaukee County,55,55079,939489,241.457,"[43.031416, -87.959526]",
Monroe County,55,55081,46274,900.904,"[43.942578, -90.644211]",
Oconto County,55,55083,38965,997.477,"[44.895367, -88.146318]",
Oneida County,55,55085,37845,1113.944,"[45.71099, -89.493946]",
Outagamie County,55,55087,190705,637.557,"[44.308666, -88.401368]",
Ozaukee County,55,55089,91503,233.011,"[43.31881, -87.950093]",
Pepin County,55,55091,7318,232.008,"[44.591768, -91.987424]",
Pierce County,55,55093,42212,574.018,"[44.77335, -92.547747]",
Polk County,55,55095,44977,914.32,"[45.404946, -92.481404]",
Portage County,55,55097,70377,800.874,"[44.498026, -89.526076]",
Price County,55,55099,14054,1254.057,"[45.724359, -90.39805]",
Racine County,55,55101,197727,332.611,"[42.735037, -87.928046]",
Richland County,55,55103,17304,586.15,"[43.350268, -90.390394]",
Rock County,55,55105,163687,718.168,"[42.65481, -89.037935]",
Rusk County,55,55107,14188,913.511,"[45.44497, -91.130594]",
St. Croix County,55,55109,93536,722.158,"[45.017968, -92.580626]",
Sauk County,55,55111,65763,831.587,"[43.449264, -89.868041]",
Sawyer County,55,55113,18074,1257.6,"[45.938054, -91.345247]",
Shawano County,55,55115,40881,893.225,"[44.786908, -88.681002]",
Sheboygan County,55,55117,118034,511.519,"[43.733622, -87.819076]",
Taylor County,55,55119,19913,975.052,"[45.172334, -90.408593]",
Trempealeau County,55,55121,30760,732.966,"[44.287418, -91.363458]",
Vernon County,55,55123,30714,791.563,"[43.605271, -90.835696]",
Vilas County,55,55125,23047,857.71,"[45.988218, -89.496963]",
Walworth County,55,55127,106478,555.433,"[42.662934, -88.540338]",
Washburn County,55,55129,16623,797.114,"[45.848159, -91.835392]",
Washington County,55,55131,136761,430.644,"[43.345574, -88.216407]",
Waukesha County,55,55133,406978,549.725,"[43.03596, -88.236186]",
Waupaca County,55,55135,51812,747.702,"[44.432697, -88.937028]",
Waushara County,55,55137,24520,626.161,"[44.101477, -89.225784]",
Winnebago County,55,55139,171730,434.697,"[44.101514, -88.540906]",
Wood County,55,55141,74207,793.02,"[44.478457, -89.962546]",
