county_name,state_fips,county_fips,population,land_area_sq_mi,centroid,county_seat
Albany County,56,56001,37066,4274.175,"[41.313442, -105.596073]",
Big Horn County,56,56003,11521,3136.957,"[44.635296, -108.250971]",
Campbell County,56,56005,47026,4802.065,"[44.257046, -105.495519]",
Carbon County,56,56007,14537,7897.746,"[41.659869, -107.078124]",
Converse County,56,56009,13751,4254.994,"[42.788528, -105.520738]",
Crook County,56,56011,7181,2854.48,"[44.434922, -104.619744]",
Fremont County,56,56013,39234,9183.597,"[43.010698, -108.609469]",
Goshen County,56,56015,12498,2225.613,"[42.050142, -104.220172]",
Hot Springs County,56,56017,4621,2004.431,"[43.661523, -108.232641]",
Johnson County,56,56019,8447,4154.152,"[44.288278, -106.695709]",
Laramie County,56,56021,100512,2685.864,"[41.153937, -104.771336]",
Lincoln County,56,56023,19581,4075.337,"[42.648291, -110.872872]",
Natrona County,56,56025,79955,5340.537,"[42.842184, -106.335315]",
Niobrara County,56,56027,2467,2626.028,"[42.810897, -104.450987]",
Park County,56,56029,29624,6939.039,"[44.614008, -108.97254]",
Platte County,56,56031,8605,2081.459,"[42.106509, -104.929825]",
Sheridan County,56,56033,30921,2523.361,"[44.780986, -106.977846]",
Sublette County,56,56035,8728,4886.482,"[42.807278, -109.943507]",
Sweetwater County,56,56037,42272,10426.981,"[41.580564, -109.302521]",
Teton County,56,56039,23331,3996.846,"[43.491744, -110.785815]",
Uinta County,56,56041,20450,2081.726,"[41.271502, -110.760395]",
Washakie County,56,56043,7685,2238.679,"[44.012223, -107.905059]",
Weston County,56,56045,6838,2398.005,"[43.908449, -104.304384]",
